observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-12T23:33:07.741407Z,2024-12-12T23:33:07.833123Z,91.71600000000001 ms,91.71600000000001 ms,91.71600000000001 ms,91.71600000000001 ms,1
2024-12-12T23:33:12.675634Z,2024-12-12T23:33:12.686971Z,11.337 ms,51.526500000000006 ms,11.337 ms,91.71600000000001 ms,2
2024-12-12T23:33:17.677019Z,2024-12-12T23:33:17.687391Z,10.372 ms,37.80833333333333 ms,10.372 ms,91.71600000000001 ms,3
2024-12-12T23:33:22.670135Z,2024-12-12T23:33:22.679875Z,9.74 ms,30.791249999999998 ms,9.74 ms,91.71600000000001 ms,4
2024-12-12T23:33:27.671563Z,2024-12-12T23:33:27.681974Z,10.411 ms,26.715200000000003 ms,9.74 ms,91.71600000000001 ms,5
2024-12-12T23:33:32.671065Z,2024-12-12T23:33:32.681670Z,10.605 ms,24.03016666666667 ms,9.74 ms,91.71600000000001 ms,6
2024-12-12T23:33:37.670817Z,2024-12-12T23:33:37.680575Z,9.758 ms,21.991285714285713 ms,9.74 ms,91.71600000000001 ms,7
2024-12-12T23:33:42.681449Z,2024-12-12T23:33:42.692081Z,10.632000000000001 ms,20.571375 ms,9.74 ms,91.71600000000001 ms,8
2024-12-12T23:33:47.676350Z,2024-12-12T23:33:47.685645Z,9.295 ms,19.318444444444445 ms,9.295 ms,91.71600000000001 ms,9
2024-12-12T23:33:52.676098Z,2024-12-12T23:33:52.685109Z,9.011 ms,18.287699999999997 ms,9.011 ms,91.71600000000001 ms,10
2024-12-12T23:33:57.679482Z,2024-12-12T23:33:57.688581Z,9.099 ms,17.452363636363636 ms,9.011 ms,91.71600000000001 ms,11
2024-12-12T23:34:02.668988Z,2024-12-12T23:34:02.677971Z,8.983 ms,16.746583333333334 ms,8.983 ms,91.71600000000001 ms,12
2024-12-12T23:34:07.668319Z,2024-12-12T23:34:07.677966Z,9.646999999999998 ms,16.200461538461536 ms,8.983 ms,91.71600000000001 ms,13
2024-12-12T23:34:12.682509Z,2024-12-12T23:34:12.691783Z,9.274 ms,15.705714285714285 ms,8.983 ms,91.71600000000001 ms,14
2024-12-12T23:34:17.679438Z,2024-12-12T23:34:17.688385Z,8.947000000000001 ms,15.255133333333331 ms,8.947000000000001 ms,91.71600000000001 ms,15
2024-12-12T23:34:22.667447Z,2024-12-12T23:34:22.676336Z,8.889 ms,14.857249999999999 ms,8.889 ms,91.71600000000001 ms,16
2024-12-12T23:34:27.673184Z,2024-12-12T23:34:27.682368Z,9.184 ms,14.523529411764704 ms,8.889 ms,91.71600000000001 ms,17
2024-12-12T23:34:32.673258Z,2024-12-12T23:34:32.684092Z,10.834 ms,14.318555555555553 ms,8.889 ms,91.71600000000001 ms,18
2024-12-12T23:34:37.667830Z,2024-12-12T23:34:37.676678Z,8.848 ms,14.030631578947368 ms,8.848 ms,91.71600000000001 ms,19
2024-12-12T23:34:42.672412Z,2024-12-12T23:34:42.680937Z,8.525 ms,13.75535 ms,8.525 ms,91.71600000000001 ms,20
2024-12-12T23:34:47.673777Z,2024-12-12T23:34:47.682846Z,9.069 ms,13.532190476190475 ms,8.525 ms,91.71600000000001 ms,21
2024-12-12T23:34:52.671157Z,2024-12-12T23:34:52.680181Z,9.024000000000001 ms,13.327272727272726 ms,8.525 ms,91.71600000000001 ms,22
2024-12-12T23:34:57.673391Z,2024-12-12T23:34:57.682223Z,8.831999999999999 ms,13.13182608695652 ms,8.525 ms,91.71600000000001 ms,23
2024-12-12T23:35:02.690428Z,2024-12-12T23:35:02.700760Z,10.331999999999999 ms,13.015166666666666 ms,8.525 ms,91.71600000000001 ms,24
2024-12-12T23:35:07.668607Z,2024-12-12T23:35:07.677420Z,8.812999999999999 ms,12.84708 ms,8.525 ms,91.71600000000001 ms,25
2024-12-12T23:35:12.680774Z,2024-12-12T23:35:12.689798Z,9.024000000000001 ms,12.70003846153846 ms,8.525 ms,91.71600000000001 ms,26
2024-12-12T23:35:17.674100Z,2024-12-12T23:35:17.683810Z,9.709999999999999 ms,12.589296296296295 ms,8.525 ms,91.71600000000001 ms,27
2024-12-12T23:35:22.665764Z,2024-12-12T23:35:22.673497Z,7.7330000000000005 ms,12.415857142857142 ms,7.7330000000000005 ms,91.71600000000001 ms,28
2024-12-12T23:35:27.668050Z,2024-12-12T23:35:27.676996Z,8.946000000000002 ms,12.296206896551721 ms,7.7330000000000005 ms,91.71600000000001 ms,29
2024-12-12T23:35:32.672687Z,2024-12-12T23:35:32.681510Z,8.822999999999999 ms,12.180433333333333 ms,7.7330000000000005 ms,91.71600000000001 ms,30
2024-12-12T23:35:37.677792Z,2024-12-12T23:35:37.687283Z,9.491 ms,12.09367741935484 ms,7.7330000000000005 ms,91.71600000000001 ms,31
2024-12-12T23:35:42.665302Z,2024-12-12T23:35:42.674165Z,8.863 ms,11.992718750000002 ms,7.7330000000000005 ms,91.71600000000001 ms,32
2024-12-12T23:35:47.683637Z,2024-12-12T23:35:47.692390Z,8.753 ms,11.894545454545456 ms,7.7330000000000005 ms,91.71600000000001 ms,33
2024-12-12T23:35:52.673014Z,2024-12-12T23:35:52.683199Z,10.184999999999999 ms,11.844264705882354 ms,7.7330000000000005 ms,91.71600000000001 ms,34
2024-12-12T23:35:57.667265Z,2024-12-12T23:35:57.675029Z,7.764 ms,11.727685714285716 ms,7.7330000000000005 ms,91.71600000000001 ms,35
2024-12-12T23:36:02.678363Z,2024-12-12T23:36:02.686462Z,8.099 ms,11.62688888888889 ms,7.7330000000000005 ms,91.71600000000001 ms,36
2024-12-12T23:36:07.676780Z,2024-12-12T23:36:07.686875Z,10.095 ms,11.58548648648649 ms,7.7330000000000005 ms,91.71600000000001 ms,37
2024-12-12T23:36:12.670424Z,2024-12-12T23:36:12.678963Z,8.539 ms,11.505315789473686 ms,7.7330000000000005 ms,91.71600000000001 ms,38
2024-12-12T23:36:17.678589Z,2024-12-12T23:36:17.687277Z,8.687999999999999 ms,11.433076923076925 ms,7.7330000000000005 ms,91.71600000000001 ms,39
2024-12-12T23:36:22.668434Z,2024-12-12T23:36:22.676734Z,8.3 ms,11.354750000000001 ms,7.7330000000000005 ms,91.71600000000001 ms,40
2024-12-12T23:36:27.672602Z,2024-12-12T23:36:27.681291Z,8.689 ms,11.289731707317074 ms,7.7330000000000005 ms,91.71600000000001 ms,41
2024-12-12T23:36:32.672096Z,2024-12-12T23:36:32.680616Z,8.52 ms,11.223785714285714 ms,7.7330000000000005 ms,91.71600000000001 ms,42
2024-12-12T23:36:37.668835Z,2024-12-12T23:36:37.677753Z,8.918000000000001 ms,11.170162790697676 ms,7.7330000000000005 ms,91.71600000000001 ms,43
2024-12-12T23:36:42.675657Z,2024-12-12T23:36:42.684700Z,9.043000000000001 ms,11.121818181818183 ms,7.7330000000000005 ms,91.71600000000001 ms,44
2024-12-12T23:36:47.672878Z,2024-12-12T23:36:47.681379Z,8.501 ms,11.063577777777777 ms,7.7330000000000005 ms,91.71600000000001 ms,45
2024-12-12T23:36:52.672641Z,2024-12-12T23:36:52.681059Z,8.418 ms,11.006065217391305 ms,7.7330000000000005 ms,91.71600000000001 ms,46
2024-12-12T23:36:57.669546Z,2024-12-12T23:36:57.680414Z,10.867999999999999 ms,11.003127659574469 ms,7.7330000000000005 ms,91.71600000000001 ms,47
2024-12-12T23:37:02.670266Z,2024-12-12T23:37:02.678160Z,7.894 ms,10.938354166666665 ms,7.7330000000000005 ms,91.71600000000001 ms,48
2024-12-12T23:37:07.670641Z,2024-12-12T23:37:07.678916Z,8.274999999999999 ms,10.884 ms,7.7330000000000005 ms,91.71600000000001 ms,49
2024-12-12T23:37:12.669336Z,2024-12-12T23:37:12.679792Z,10.456 ms,10.87544 ms,7.7330000000000005 ms,91.71600000000001 ms,50
2024-12-12T23:37:17.672006Z,2024-12-12T23:37:17.680476Z,8.47 ms,10.828274509803922 ms,7.7330000000000005 ms,91.71600000000001 ms,51
2024-12-12T23:37:22.670997Z,2024-12-12T23:37:22.679586Z,8.588999999999999 ms,10.785211538461539 ms,7.7330000000000005 ms,91.71600000000001 ms,52
2024-12-12T23:37:27.675011Z,2024-12-12T23:37:27.685798Z,10.786999999999999 ms,10.785245283018867 ms,7.7330000000000005 ms,91.71600000000001 ms,53
2024-12-12T23:37:32.681378Z,2024-12-12T23:37:32.689961Z,8.583 ms,10.744462962962963 ms,7.7330000000000005 ms,91.71600000000001 ms,54
2024-12-12T23:37:37.698753Z,2024-12-12T23:37:37.707023Z,8.27 ms,10.699472727272726 ms,7.7330000000000005 ms,91.71600000000001 ms,55
2024-12-12T23:37:42.703214Z,2024-12-12T23:37:42.724942Z,21.728 ms,10.896410714285713 ms,7.7330000000000005 ms,91.71600000000001 ms,56
2024-12-12T23:37:47.699775Z,2024-12-12T23:37:47.708654Z,8.879 ms,10.861017543859647 ms,7.7330000000000005 ms,91.71600000000001 ms,57
2024-12-12T23:37:52.691035Z,2024-12-12T23:37:52.699421Z,8.386 ms,10.818344827586206 ms,7.7330000000000005 ms,91.71600000000001 ms,58
