observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-07T19:45:26.871781Z,2024-12-07T19:45:26.902849Z,31.067999999999998 ms,31.067999999999998 ms,31.067999999999998 ms,31.067999999999998 ms,1
2024-12-07T19:45:26.871781Z,2024-12-07T19:45:26.903101Z,31.32 ms,31.194 ms,31.067999999999998 ms,31.32 ms,2
2024-12-07T19:45:27.579744Z,2024-12-07T19:45:27.586144Z,6.4 ms,22.929333333333332 ms,6.4 ms,31.32 ms,3
2024-12-07T19:45:27.579744Z,2024-12-07T19:45:27.585773Z,6.029 ms,18.70425 ms,6.029 ms,31.32 ms,4
2024-12-07T19:45:36.839953Z,2024-12-07T19:45:36.844341Z,4.388000000000001 ms,15.841000000000001 ms,4.388000000000001 ms,31.32 ms,5
2024-12-07T19:45:36.839953Z,2024-12-07T19:45:36.844571Z,4.617999999999999 ms,13.970499999999998 ms,4.388000000000001 ms,31.32 ms,6
2024-12-07T19:45:37.540585Z,2024-12-07T19:45:37.544926Z,4.341 ms,12.594857142857142 ms,4.341 ms,31.32 ms,7
2024-12-07T19:45:37.540585Z,2024-12-07T19:45:37.545156Z,4.571000000000001 ms,11.591875 ms,4.341 ms,31.32 ms,8
2024-12-07T19:45:46.850636Z,2024-12-07T19:45:46.854864Z,4.228 ms,10.773666666666665 ms,4.228 ms,31.32 ms,9
2024-12-07T19:45:46.850636Z,2024-12-07T19:45:46.855106Z,4.47 ms,10.1433 ms,4.228 ms,31.32 ms,10
2024-12-07T19:45:47.550422Z,2024-12-07T19:45:47.554204Z,3.782 ms,9.565 ms,3.782 ms,31.32 ms,11
2024-12-07T19:45:47.550422Z,2024-12-07T19:45:47.554442Z,4.0200000000000005 ms,9.102916666666665 ms,3.782 ms,31.32 ms,12
2024-12-07T19:45:56.830486Z,2024-12-07T19:45:56.834393Z,3.907 ms,8.703230769230768 ms,3.782 ms,31.32 ms,13
