observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-12T23:33:07.741407Z,2024-12-12T23:33:07.828016Z,86.60900000000001 ms,86.60900000000001 ms,86.60900000000001 ms,86.60900000000001 ms,1
2024-12-12T23:33:12.675634Z,2024-12-12T23:33:12.684281Z,8.647 ms,47.628 ms,8.647 ms,86.60900000000001 ms,2
2024-12-12T23:33:17.677019Z,2024-12-12T23:33:17.684802Z,7.783 ms,34.346333333333334 ms,7.783 ms,86.60900000000001 ms,3
2024-12-12T23:33:22.670135Z,2024-12-12T23:33:22.677220Z,7.085 ms,27.531 ms,7.085 ms,86.60900000000001 ms,4
2024-12-12T23:33:27.671563Z,2024-12-12T23:33:27.679217Z,7.654 ms,23.5556 ms,7.085 ms,86.60900000000001 ms,5
2024-12-12T23:33:32.671065Z,2024-12-12T23:33:32.678964Z,7.899 ms,20.946166666666667 ms,7.085 ms,86.60900000000001 ms,6
2024-12-12T23:33:37.670817Z,2024-12-12T23:33:37.678015Z,7.198 ms,18.982142857142858 ms,7.085 ms,86.60900000000001 ms,7
2024-12-12T23:33:42.681449Z,2024-12-12T23:33:42.688746Z,7.297 ms,17.5215 ms,7.085 ms,86.60900000000001 ms,8
2024-12-12T23:33:47.676350Z,2024-12-12T23:33:47.682988Z,6.638 ms,16.31222222222222 ms,6.638 ms,86.60900000000001 ms,9
2024-12-12T23:33:52.676098Z,2024-12-12T23:33:52.682611Z,6.513 ms,15.332299999999998 ms,6.513 ms,86.60900000000001 ms,10
2024-12-12T23:33:57.679482Z,2024-12-12T23:33:57.686054Z,6.572 ms,14.535909090909088 ms,6.513 ms,86.60900000000001 ms,11
2024-12-12T23:34:02.668988Z,2024-12-12T23:34:02.675553Z,6.5649999999999995 ms,13.871666666666664 ms,6.513 ms,86.60900000000001 ms,12
2024-12-12T23:34:07.668319Z,2024-12-12T23:34:07.675353Z,7.034000000000001 ms,13.345692307692307 ms,6.513 ms,86.60900000000001 ms,13
2024-12-12T23:34:12.682509Z,2024-12-12T23:34:12.689214Z,6.705 ms,12.871357142857141 ms,6.513 ms,86.60900000000001 ms,14
2024-12-12T23:34:17.679438Z,2024-12-12T23:34:17.685784Z,6.346 ms,12.43633333333333 ms,6.346 ms,86.60900000000001 ms,15
2024-12-12T23:34:22.667447Z,2024-12-12T23:34:22.673720Z,6.273 ms,12.051124999999997 ms,6.273 ms,86.60900000000001 ms,16
2024-12-12T23:34:27.673184Z,2024-12-12T23:34:27.679953Z,6.769 ms,11.740411764705879 ms,6.273 ms,86.60900000000001 ms,17
2024-12-12T23:34:32.673258Z,2024-12-12T23:34:32.681593Z,8.335 ms,11.55122222222222 ms,6.273 ms,86.60900000000001 ms,18
2024-12-12T23:34:37.667830Z,2024-12-12T23:34:37.674250Z,6.42 ms,11.28115789473684 ms,6.273 ms,86.60900000000001 ms,19
2024-12-12T23:34:42.672412Z,2024-12-12T23:34:42.678622Z,6.21 ms,11.027599999999998 ms,6.21 ms,86.60900000000001 ms,20
2024-12-12T23:34:47.673777Z,2024-12-12T23:34:47.680173Z,6.396 ms,10.80704761904762 ms,6.21 ms,86.60900000000001 ms,21
2024-12-12T23:34:52.671157Z,2024-12-12T23:34:52.677394Z,6.237 ms,10.59931818181818 ms,6.21 ms,86.60900000000001 ms,22
2024-12-12T23:34:57.673391Z,2024-12-12T23:34:57.679749Z,6.358 ms,10.414913043478261 ms,6.21 ms,86.60900000000001 ms,23
2024-12-12T23:35:02.690428Z,2024-12-12T23:35:02.696340Z,5.912 ms,10.227291666666666 ms,5.912 ms,86.60900000000001 ms,24
2024-12-12T23:35:07.668607Z,2024-12-12T23:35:07.675014Z,6.407 ms,10.074479999999998 ms,5.912 ms,86.60900000000001 ms,25
2024-12-12T23:35:12.680774Z,2024-12-12T23:35:12.687258Z,6.484 ms,9.936384615384615 ms,5.912 ms,86.60900000000001 ms,26
2024-12-12T23:35:17.674100Z,2024-12-12T23:35:17.681155Z,7.055 ms,9.829666666666665 ms,5.912 ms,86.60900000000001 ms,27
2024-12-12T23:35:22.665764Z,2024-12-12T23:35:22.671216Z,5.452 ms,9.673321428571427 ms,5.452 ms,86.60900000000001 ms,28
2024-12-12T23:35:27.668050Z,2024-12-12T23:35:27.674154Z,6.104 ms,9.550241379310343 ms,5.452 ms,86.60900000000001 ms,29
2024-12-12T23:35:32.672687Z,2024-12-12T23:35:32.679047Z,6.36 ms,9.443899999999998 ms,5.452 ms,86.60900000000001 ms,30
2024-12-12T23:35:37.677792Z,2024-12-12T23:35:37.684731Z,6.939 ms,9.363096774193545 ms,5.452 ms,86.60900000000001 ms,31
2024-12-12T23:35:42.665302Z,2024-12-12T23:35:42.671566Z,6.263999999999999 ms,9.266249999999996 ms,5.452 ms,86.60900000000001 ms,32
2024-12-12T23:35:47.683637Z,2024-12-12T23:35:47.689872Z,6.235 ms,9.174393939393935 ms,5.452 ms,86.60900000000001 ms,33
