observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-07T19:43:36.576604Z,2024-12-07T19:43:36.795876Z,219.272 ms,219.272 ms,219.272 ms,219.272 ms,1
2024-12-07T19:43:36.576604Z,2024-12-07T19:43:36.797258Z,220.654 ms,219.963 ms,219.272 ms,220.654 ms,2
2024-12-07T19:43:37.218685Z,2024-12-07T19:43:37.421279Z,202.594 ms,214.17333333333332 ms,202.594 ms,220.654 ms,3
2024-12-07T19:43:37.218685Z,2024-12-07T19:43:37.422434Z,203.74900000000002 ms,211.56724999999997 ms,202.594 ms,220.654 ms,4
2024-12-07T19:43:41.537687Z,2024-12-07T19:43:41.708280Z,170.593 ms,203.37239999999997 ms,170.593 ms,220.654 ms,5
2024-12-07T19:43:41.537687Z,2024-12-07T19:43:41.709441Z,171.754 ms,198.10266666666664 ms,170.593 ms,220.654 ms,6
2024-12-07T19:43:42.210000Z,2024-12-07T19:43:42.375761Z,165.761 ms,193.48242857142856 ms,165.761 ms,220.654 ms,7
2024-12-07T19:43:42.210000Z,2024-12-07T19:43:42.377077Z,167.077 ms,190.18175 ms,165.761 ms,220.654 ms,8
2024-12-07T19:43:46.497913Z,2024-12-07T19:43:46.661718Z,163.805 ms,187.25099999999998 ms,163.805 ms,220.654 ms,9
2024-12-07T19:43:46.497913Z,2024-12-07T19:43:46.662988Z,165.075 ms,185.0334 ms,163.805 ms,220.654 ms,10
2024-12-07T19:43:47.225106Z,2024-12-07T19:43:47.389658Z,164.552 ms,183.17145454545454 ms,163.805 ms,220.654 ms,11
2024-12-07T19:43:47.225106Z,2024-12-07T19:43:47.391006Z,165.9 ms,181.73216666666667 ms,163.805 ms,220.654 ms,12
2024-12-07T19:43:51.515000Z,2024-12-07T19:43:51.680962Z,165.962 ms,180.5190769230769 ms,163.805 ms,220.654 ms,13
2024-12-07T19:43:51.515000Z,2024-12-07T19:43:51.682297Z,167.297 ms,179.57464285714283 ms,163.805 ms,220.654 ms,14
2024-12-07T19:43:52.196880Z,2024-12-07T19:43:52.362696Z,165.816 ms,178.6574 ms,163.805 ms,220.654 ms,15
2024-12-07T19:43:52.196880Z,2024-12-07T19:43:52.364142Z,167.262 ms,177.9451875 ms,163.805 ms,220.654 ms,16
2024-12-07T19:43:56.539887Z,2024-12-07T19:43:56.701892Z,162.00500000000002 ms,177.0075294117647 ms,162.00500000000002 ms,220.654 ms,17
2024-12-07T19:43:56.539887Z,2024-12-07T19:43:56.712360Z,172.47299999999998 ms,176.75561111111114 ms,162.00500000000002 ms,220.654 ms,18
2024-12-07T19:43:57.221401Z,2024-12-07T19:43:57.388582Z,167.18099999999998 ms,176.25168421052632 ms,162.00500000000002 ms,220.654 ms,19
2024-12-07T19:43:57.221401Z,2024-12-07T19:43:57.390067Z,168.666 ms,175.87239999999997 ms,162.00500000000002 ms,220.654 ms,20
2024-12-07T19:44:01.509885Z,2024-12-07T19:44:01.669887Z,160.002 ms,175.11666666666667 ms,160.002 ms,220.654 ms,21
2024-12-07T19:44:01.509885Z,2024-12-07T19:44:01.679523Z,169.638 ms,174.86763636363636 ms,160.002 ms,220.654 ms,22
2024-12-07T19:44:02.207858Z,2024-12-07T19:44:02.374987Z,167.129 ms,174.53117391304346 ms,160.002 ms,220.654 ms,23
2024-12-07T19:44:02.207858Z,2024-12-07T19:44:02.376513Z,168.655 ms,174.28633333333332 ms,160.002 ms,220.654 ms,24
