observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-07T19:43:36.576604Z,2024-12-07T19:43:36.609264Z,32.660000000000004 ms,32.660000000000004 ms,32.660000000000004 ms,32.660000000000004 ms,1
2024-12-07T19:43:36.576604Z,2024-12-07T19:43:36.609004Z,32.4 ms,32.53 ms,32.4 ms,32.660000000000004 ms,2
2024-12-07T19:43:37.218685Z,2024-12-07T19:43:37.223935Z,5.25 ms,23.43666666666667 ms,5.25 ms,32.660000000000004 ms,3
2024-12-07T19:43:37.218685Z,2024-12-07T19:43:37.224215Z,5.53 ms,18.960000000000004 ms,5.25 ms,32.660000000000004 ms,4
2024-12-07T19:43:41.537687Z,2024-12-07T19:43:41.541816Z,4.129 ms,15.993800000000002 ms,4.129 ms,32.660000000000004 ms,5
2024-12-07T19:43:41.537687Z,2024-12-07T19:43:41.542080Z,4.393 ms,14.060333333333334 ms,4.129 ms,32.660000000000004 ms,6
2024-12-07T19:43:42.210000Z,2024-12-07T19:43:42.214048Z,4.048 ms,12.63 ms,4.048 ms,32.660000000000004 ms,7
2024-12-07T19:43:42.210000Z,2024-12-07T19:43:42.213787Z,3.787 ms,11.524625 ms,3.787 ms,32.660000000000004 ms,8
2024-12-07T19:43:46.497913Z,2024-12-07T19:43:46.501725Z,3.812 ms,10.667666666666666 ms,3.787 ms,32.660000000000004 ms,9
2024-12-07T19:43:46.497913Z,2024-12-07T19:43:46.501964Z,4.051 ms,10.005999999999998 ms,3.787 ms,32.660000000000004 ms,10
2024-12-07T19:43:47.225106Z,2024-12-07T19:43:47.229227Z,4.1209999999999996 ms,9.471 ms,3.787 ms,32.660000000000004 ms,11
2024-12-07T19:43:47.225106Z,2024-12-07T19:43:47.229459Z,4.353 ms,9.0445 ms,3.787 ms,32.660000000000004 ms,12
2024-12-07T19:43:51.515000Z,2024-12-07T19:43:51.518932Z,3.932 ms,8.651230769230768 ms,3.787 ms,32.660000000000004 ms,13
2024-12-07T19:43:51.515000Z,2024-12-07T19:43:51.519162Z,4.162 ms,8.330571428571428 ms,3.787 ms,32.660000000000004 ms,14
2024-12-07T19:43:52.196880Z,2024-12-07T19:43:52.200740Z,3.8600000000000003 ms,8.032533333333333 ms,3.787 ms,32.660000000000004 ms,15
2024-12-07T19:43:52.196880Z,2024-12-07T19:43:52.200504Z,3.624 ms,7.757 ms,3.624 ms,32.660000000000004 ms,16
2024-12-07T19:43:56.539887Z,2024-12-07T19:43:56.544918Z,5.031 ms,7.59664705882353 ms,3.624 ms,32.660000000000004 ms,17
2024-12-07T19:43:56.539887Z,2024-12-07T19:43:56.545147Z,5.26 ms,7.466833333333333 ms,3.624 ms,32.660000000000004 ms,18
2024-12-07T19:43:57.221401Z,2024-12-07T19:43:57.225321Z,3.92 ms,7.280157894736843 ms,3.624 ms,32.660000000000004 ms,19
2024-12-07T19:43:57.221401Z,2024-12-07T19:43:57.225558Z,4.157 ms,7.1240000000000006 ms,3.624 ms,32.660000000000004 ms,20
2024-12-07T19:44:01.509885Z,2024-12-07T19:44:01.513735Z,3.85 ms,6.968095238095238 ms,3.624 ms,32.660000000000004 ms,21
2024-12-07T19:44:01.509885Z,2024-12-07T19:44:01.513973Z,4.087999999999999 ms,6.837181818181818 ms,3.624 ms,32.660000000000004 ms,22
2024-12-07T19:44:02.207858Z,2024-12-07T19:44:02.211470Z,3.612 ms,6.69695652173913 ms,3.612 ms,32.660000000000004 ms,23
2024-12-07T19:44:02.207858Z,2024-12-07T19:44:02.211708Z,3.85 ms,6.578333333333333 ms,3.612 ms,32.660000000000004 ms,24
