observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-27T11:28:51.409353Z,2024-12-27T11:28:51.437910Z,28.557 ms,28.557 ms,28.557 ms,28.557 ms,1
2024-12-27T11:28:51.409353Z,2024-12-27T11:28:51.439320Z,29.967000000000002 ms,29.262 ms,28.557 ms,29.967000000000002 ms,2
2024-12-27T11:28:51.409353Z,2024-12-27T11:28:51.440591Z,31.238 ms,29.920666666666666 ms,28.557 ms,31.238 ms,3
2024-12-27T11:28:59.268176Z,2024-12-27T11:28:59.289165Z,20.989 ms,27.687749999999998 ms,20.989 ms,31.238 ms,4
2024-12-27T11:28:59.268176Z,2024-12-27T11:28:59.293022Z,24.846 ms,27.1194 ms,20.989 ms,31.238 ms,5
2024-12-27T11:28:59.268176Z,2024-12-27T11:28:59.293807Z,25.631 ms,26.87133333333333 ms,20.989 ms,31.238 ms,6
2024-12-27T11:29:19.191067Z,2024-12-27T11:29:19.209924Z,18.857 ms,25.72642857142857 ms,18.857 ms,31.238 ms,7
2024-12-27T11:29:19.191067Z,2024-12-27T11:29:19.210824Z,19.757 ms,24.980249999999998 ms,18.857 ms,31.238 ms,8
2024-12-27T11:29:19.191067Z,2024-12-27T11:29:19.211623Z,20.556 ms,24.488666666666667 ms,18.857 ms,31.238 ms,9
2024-12-27T11:29:27.315780Z,2024-12-27T11:29:27.333819Z,18.038999999999998 ms,23.8437 ms,18.038999999999998 ms,31.238 ms,10
2024-12-27T11:29:27.315780Z,2024-12-27T11:29:27.334787Z,19.006999999999998 ms,23.404 ms,18.038999999999998 ms,31.238 ms,11
2024-12-27T11:29:27.315780Z,2024-12-27T11:29:27.335590Z,19.810000000000002 ms,23.1045 ms,18.038999999999998 ms,31.238 ms,12
