observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-27T11:28:51.409353Z,2024-12-27T11:28:51.414444Z,5.091 ms,5.091 ms,5.091 ms,5.091 ms,1
2024-12-27T11:28:51.409353Z,2024-12-27T11:28:51.414444Z,5.091 ms,5.091 ms,5.091 ms,5.091 ms,2
2024-12-27T11:28:51.409353Z,2024-12-27T11:28:51.414444Z,5.091 ms,5.091 ms,5.091 ms,5.091 ms,3
2024-12-27T11:28:59.268176Z,2024-12-27T11:28:59.273198Z,5.022 ms,5.07375 ms,5.022 ms,5.091 ms,4
2024-12-27T11:28:59.268176Z,2024-12-27T11:28:59.273198Z,5.022 ms,5.0634 ms,5.022 ms,5.091 ms,5
2024-12-27T11:28:59.268176Z,2024-12-27T11:28:59.273198Z,5.022 ms,5.0565 ms,5.022 ms,5.091 ms,6
2024-12-27T11:29:19.191067Z,2024-12-27T11:29:19.196378Z,5.311 ms,5.0928571428571425 ms,5.022 ms,5.311 ms,7
2024-12-27T11:29:19.191067Z,2024-12-27T11:29:19.196378Z,5.311 ms,5.120125 ms,5.022 ms,5.311 ms,8
2024-12-27T11:29:19.191067Z,2024-12-27T11:29:19.196378Z,5.311 ms,5.141333333333333 ms,5.022 ms,5.311 ms,9
2024-12-27T11:29:27.315780Z,2024-12-27T11:29:27.320036Z,4.256 ms,5.0527999999999995 ms,4.256 ms,5.311 ms,10
2024-12-27T11:29:27.315780Z,2024-12-27T11:29:27.320036Z,4.256 ms,4.980363636363636 ms,4.256 ms,5.311 ms,11
2024-12-27T11:29:27.315780Z,2024-12-27T11:29:27.320036Z,4.256 ms,4.92 ms,4.256 ms,5.311 ms,12
