observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-27T11:11:43.459182Z,2024-12-27T11:11:43.489871Z,30.689 ms,30.689 ms,30.689 ms,30.689 ms,1
2024-12-27T11:11:43.459182Z,2024-12-27T11:11:43.493917Z,34.735 ms,32.712 ms,30.689 ms,34.735 ms,2
2024-12-27T11:11:43.459182Z,2024-12-27T11:11:43.495006Z,35.824000000000005 ms,33.74933333333333 ms,30.689 ms,35.824000000000005 ms,3
2024-12-27T11:11:51.250067Z,2024-12-27T11:11:51.271486Z,21.419 ms,30.66675 ms,21.419 ms,35.824000000000005 ms,4
2024-12-27T11:11:51.250067Z,2024-12-27T11:11:51.272900Z,22.833 ms,29.099999999999998 ms,21.419 ms,35.824000000000005 ms,5
2024-12-27T11:11:51.250067Z,2024-12-27T11:11:51.274006Z,23.939 ms,28.23983333333333 ms,21.419 ms,35.824000000000005 ms,6
2024-12-27T11:11:59.246859Z,2024-12-27T11:11:59.266092Z,19.233 ms,26.953142857142854 ms,19.233 ms,35.824000000000005 ms,7
2024-12-27T11:11:59.246859Z,2024-12-27T11:11:59.267267Z,20.407999999999998 ms,26.134999999999998 ms,19.233 ms,35.824000000000005 ms,8
2024-12-27T11:11:59.246859Z,2024-12-27T11:11:59.268361Z,21.502 ms,25.62022222222222 ms,19.233 ms,35.824000000000005 ms,9
2024-12-27T11:12:07.302457Z,2024-12-27T11:12:07.321131Z,18.674 ms,24.9256 ms,18.674 ms,35.824000000000005 ms,10
2024-12-27T11:12:07.302457Z,2024-12-27T11:12:07.322157Z,19.7 ms,24.450545454545452 ms,18.674 ms,35.824000000000005 ms,11
2024-12-27T11:12:07.302457Z,2024-12-27T11:12:07.323022Z,20.565 ms,24.126749999999998 ms,18.674 ms,35.824000000000005 ms,12
2024-12-27T11:12:15.265050Z,2024-12-27T11:12:15.284032Z,18.982 ms,23.730999999999998 ms,18.674 ms,35.824000000000005 ms,13
2024-12-27T11:12:15.265050Z,2024-12-27T11:12:15.285107Z,20.057 ms,23.468571428571426 ms,18.674 ms,35.824000000000005 ms,14
2024-12-27T11:12:15.265050Z,2024-12-27T11:12:15.285916Z,20.866 ms,23.295066666666663 ms,18.674 ms,35.824000000000005 ms,15
2024-12-27T11:12:23.207466Z,2024-12-27T11:12:23.227845Z,20.379 ms,23.112812499999997 ms,18.674 ms,35.824000000000005 ms,16
2024-12-27T11:12:23.207466Z,2024-12-27T11:12:23.228701Z,21.235 ms,23.00235294117647 ms,18.674 ms,35.824000000000005 ms,17
2024-12-27T11:12:23.207466Z,2024-12-27T11:12:23.229505Z,22.038999999999998 ms,22.94883333333333 ms,18.674 ms,35.824000000000005 ms,18
2024-12-27T11:12:31.238610Z,2024-12-27T11:12:31.255871Z,17.261 ms,22.649473684210523 ms,17.261 ms,35.824000000000005 ms,19
2024-12-27T11:12:31.238610Z,2024-12-27T11:12:31.256837Z,18.227 ms,22.428349999999995 ms,17.261 ms,35.824000000000005 ms,20
2024-12-27T11:12:31.238610Z,2024-12-27T11:12:31.257605Z,18.995 ms,22.26485714285714 ms,17.261 ms,35.824000000000005 ms,21
2024-12-27T11:12:39.251695Z,2024-12-27T11:12:39.269657Z,17.962 ms,22.069272727272722 ms,17.261 ms,35.824000000000005 ms,22
2024-12-27T11:12:39.251695Z,2024-12-27T11:12:39.270746Z,19.051 ms,21.938043478260866 ms,17.261 ms,35.824000000000005 ms,23
2024-12-27T11:12:39.251695Z,2024-12-27T11:12:39.271708Z,20.012999999999998 ms,21.857833333333325 ms,17.261 ms,35.824000000000005 ms,24
2024-12-27T11:12:47.244871Z,2024-12-27T11:12:47.262076Z,17.205000000000002 ms,21.671719999999993 ms,17.205000000000002 ms,35.824000000000005 ms,25
2024-12-27T11:12:47.244871Z,2024-12-27T11:12:47.263173Z,18.302 ms,21.542115384615382 ms,17.205000000000002 ms,35.824000000000005 ms,26
2024-12-27T11:12:47.244871Z,2024-12-27T11:12:47.264029Z,19.158 ms,21.453814814814812 ms,17.205000000000002 ms,35.824000000000005 ms,27
2024-12-27T11:12:55.244489Z,2024-12-27T11:12:55.261695Z,17.206 ms,21.302107142857135 ms,17.205000000000002 ms,35.824000000000005 ms,28
2024-12-27T11:12:55.244489Z,2024-12-27T11:12:55.262688Z,18.199 ms,21.19510344827586 ms,17.205000000000002 ms,35.824000000000005 ms,29
2024-12-27T11:12:55.244489Z,2024-12-27T11:12:55.263634Z,19.145 ms,21.12676666666666 ms,17.205000000000002 ms,35.824000000000005 ms,30
2024-12-27T11:13:03.221880Z,2024-12-27T11:13:03.239265Z,17.385 ms,21.006064516129026 ms,17.205000000000002 ms,35.824000000000005 ms,31
2024-12-27T11:13:03.221880Z,2024-12-27T11:13:03.240215Z,18.335 ms,20.922593749999994 ms,17.205000000000002 ms,35.824000000000005 ms,32
2024-12-27T11:13:03.221880Z,2024-12-27T11:13:03.241043Z,19.163 ms,20.869272727272723 ms,17.205000000000002 ms,35.824000000000005 ms,33
2024-12-27T11:13:11.272911Z,2024-12-27T11:13:11.289739Z,16.828 ms,20.750411764705873 ms,16.828 ms,35.824000000000005 ms,34
2024-12-27T11:13:11.272911Z,2024-12-27T11:13:11.290778Z,17.867 ms,20.66802857142856 ms,16.828 ms,35.824000000000005 ms,35
2024-12-27T11:13:11.272911Z,2024-12-27T11:13:11.291617Z,18.706 ms,20.61352777777777 ms,16.828 ms,35.824000000000005 ms,36
2024-12-27T11:13:19.273877Z,2024-12-27T11:13:19.292595Z,18.718 ms,20.56229729729729 ms,16.828 ms,35.824000000000005 ms,37
2024-12-27T11:13:19.273877Z,2024-12-27T11:13:19.293446Z,19.569 ms,20.53615789473683 ms,16.828 ms,35.824000000000005 ms,38
2024-12-27T11:13:19.273877Z,2024-12-27T11:13:19.294232Z,20.355 ms,20.531512820512813 ms,16.828 ms,35.824000000000005 ms,39
2024-12-27T11:13:27.241577Z,2024-12-27T11:13:27.258137Z,16.56 ms,20.432224999999992 ms,16.56 ms,35.824000000000005 ms,40
2024-12-27T11:13:27.241577Z,2024-12-27T11:13:27.259104Z,17.527 ms,20.36136585365853 ms,16.56 ms,35.824000000000005 ms,41
2024-12-27T11:13:27.241577Z,2024-12-27T11:13:27.259943Z,18.366 ms,20.313857142857135 ms,16.56 ms,35.824000000000005 ms,42
2024-12-27T11:13:35.231968Z,2024-12-27T11:13:35.248561Z,16.593 ms,20.227325581395338 ms,16.56 ms,35.824000000000005 ms,43
2024-12-27T11:13:35.231968Z,2024-12-27T11:13:35.249619Z,17.651 ms,20.16877272727272 ms,16.56 ms,35.824000000000005 ms,44
2024-12-27T11:13:35.231968Z,2024-12-27T11:13:35.250442Z,18.474 ms,20.131111111111103 ms,16.56 ms,35.824000000000005 ms,45
2024-12-27T11:13:43.247471Z,2024-12-27T11:13:43.263707Z,16.236 ms,20.04643478260869 ms,16.236 ms,35.824000000000005 ms,46
2024-12-27T11:13:43.247471Z,2024-12-27T11:13:43.264694Z,17.223 ms,19.986361702127653 ms,16.236 ms,35.824000000000005 ms,47
2024-12-27T11:13:43.247471Z,2024-12-27T11:13:43.265507Z,18.036 ms,19.94572916666666 ms,16.236 ms,35.824000000000005 ms,48
2024-12-27T11:13:51.242663Z,2024-12-27T11:13:51.259867Z,17.204 ms,19.889775510204075 ms,16.236 ms,35.824000000000005 ms,49
2024-12-27T11:13:51.242663Z,2024-12-27T11:13:51.260935Z,18.272 ms,19.857419999999994 ms,16.236 ms,35.824000000000005 ms,50
2024-12-27T11:13:51.242663Z,2024-12-27T11:13:51.261737Z,19.074 ms,19.842058823529403 ms,16.236 ms,35.824000000000005 ms,51
2024-12-27T11:13:59.188511Z,2024-12-27T11:13:59.205178Z,16.667 ms,19.78099999999999 ms,16.236 ms,35.824000000000005 ms,52
2024-12-27T11:13:59.188511Z,2024-12-27T11:13:59.206089Z,17.578 ms,19.739433962264147 ms,16.236 ms,35.824000000000005 ms,53
2024-12-27T11:13:59.188511Z,2024-12-27T11:13:59.206894Z,18.383 ms,19.71431481481481 ms,16.236 ms,35.824000000000005 ms,54
2024-12-27T11:14:07.252413Z,2024-12-27T11:14:07.271557Z,19.144000000000002 ms,19.70394545454545 ms,16.236 ms,35.824000000000005 ms,55
2024-12-27T11:14:07.252413Z,2024-12-27T11:14:07.272514Z,20.101 ms,19.71103571428571 ms,16.236 ms,35.824000000000005 ms,56
2024-12-27T11:14:07.252413Z,2024-12-27T11:14:07.273306Z,20.892999999999997 ms,19.731771929824557 ms,16.236 ms,35.824000000000005 ms,57
2024-12-27T11:14:15.255412Z,2024-12-27T11:14:15.271281Z,15.869000000000002 ms,19.665172413793098 ms,15.869000000000002 ms,35.824000000000005 ms,58
2024-12-27T11:14:15.255412Z,2024-12-27T11:14:15.272308Z,16.896 ms,19.61823728813559 ms,15.869000000000002 ms,35.824000000000005 ms,59
2024-12-27T11:14:15.255412Z,2024-12-27T11:14:15.273088Z,17.676000000000002 ms,19.585866666666664 ms,15.869000000000002 ms,35.824000000000005 ms,60
2024-12-27T11:14:23.239668Z,2024-12-27T11:14:23.255355Z,15.687 ms,19.521950819672128 ms,15.687 ms,35.824000000000005 ms,61
2024-12-27T11:14:23.239668Z,2024-12-27T11:14:23.256505Z,16.837 ms,19.478645161290316 ms,15.687 ms,35.824000000000005 ms,62
2024-12-27T11:14:23.239668Z,2024-12-27T11:14:23.257307Z,17.639 ms,19.44944444444444 ms,15.687 ms,35.824000000000005 ms,63
2024-12-27T11:14:31.283468Z,2024-12-27T11:14:31.299075Z,15.607 ms,19.389406249999993 ms,15.607 ms,35.824000000000005 ms,64
