observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-27T11:11:43.459182Z,2024-12-27T11:11:43.464527Z,5.345 ms,5.345 ms,5.345 ms,5.345 ms,1
2024-12-27T11:11:43.459182Z,2024-12-27T11:11:43.464527Z,5.345 ms,5.345 ms,5.345 ms,5.345 ms,2
2024-12-27T11:11:43.459182Z,2024-12-27T11:11:43.464527Z,5.345 ms,5.345 ms,5.345 ms,5.345 ms,3
2024-12-27T11:11:51.250067Z,2024-12-27T11:11:51.254550Z,4.483 ms,5.1295 ms,4.483 ms,5.345 ms,4
2024-12-27T11:11:51.250067Z,2024-12-27T11:11:51.254550Z,4.483 ms,5.0002 ms,4.483 ms,5.345 ms,5
2024-12-27T11:11:51.250067Z,2024-12-27T11:11:51.254550Z,4.483 ms,4.914000000000001 ms,4.483 ms,5.345 ms,6
2024-12-27T11:11:59.246859Z,2024-12-27T11:11:59.251650Z,4.791 ms,4.896428571428571 ms,4.483 ms,5.345 ms,7
2024-12-27T11:11:59.246859Z,2024-12-27T11:11:59.251650Z,4.791 ms,4.88325 ms,4.483 ms,5.345 ms,8
2024-12-27T11:11:59.246859Z,2024-12-27T11:11:59.251650Z,4.791 ms,4.873 ms,4.483 ms,5.345 ms,9
2024-12-27T11:12:07.302457Z,2024-12-27T11:12:07.307034Z,4.577 ms,4.8434 ms,4.483 ms,5.345 ms,10
2024-12-27T11:12:07.302457Z,2024-12-27T11:12:07.307034Z,4.577 ms,4.819181818181819 ms,4.483 ms,5.345 ms,11
2024-12-27T11:12:07.302457Z,2024-12-27T11:12:07.307034Z,4.577 ms,4.799 ms,4.483 ms,5.345 ms,12
2024-12-27T11:12:15.265050Z,2024-12-27T11:12:15.269490Z,4.44 ms,4.771384615384616 ms,4.44 ms,5.345 ms,13
2024-12-27T11:12:15.265050Z,2024-12-27T11:12:15.269490Z,4.44 ms,4.747714285714285 ms,4.44 ms,5.345 ms,14
