observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-07T19:41:57.644846Z,2024-12-07T19:41:57.812641Z,167.795 ms,167.795 ms,167.795 ms,167.795 ms,1
2024-12-07T19:41:57.644846Z,2024-12-07T19:41:57.813630Z,168.784 ms,168.28949999999998 ms,167.795 ms,168.784 ms,2
2024-12-07T19:41:57.644846Z,2024-12-07T19:41:57.814525Z,169.679 ms,168.75266666666667 ms,167.795 ms,169.679 ms,3
2024-12-07T19:42:09.402048Z,2024-12-07T19:42:09.541363Z,139.315 ms,161.39325 ms,139.315 ms,169.679 ms,4
2024-12-07T19:42:09.402048Z,2024-12-07T19:42:09.542273Z,140.225 ms,157.1596 ms,139.315 ms,169.679 ms,5
2024-12-07T19:42:09.402048Z,2024-12-07T19:42:09.544226Z,142.178 ms,154.66266666666667 ms,139.315 ms,169.679 ms,6
2024-12-07T19:42:21.420578Z,2024-12-07T19:42:21.547719Z,127.141 ms,150.731 ms,127.141 ms,169.679 ms,7
2024-12-07T19:42:21.420578Z,2024-12-07T19:42:21.548656Z,128.078 ms,147.899375 ms,127.141 ms,169.679 ms,8
2024-12-07T19:42:21.420578Z,2024-12-07T19:42:21.549438Z,128.86 ms,145.78388888888887 ms,127.141 ms,169.679 ms,9
2024-12-07T19:42:33.463791Z,2024-12-07T19:42:33.591235Z,127.444 ms,143.9499 ms,127.141 ms,169.679 ms,10
2024-12-07T19:42:33.463791Z,2024-12-07T19:42:33.592204Z,128.413 ms,142.53745454545455 ms,127.141 ms,169.679 ms,11
2024-12-07T19:42:33.463791Z,2024-12-07T19:42:33.592977Z,129.186 ms,141.42483333333337 ms,127.141 ms,169.679 ms,12
