observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-15T18:46:41.329794Z,2024-12-15T18:46:41.352074Z,22.28 ms,22.28 ms,22.28 ms,22.28 ms,1
2024-12-15T18:46:49.175850Z,2024-12-15T18:46:49.194085Z,18.235 ms,20.2575 ms,18.235 ms,22.28 ms,2
2024-12-15T18:46:57.191565Z,2024-12-15T18:46:57.208801Z,17.236 ms,19.250333333333334 ms,17.236 ms,22.28 ms,3
2024-12-15T18:47:05.217450Z,2024-12-15T18:47:05.233064Z,15.613999999999999 ms,18.34125 ms,15.613999999999999 ms,22.28 ms,4
2024-12-15T18:47:13.193636Z,2024-12-15T18:47:13.209517Z,15.880999999999998 ms,17.8492 ms,15.613999999999999 ms,22.28 ms,5
2024-12-15T18:47:21.144211Z,2024-12-15T18:47:21.159283Z,15.072000000000001 ms,17.386333333333333 ms,15.072000000000001 ms,22.28 ms,6
2024-12-15T18:47:29.187955Z,2024-12-15T18:47:29.201506Z,13.551 ms,16.83842857142857 ms,13.551 ms,22.28 ms,7
2024-12-15T18:47:37.176830Z,2024-12-15T18:47:37.190447Z,13.617 ms,16.43575 ms,13.551 ms,22.28 ms,8
2024-12-15T18:47:45.189375Z,2024-12-15T18:47:45.203566Z,14.191 ms,16.186333333333334 ms,13.551 ms,22.28 ms,9
2024-12-15T18:47:53.185119Z,2024-12-15T18:47:53.200357Z,15.238 ms,16.0915 ms,13.551 ms,22.28 ms,10
2024-12-15T18:48:01.183484Z,2024-12-15T18:48:01.197682Z,14.198 ms,15.919363636363634 ms,13.551 ms,22.28 ms,11
2024-12-15T18:48:09.143071Z,2024-12-15T18:48:09.155889Z,12.818 ms,15.660916666666667 ms,12.818 ms,22.28 ms,12
2024-12-15T18:48:17.220708Z,2024-12-15T18:48:17.235237Z,14.529 ms,15.573846153846151 ms,12.818 ms,22.28 ms,13
2024-12-15T18:48:25.177077Z,2024-12-15T18:48:25.190199Z,13.122 ms,15.398714285714282 ms,12.818 ms,22.28 ms,14
2024-12-15T18:48:33.177839Z,2024-12-15T18:48:33.191283Z,13.443999999999999 ms,15.268399999999998 ms,12.818 ms,22.28 ms,15
2024-12-15T18:48:41.152527Z,2024-12-15T18:48:41.165235Z,12.708 ms,15.108374999999999 ms,12.708 ms,22.28 ms,16
2024-12-15T18:48:49.216075Z,2024-12-15T18:48:49.229424Z,13.349 ms,15.004882352941173 ms,12.708 ms,22.28 ms,17
2024-12-15T18:48:57.188365Z,2024-12-15T18:48:57.201300Z,12.935 ms,14.889888888888885 ms,12.708 ms,22.28 ms,18
2024-12-15T18:49:05.176611Z,2024-12-15T18:49:05.189647Z,13.036000000000001 ms,14.79231578947368 ms,12.708 ms,22.28 ms,19
2024-12-15T18:49:13.176814Z,2024-12-15T18:49:13.190496Z,13.682 ms,14.736799999999995 ms,12.708 ms,22.28 ms,20
2024-12-15T18:49:21.148660Z,2024-12-15T18:49:21.162530Z,13.870000000000001 ms,14.695523809523804 ms,12.708 ms,22.28 ms,21
2024-12-15T18:49:29.189462Z,2024-12-15T18:49:29.202562Z,13.100000000000001 ms,14.622999999999996 ms,12.708 ms,22.28 ms,22
2024-12-15T18:49:37.245519Z,2024-12-15T18:49:37.258846Z,13.327 ms,14.566652173913038 ms,12.708 ms,22.28 ms,23
2024-12-15T18:49:45.204699Z,2024-12-15T18:49:45.217207Z,12.508000000000001 ms,14.480874999999996 ms,12.508000000000001 ms,22.28 ms,24
