observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-07T19:41:57.644846Z,2024-12-07T19:41:57.651171Z,6.325 ms,6.325 ms,6.325 ms,6.325 ms,1
2024-12-07T19:41:57.644846Z,2024-12-07T19:41:57.650760Z,5.914 ms,6.1195 ms,5.914 ms,6.325 ms,2
2024-12-07T19:41:57.644846Z,2024-12-07T19:41:57.650998Z,6.152 ms,6.130333333333334 ms,5.914 ms,6.325 ms,3
2024-12-07T19:42:09.402048Z,2024-12-07T19:42:09.408140Z,6.0920000000000005 ms,6.12075 ms,5.914 ms,6.325 ms,4
2024-12-07T19:42:09.402048Z,2024-12-07T19:42:09.407732Z,5.684 ms,6.033399999999999 ms,5.684 ms,6.325 ms,5
2024-12-07T19:42:09.402048Z,2024-12-07T19:42:09.407966Z,5.917999999999999 ms,6.014166666666667 ms,5.684 ms,6.325 ms,6
2024-12-07T19:42:21.420578Z,2024-12-07T19:42:21.426639Z,6.061000000000001 ms,6.0208571428571425 ms,5.684 ms,6.325 ms,7
2024-12-07T19:42:21.420578Z,2024-12-07T19:42:21.426242Z,5.664 ms,5.97625 ms,5.664 ms,6.325 ms,8
2024-12-07T19:42:21.420578Z,2024-12-07T19:42:21.426471Z,5.893 ms,5.9670000000000005 ms,5.664 ms,6.325 ms,9
2024-12-07T19:42:33.463791Z,2024-12-07T19:42:33.469814Z,6.023 ms,5.972600000000001 ms,5.664 ms,6.325 ms,10
2024-12-07T19:42:33.463791Z,2024-12-07T19:42:33.469407Z,5.6160000000000005 ms,5.940181818181819 ms,5.6160000000000005 ms,6.325 ms,11
2024-12-07T19:42:33.463791Z,2024-12-07T19:42:33.469642Z,5.851 ms,5.93275 ms,5.6160000000000005 ms,6.325 ms,12
