observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-03-24T19:31:55.253316Z,2025-03-24T19:31:55.539000Z,285.68399999999997 ms,285.68399999999997 ms,285.68399999999997 ms,285.68399999999997 ms,1
2025-03-24T19:31:55.253316Z,2025-03-24T19:31:55.538000Z,284.68399999999997 ms,285.18399999999997 ms,284.68399999999997 ms,285.68399999999997 ms,2
2025-03-24T19:31:59.925314Z,2025-03-24T19:32:00.150000Z,224.686 ms,265.018 ms,224.686 ms,285.68399999999997 ms,3
2025-03-24T19:31:59.925314Z,2025-03-24T19:32:00.150000Z,224.686 ms,254.93499999999997 ms,224.686 ms,285.68399999999997 ms,4
2025-03-24T19:32:05.095549Z,2025-03-24T19:32:05.332000Z,236.451 ms,251.23819999999998 ms,224.686 ms,285.68399999999997 ms,5
2025-03-24T19:32:05.095549Z,2025-03-24T19:32:05.332000Z,236.451 ms,248.77366666666666 ms,224.686 ms,285.68399999999997 ms,6
2025-03-24T19:32:09.776580Z,2025-03-24T19:32:09.986000Z,209.42 ms,243.15171428571426 ms,209.42 ms,285.68399999999997 ms,7
2025-03-24T19:32:09.776580Z,2025-03-24T19:32:09.986000Z,209.42 ms,238.93524999999997 ms,209.42 ms,285.68399999999997 ms,8
2025-03-24T19:32:15.029093Z,2025-03-24T19:32:15.225000Z,195.907 ms,234.15433333333328 ms,195.907 ms,285.68399999999997 ms,9
2025-03-24T19:32:15.029093Z,2025-03-24T19:32:15.225000Z,195.907 ms,230.32959999999997 ms,195.907 ms,285.68399999999997 ms,10
2025-03-24T19:32:20.080822Z,2025-03-24T19:32:20.295000Z,214.178 ms,228.86127272727268 ms,195.907 ms,285.68399999999997 ms,11
2025-03-24T19:32:20.080822Z,2025-03-24T19:32:20.295000Z,214.178 ms,227.63766666666663 ms,195.907 ms,285.68399999999997 ms,12
2025-03-24T19:32:24.667467Z,2025-03-24T19:32:24.854000Z,186.53300000000002 ms,224.47576923076917 ms,186.53300000000002 ms,285.68399999999997 ms,13
2025-03-24T19:32:24.667467Z,2025-03-24T19:32:24.854000Z,186.53300000000002 ms,221.76557142857138 ms,186.53300000000002 ms,285.68399999999997 ms,14
