observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2024-12-11T19:52:20.459011Z,2024-12-11T19:52:19.137533Z,2024-12-11T19:52:20.475812Z,16.801 ms,16.801 ms,16.801 ms,16.801 ms,1338.279 ms,1338.279 ms,1338.279 ms,1338.279 ms,1
2024-12-11T19:52:26.694173Z,2024-12-11T19:52:25.480752Z,2024-12-11T19:52:26.708821Z,14.648 ms,15.724499999999999 ms,14.648 ms,16.801 ms,1228.0690000000002 ms,1283.174 ms,1228.0690000000002 ms,1338.279 ms,2
2024-12-11T19:52:32.877595Z,2024-12-11T19:52:31.713155Z,2024-12-11T19:52:32.891545Z,13.950000000000001 ms,15.133 ms,13.950000000000001 ms,16.801 ms,1178.39 ms,1248.2459999999999 ms,1178.39 ms,1338.279 ms,3
2024-12-11T19:52:39.165222Z,2024-12-11T19:52:37.895537Z,2024-12-11T19:52:39.180709Z,15.487 ms,15.221499999999999 ms,13.950000000000001 ms,16.801 ms,1285.172 ms,1257.4775 ms,1178.39 ms,1338.279 ms,4
2024-12-11T19:52:45.399344Z,2024-12-11T19:52:44.183611Z,2024-12-11T19:52:45.412848Z,13.504 ms,14.877999999999998 ms,13.504 ms,16.801 ms,1229.2369999999999 ms,1251.8294 ms,1178.39 ms,1338.279 ms,5
2024-12-11T19:52:51.620900Z,2024-12-11T19:52:50.418196Z,2024-12-11T19:52:51.633864Z,12.964 ms,14.559000000000001 ms,12.964 ms,16.801 ms,1215.668 ms,1245.8025000000002 ms,1178.39 ms,1338.279 ms,6
2024-12-11T19:52:57.889587Z,2024-12-11T19:52:56.639519Z,2024-12-11T19:52:57.914011Z,24.424 ms,15.968285714285717 ms,12.964 ms,24.424 ms,1274.492 ms,1249.9009999999998 ms,1178.39 ms,1338.279 ms,7
2024-12-11T19:53:04.134980Z,2024-12-11T19:53:02.919538Z,2024-12-11T19:53:04.147640Z,12.66 ms,15.55475 ms,12.66 ms,24.424 ms,1228.102 ms,1247.176125 ms,1178.39 ms,1338.279 ms,8
2024-12-11T19:53:10.377427Z,2024-12-11T19:53:09.152098Z,2024-12-11T19:53:10.389682Z,12.255 ms,15.188111111111112 ms,12.255 ms,24.424 ms,1237.584 ms,1246.1103333333333 ms,1178.39 ms,1338.279 ms,9
2024-12-11T19:53:16.636239Z,2024-12-11T19:53:15.393443Z,2024-12-11T19:53:16.649369Z,13.129999999999999 ms,14.9823 ms,12.255 ms,24.424 ms,1255.9260000000002 ms,1247.0919000000001 ms,1178.39 ms,1338.279 ms,10
2024-12-11T19:53:22.831828Z,2024-12-11T19:53:21.653582Z,2024-12-11T19:53:22.844113Z,12.285 ms,14.73709090909091 ms,12.255 ms,24.424 ms,1190.531 ms,1241.95 ms,1178.39 ms,1338.279 ms,11
2024-12-11T19:53:29.059635Z,2024-12-11T19:53:27.849794Z,2024-12-11T19:53:29.072847Z,13.212 ms,14.61 ms,12.255 ms,24.424 ms,1223.0529999999999 ms,1240.37525 ms,1178.39 ms,1338.279 ms,12
2024-12-11T19:53:35.257605Z,2024-12-11T19:53:34.075566Z,2024-12-11T19:53:35.270230Z,12.625 ms,14.457307692307692 ms,12.255 ms,24.424 ms,1194.664 ms,1236.8590000000002 ms,1178.39 ms,1338.279 ms,13
2024-12-11T19:53:41.485300Z,2024-12-11T19:53:40.275531Z,2024-12-11T19:53:41.497289Z,11.988999999999999 ms,14.281 ms,11.988999999999999 ms,24.424 ms,1221.7579999999998 ms,1235.7803571428574 ms,1178.39 ms,1338.279 ms,14
2024-12-11T19:53:47.710377Z,2024-12-11T19:53:46.499554Z,2024-12-11T19:53:47.722440Z,12.063 ms,14.133133333333332 ms,11.988999999999999 ms,24.424 ms,1222.886 ms,1234.9207333333334 ms,1178.39 ms,1338.279 ms,15
2024-12-11T19:53:53.906093Z,2024-12-11T19:53:52.727539Z,2024-12-11T19:53:53.917871Z,11.778 ms,13.9859375 ms,11.778 ms,24.424 ms,1190.3319999999999 ms,1232.1339375000002 ms,1178.39 ms,1338.279 ms,16
2024-12-11T19:54:00.137867Z,2024-12-11T19:53:58.923595Z,2024-12-11T19:54:00.150064Z,12.197 ms,13.880705882352943 ms,11.778 ms,24.424 ms,1226.469 ms,1231.8007058823532 ms,1178.39 ms,1338.279 ms,17
2024-12-11T19:54:06.367144Z,2024-12-11T19:54:05.155539Z,2024-12-11T19:54:06.379849Z,12.705 ms,13.81538888888889 ms,11.778 ms,24.424 ms,1224.31 ms,1231.3845555555558 ms,1178.39 ms,1338.279 ms,18
