observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-14T15:51:35.986688Z,2024-12-14T15:51:36.013913Z,2024-12-14T15:51:36.050921Z,64.233 ms,37.009919 ms,37.009919 ms,37.009919 ms,37.009919 ms,1
2024-12-14T15:51:40.918884Z,2024-12-14T15:51:40.922041Z,2024-12-14T15:51:40.958860Z,39.976 ms,36.820932 ms,36.9154255 ms,36.820932 ms,37.009919 ms,2
2024-12-14T15:51:45.919697Z,2024-12-14T15:51:45.922738Z,2024-12-14T15:51:45.950999Z,31.302000000000003 ms,28.262089 ms,34.03098 ms,28.262089 ms,37.009919 ms,3
2024-12-14T15:51:50.915354Z,2024-12-14T15:51:50.919153Z,2024-12-14T15:51:50.948151Z,32.797 ms,28.99927 ms,32.7730525 ms,28.262089 ms,37.009919 ms,4
2024-12-14T15:51:55.918744Z,2024-12-14T15:51:55.921665Z,2024-12-14T15:51:55.952936Z,34.192 ms,31.272132 ms,32.472868399999996 ms,28.262089 ms,37.009919 ms,5
2024-12-14T15:52:00.918728Z,2024-12-14T15:52:00.921359Z,2024-12-14T15:52:00.951086Z,32.358 ms,29.728433 ms,32.0154625 ms,28.262089 ms,37.009919 ms,6
2024-12-14T15:52:05.919955Z,2024-12-14T15:52:05.922736Z,2024-12-14T15:52:05.955445Z,35.49 ms,32.709592 ms,32.11462385714286 ms,28.262089 ms,37.009919 ms,7
2024-12-14T15:52:10.928571Z,2024-12-14T15:52:10.931424Z,2024-12-14T15:52:10.959168Z,30.596999999999998 ms,27.720192 ms,31.565319875 ms,27.720192 ms,37.009919 ms,8
2024-12-14T15:52:15.925620Z,2024-12-14T15:52:15.928443Z,2024-12-14T15:52:15.962751Z,37.131 ms,34.310146 ms,31.870300555555556 ms,27.720192 ms,37.009919 ms,9
2024-12-14T15:52:20.925756Z,2024-12-14T15:52:20.928216Z,2024-12-14T15:52:20.961922Z,36.166 ms,33.707404 ms,32.0540109 ms,27.720192 ms,37.009919 ms,10
2024-12-14T15:52:25.926740Z,2024-12-14T15:52:25.929438Z,2024-12-14T15:52:25.956591Z,29.851 ms,27.153539 ms,31.608513454545452 ms,27.153539 ms,37.009919 ms,11
2024-12-14T15:52:30.923660Z,2024-12-14T15:52:30.926308Z,2024-12-14T15:52:30.960057Z,36.397 ms,33.750643 ms,31.78702425 ms,27.153539 ms,37.009919 ms,12
