observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-07T19:21:10.578501Z,2024-12-07T19:21:10.612858Z,2024-12-07T19:21:10.617330Z,80.943 ms,4.476681 ms,4.476681 ms,4.476681 ms,4.476681 ms,1
2024-12-07T19:21:30.313275Z,2024-12-07T19:21:30.317574Z,2024-12-07T19:21:30.318586Z,74.61099999999999 ms,1.013304 ms,2.7449925 ms,1.013304 ms,4.476681 ms,2
2024-12-07T19:21:48.733694Z,2024-12-07T19:21:48.737987Z,2024-12-07T19:21:48.738248Z,49.772 ms,0.263416 ms,1.9178003333333333 ms,0.263416 ms,4.476681 ms,3
2024-12-07T19:22:03.621459Z,2024-12-07T19:22:03.626038Z,2024-12-07T19:22:03.626429Z,64.793 ms,0.393483 ms,1.536721 ms,0.263416 ms,4.476681 ms,4
2024-12-07T19:22:29.826373Z,2024-12-07T19:22:29.831705Z,2024-12-07T19:22:29.832041Z,32.663 ms,0.337887 ms,1.2969542 ms,0.263416 ms,4.476681 ms,5
2024-12-07T19:22:39.764310Z,2024-12-07T19:22:39.767143Z,2024-12-07T19:22:39.767418Z,33.251000000000005 ms,0.261171 ms,1.1243236666666667 ms,0.261171 ms,4.476681 ms,6
2024-12-07T19:22:49.753628Z,2024-12-07T19:22:49.756152Z,2024-12-07T19:22:49.756440Z,31.968000000000004 ms,0.289264 ms,1.0050294285714285 ms,0.261171 ms,4.476681 ms,7
2024-12-07T19:22:59.756609Z,2024-12-07T19:22:59.759340Z,2024-12-07T19:22:59.759610Z,31.492 ms,0.271118 ms,0.9132905 ms,0.261171 ms,4.476681 ms,8
2024-12-07T19:23:10.385467Z,2024-12-07T19:23:10.389545Z,2024-12-07T19:23:10.389823Z,32.835 ms,0.279528 ms,0.8428724444444445 ms,0.261171 ms,4.476681 ms,9
2024-12-07T19:23:20.314434Z,2024-12-07T19:23:20.317400Z,2024-12-07T19:23:20.317664Z,30.069 ms,0.265669 ms,0.7851521 ms,0.261171 ms,4.476681 ms,10
2024-12-07T19:23:32.294893Z,2024-12-07T19:23:32.298974Z,2024-12-07T19:23:32.299196Z,31.058 ms,0.22305 ms,0.734051909090909 ms,0.22305 ms,4.476681 ms,11
2024-12-07T19:23:42.252247Z,2024-12-07T19:23:42.255203Z,2024-12-07T19:23:42.255568Z,32.961 ms,0.366222 ms,0.7033994166666666 ms,0.22305 ms,4.476681 ms,12
2024-12-07T19:23:52.224718Z,2024-12-07T19:23:52.227793Z,2024-12-07T19:23:52.228096Z,29.394 ms,0.304898 ms,0.6727454615384615 ms,0.22305 ms,4.476681 ms,13
