observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-07T19:45:26.871781Z,2024-12-07T19:45:26.901538Z,2024-12-07T19:45:27.016134Z,144.36599999999999 ms,114.59757 ms,114.59757 ms,114.59757 ms,114.59757 ms,1
2024-12-07T19:45:27.579744Z,2024-12-07T19:45:27.585205Z,2024-12-07T19:45:27.730534Z,150.801 ms,145.329584 ms,129.963577 ms,114.59757 ms,145.329584 ms,2
2024-12-07T19:45:36.839953Z,2024-12-07T19:45:36.843805Z,2024-12-07T19:45:36.957798Z,117.858 ms,113.993839 ms,124.640331 ms,113.993839 ms,145.329584 ms,3
2024-12-07T19:45:37.540585Z,2024-12-07T19:45:37.544401Z,2024-12-07T19:45:37.656610Z,116.05600000000001 ms,112.193879 ms,121.528718 ms,112.193879 ms,145.329584 ms,4
2024-12-07T19:45:46.850636Z,2024-12-07T19:45:46.854391Z,2024-12-07T19:45:46.967124Z,116.49900000000001 ms,112.732967 ms,119.76956779999999 ms,112.193879 ms,145.329584 ms,5
2024-12-07T19:45:47.550422Z,2024-12-07T19:45:47.553636Z,2024-12-07T19:45:47.666419Z,116.01100000000001 ms,112.783688 ms,118.6052545 ms,112.193879 ms,145.329584 ms,6
2024-12-07T19:45:56.830486Z,2024-12-07T19:45:56.833922Z,2024-12-07T19:45:56.946335Z,115.861 ms,112.413512 ms,117.72071985714285 ms,112.193879 ms,145.329584 ms,7
2024-12-07T19:45:57.576933Z,2024-12-07T19:45:57.580017Z,2024-12-07T19:45:57.691981Z,115.06 ms,111.964592 ms,117.001203875 ms,111.964592 ms,145.329584 ms,8
2024-12-07T19:46:06.872021Z,2024-12-07T19:46:06.875457Z,2024-12-07T19:46:06.988131Z,116.137 ms,112.675168 ms,116.52053322222223 ms,111.964592 ms,145.329584 ms,9
2024-12-07T19:46:07.562790Z,2024-12-07T19:46:07.566370Z,2024-12-07T19:46:07.678029Z,115.252 ms,111.65917 ms,116.0343969 ms,111.65917 ms,145.329584 ms,10
2024-12-07T19:46:16.839622Z,2024-12-07T19:46:16.842810Z,2024-12-07T19:46:16.954161Z,114.554 ms,111.351274 ms,115.60865845454545 ms,111.351274 ms,145.329584 ms,11
2024-12-07T19:46:17.576560Z,2024-12-07T19:46:17.579807Z,2024-12-07T19:46:17.692898Z,116.52600000000001 ms,113.09016 ms,115.39878358333333 ms,111.351274 ms,145.329584 ms,12
2024-12-07T19:46:26.871638Z,2024-12-07T19:46:26.875030Z,2024-12-07T19:46:26.986971Z,115.346 ms,111.941542 ms,115.13284192307692 ms,111.351274 ms,145.329584 ms,13
2024-12-07T19:46:27.551520Z,2024-12-07T19:46:27.554560Z,2024-12-07T19:46:27.666663Z,115.15499999999999 ms,112.102685 ms,114.91640214285715 ms,111.351274 ms,145.329584 ms,14
2024-12-07T19:46:36.892322Z,2024-12-07T19:46:36.895461Z,2024-12-07T19:46:37.006864Z,114.553 ms,111.402701 ms,114.6821554 ms,111.351274 ms,145.329584 ms,15
2024-12-07T19:46:37.569406Z,2024-12-07T19:46:37.572386Z,2024-12-07T19:46:37.683924Z,114.53099999999999 ms,111.538444 ms,114.4856734375 ms,111.351274 ms,145.329584 ms,16
2024-12-07T19:46:46.866821Z,2024-12-07T19:46:46.870158Z,2024-12-07T19:46:46.982422Z,115.615 ms,112.264974 ms,114.35504405882352 ms,111.351274 ms,145.329584 ms,17
2024-12-07T19:46:47.573944Z,2024-12-07T19:46:47.577027Z,2024-12-07T19:46:47.688178Z,114.246 ms,111.152037 ms,114.17709922222222 ms,111.152037 ms,145.329584 ms,18
2024-12-07T19:46:56.881078Z,2024-12-07T19:46:56.883801Z,2024-12-07T19:46:56.995152Z,114.08600000000001 ms,111.351592 ms,114.02838831578947 ms,111.152037 ms,145.329584 ms,19
2024-12-07T19:46:57.547704Z,2024-12-07T19:46:57.550813Z,2024-12-07T19:46:57.662762Z,115.07000000000001 ms,111.949029 ms,113.92442034999999 ms,111.152037 ms,145.329584 ms,20
