observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-15T18:46:40.641444Z,2024-12-15T18:46:40.669264Z,2024-12-15T18:46:40.670483Z,29.038999999999998 ms,1.219 ms,1.219 ms,1.219 ms,1.219 ms,1
2024-12-15T18:46:41.329794Z,2024-12-15T18:46:41.335179Z,2024-12-15T18:46:41.335752Z,5.958 ms,0.5730000000000001 ms,0.8960000000000001 ms,0.5730000000000001 ms,1.219 ms,2
2024-12-15T18:46:48.586967Z,2024-12-15T18:46:48.591461Z,2024-12-15T18:46:48.591935Z,4.968 ms,0.474 ms,0.7553333333333334 ms,0.474 ms,1.219 ms,3
2024-12-15T18:46:49.175850Z,2024-12-15T18:46:49.180446Z,2024-12-15T18:46:49.180921Z,5.071 ms,0.475 ms,0.6852500000000001 ms,0.474 ms,1.219 ms,4
2024-12-15T18:46:56.593460Z,2024-12-15T18:46:56.598288Z,2024-12-15T18:46:56.598730Z,5.2700000000000005 ms,0.442 ms,0.6366 ms,0.442 ms,1.219 ms,5
2024-12-15T18:46:57.191565Z,2024-12-15T18:46:57.196361Z,2024-12-15T18:46:57.196916Z,5.351 ms,0.555 ms,0.6230000000000001 ms,0.442 ms,1.219 ms,6
2024-12-15T18:47:04.629181Z,2024-12-15T18:47:04.633701Z,2024-12-15T18:47:04.634164Z,4.983 ms,0.46299999999999997 ms,0.6001428571428572 ms,0.442 ms,1.219 ms,7
2024-12-15T18:47:05.217450Z,2024-12-15T18:47:05.221960Z,2024-12-15T18:47:05.222516Z,5.066 ms,0.5559999999999999 ms,0.5946250000000001 ms,0.442 ms,1.219 ms,8
2024-12-15T18:47:12.599463Z,2024-12-15T18:47:12.604161Z,2024-12-15T18:47:12.604622Z,5.159000000000001 ms,0.46099999999999997 ms,0.5797777777777778 ms,0.442 ms,1.219 ms,9
2024-12-15T18:47:13.193636Z,2024-12-15T18:47:13.198006Z,2024-12-15T18:47:13.198478Z,4.842 ms,0.472 ms,0.5690000000000001 ms,0.442 ms,1.219 ms,10
