observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-11T21:51:30.508756Z,2024-12-11T21:51:30.537230Z,2024-12-11T21:51:30.538445Z,29.689 ms,1.2149999999999999 ms,1.2149999999999999 ms,1.2149999999999999 ms,1.2149999999999999 ms,1
2024-12-11T21:51:36.199275Z,2024-12-11T21:51:36.204109Z,2024-12-11T21:51:36.204569Z,5.2940000000000005 ms,0.46 ms,0.8374999999999999 ms,0.46 ms,1.2149999999999999 ms,2
2024-12-11T21:51:41.803324Z,2024-12-11T21:51:41.807875Z,2024-12-11T21:51:41.808336Z,5.012 ms,0.46099999999999997 ms,0.712 ms,0.46 ms,1.2149999999999999 ms,3
2024-12-11T21:51:47.417745Z,2024-12-11T21:51:47.422009Z,2024-12-11T21:51:47.422451Z,4.706 ms,0.442 ms,0.6445 ms,0.442 ms,1.2149999999999999 ms,4
2024-12-11T21:51:53.021852Z,2024-12-11T21:51:53.026441Z,2024-12-11T21:51:53.026902Z,5.05 ms,0.46099999999999997 ms,0.6078 ms,0.442 ms,1.2149999999999999 ms,5
2024-12-11T21:51:58.638889Z,2024-12-11T21:51:58.643279Z,2024-12-11T21:51:58.643716Z,4.827 ms,0.437 ms,0.5793333333333333 ms,0.437 ms,1.2149999999999999 ms,6
2024-12-11T21:52:04.299054Z,2024-12-11T21:52:04.303716Z,2024-12-11T21:52:04.304236Z,5.182 ms,0.5199999999999999 ms,0.5708571428571428 ms,0.437 ms,1.2149999999999999 ms,7
2024-12-11T21:52:09.905978Z,2024-12-11T21:52:09.910461Z,2024-12-11T21:52:09.910957Z,4.979 ms,0.496 ms,0.5614999999999999 ms,0.437 ms,1.2149999999999999 ms,8
2024-12-11T21:52:15.522689Z,2024-12-11T21:52:15.527194Z,2024-12-11T21:52:15.527676Z,4.987 ms,0.482 ms,0.5526666666666666 ms,0.437 ms,1.2149999999999999 ms,9
2024-12-11T21:52:21.140065Z,2024-12-11T21:52:21.144150Z,2024-12-11T21:52:21.144710Z,4.645 ms,0.5599999999999999 ms,0.5533999999999999 ms,0.437 ms,1.2149999999999999 ms,10
