observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-04-10T09:09:32.60Z,2024-04-10T09:09:32.612616Z,2024-04-10T09:09:32.680977Z,80.97699999999999 ms,68.360301 ms,68.360301 ms,68.360301 ms,68.360301 ms,1
2024-04-10T09:09:32.60Z,2024-04-10T09:09:32.683061Z,2024-04-10T09:09:32.736838Z,136.838 ms,53.775461 ms,61.067881 ms,53.775461 ms,68.360301 ms,2
2024-04-10T09:09:32.76Z,2024-04-10T09:09:32.772773Z,2024-04-10T09:09:32.822011Z,62.010999999999996 ms,49.236629 ms,57.12413033333333 ms,49.236629 ms,68.360301 ms,3
2024-04-10T09:09:32.79Z,2024-04-10T09:09:32.824117Z,2024-04-10T09:09:32.867202Z,77.20200000000001 ms,43.082737 ms,53.613782 ms,43.082737 ms,68.360301 ms,4
2024-04-10T09:10:32.59Z,2024-04-10T09:10:32.607333Z,2024-04-10T09:10:32.677186Z,87.18599999999999 ms,69.853081 ms,56.861641799999994 ms,43.082737 ms,69.853081 ms,5
2024-04-10T09:10:32.62Z,2024-04-10T09:10:32.679505Z,2024-04-10T09:10:32.747533Z,127.533 ms,68.026177 ms,58.722397666666666 ms,43.082737 ms,69.853081 ms,6
2024-04-10T09:10:32.75Z,2024-04-10T09:10:32.767581Z,2024-04-10T09:10:32.828794Z,78.794 ms,61.210776 ms,59.077880285714286 ms,43.082737 ms,69.853081 ms,7
2024-04-10T09:10:32.78Z,2024-04-10T09:10:32.830632Z,2024-04-10T09:10:32.883327Z,103.327 ms,52.689771 ms,58.279366625 ms,43.082737 ms,69.853081 ms,8
2024-04-10T09:11:32.60Z,2024-04-10T09:11:32.611021Z,2024-04-10T09:11:32.661385Z,61.385000000000005 ms,50.362654 ms,57.39973188888889 ms,43.082737 ms,69.853081 ms,9
2024-04-10T09:11:32.61Z,2024-04-10T09:11:32.663493Z,2024-04-10T09:11:32.712231Z,102.23100000000001 ms,48.737259 ms,56.5334846 ms,43.082737 ms,69.853081 ms,10
2024-04-10T09:11:32.75Z,2024-04-10T09:11:32.765136Z,2024-04-10T09:11:32.813984Z,63.984 ms,48.847 ms,55.83471327272727 ms,43.082737 ms,69.853081 ms,11
2024-04-10T09:11:32.78Z,2024-04-10T09:11:32.815411Z,2024-04-10T09:11:32.862852Z,82.85199999999999 ms,47.439458 ms,55.13510866666667 ms,43.082737 ms,69.853081 ms,12
2024-04-10T09:12:32.59Z,2024-04-10T09:12:32.605341Z,2024-04-10T09:12:32.654198Z,64.19800000000001 ms,48.855303 ms,54.65204669230769 ms,43.082737 ms,69.853081 ms,13
2024-04-10T09:12:32.61Z,2024-04-10T09:12:32.656020Z,2024-04-10T09:12:32.703638Z,93.638 ms,47.615873 ms,54.14946285714286 ms,43.082737 ms,69.853081 ms,14
2024-04-10T09:12:32.75Z,2024-04-10T09:12:32.766404Z,2024-04-10T09:12:32.811294Z,61.294000000000004 ms,44.887757 ms,53.532015799999996 ms,43.082737 ms,69.853081 ms,15
