observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-03-27 16:34:59.354Z,2024-03-27T16:35:09.518689Z,2024-03-27T16:35:09.940800Z,10586.800000000001 ms,422.110545 ms,422.110545 ms,422.110545 ms,422.110545 ms,1
2024-03-27 16:35:05.368Z,2024-03-27T16:35:11.212878Z,2024-03-27T16:35:11.683645Z,6315.6449999999995 ms,470.766549 ms,446.438547 ms,422.110545 ms,470.766549 ms,2
2024-03-27 16:35:05.368Z,2024-03-27T16:35:11.686134Z,2024-03-27T16:35:11.993957Z,6625.956999999999 ms,307.821031 ms,400.23270833333333 ms,307.821031 ms,470.766549 ms,3
2024-03-27 16:35:06.369Z,2024-03-27T16:35:11.994636Z,2024-03-27T16:35:12.277429Z,5908.429 ms,282.790642 ms,370.87219175 ms,282.790642 ms,470.766549 ms,4
2024-03-27 16:35:06.369Z,2024-03-27T16:35:12.278737Z,2024-03-27T16:35:12.528889Z,6159.889 ms,250.149861 ms,346.72772560000004 ms,250.149861 ms,470.766549 ms,5
2024-03-27 16:35:09.386Z,2024-03-27T16:35:12.530457Z,2024-03-27T16:35:12.730216Z,3344.216 ms,199.758769 ms,322.2328995 ms,199.758769 ms,470.766549 ms,6
2024-03-27 16:35:09.386Z,2024-03-27T16:35:12.730583Z,2024-03-27T16:35:12.923707Z,3537.7070000000003 ms,193.12228 ms,303.7885252857143 ms,193.12228 ms,470.766549 ms,7
2024-03-27 16:35:09.386Z,2024-03-27T16:35:13.047908Z,2024-03-27T16:35:13.272286Z,3886.286 ms,224.377545 ms,293.86215275 ms,193.12228 ms,470.766549 ms,8
2024-03-27 16:35:05.368Z,2024-03-27T16:35:13.274032Z,2024-03-27T16:35:13.503227Z,8135.227000000001 ms,229.194553 ms,286.6768638888889 ms,193.12228 ms,470.766549 ms,9
2024-03-27 16:35:05.368Z,2024-03-27T16:35:13.503746Z,2024-03-27T16:35:13.623100Z,8255.1 ms,119.351878 ms,269.9443653 ms,119.351878 ms,470.766549 ms,10
