observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-20 10:52:53.406Z,2024-05-20T10:52:53.411889Z,2024-05-20T10:52:53.696364Z,290.36400000000003 ms,284.476206 ms,284.476206 ms,284.476206 ms,284.476206 ms,1
2024-05-20 10:52:53.409Z,2024-05-20T10:52:53.699308Z,2024-05-20T10:52:53.800229Z,391.229 ms,100.921009 ms,192.6986075 ms,100.921009 ms,284.476206 ms,2
2024-05-20 10:52:53.411Z,2024-05-20T10:52:53.800806Z,2024-05-20T10:52:53.897939Z,486.939 ms,97.132347 ms,160.84318733333333 ms,97.132347 ms,284.476206 ms,3
2024-05-20 10:52:53.414Z,2024-05-20T10:52:53.898436Z,2024-05-20T10:52:53.992196Z,578.196 ms,93.758281 ms,144.07196075 ms,93.758281 ms,284.476206 ms,4
2024-05-20 10:52:53.416Z,2024-05-20T10:52:53.992709Z,2024-05-20T10:52:54.068897Z,652.8969999999999 ms,76.186417 ms,130.494852 ms,76.186417 ms,284.476206 ms,5
2024-05-20 10:52:53.419Z,2024-05-20T10:52:54.069349Z,2024-05-20T10:52:54.111548Z,692.548 ms,42.179062 ms,115.77555366666667 ms,42.179062 ms,284.476206 ms,6
2024-05-20 10:52:53.421Z,2024-05-20T10:52:54.112065Z,2024-05-20T10:52:54.155105Z,734.105 ms,43.037957 ms,105.38446842857144 ms,42.179062 ms,284.476206 ms,7
2024-05-20 10:52:53.423Z,2024-05-20T10:52:54.155624Z,2024-05-20T10:52:54.194544Z,771.544 ms,38.917717 ms,97.0761245 ms,38.917717 ms,284.476206 ms,8
2024-05-20 10:52:53.425Z,2024-05-20T10:52:54.195021Z,2024-05-20T10:52:54.233456Z,808.4559999999999 ms,38.433194 ms,90.56024333333333 ms,38.433194 ms,284.476206 ms,9
2024-05-20 10:52:53.427Z,2024-05-20T10:52:54.233912Z,2024-05-20T10:52:54.271031Z,844.031 ms,37.118651 ms,85.21608409999999 ms,37.118651 ms,284.476206 ms,10
2024-05-20 10:52:58.202Z,2024-05-20T10:52:58.206028Z,2024-05-20T10:52:58.259448Z,57.448 ms,53.419683 ms,82.32550218181818 ms,37.118651 ms,284.476206 ms,11
2024-05-20 10:52:58.205Z,2024-05-20T10:52:58.262092Z,2024-05-20T10:52:58.298161Z,93.16099999999999 ms,36.069286 ms,78.4708175 ms,36.069286 ms,284.476206 ms,12
2024-05-20 10:52:58.207Z,2024-05-20T10:52:58.298738Z,2024-05-20T10:52:58.337767Z,130.767 ms,39.027819 ms,75.4367406923077 ms,36.069286 ms,284.476206 ms,13
2024-05-20 10:52:58.209Z,2024-05-20T10:52:58.338314Z,2024-05-20T10:52:58.372013Z,163.013 ms,33.697683 ms,72.45537942857143 ms,33.697683 ms,284.476206 ms,14
2024-05-20 10:52:58.211Z,2024-05-20T10:52:58.372509Z,2024-05-20T10:52:58.423297Z,212.29700000000003 ms,50.786185 ms,71.01076646666667 ms,33.697683 ms,284.476206 ms,15
2024-05-20 10:52:58.214Z,2024-05-20T10:52:58.423858Z,2024-05-20T10:52:58.456032Z,242.032 ms,32.172454 ms,68.5833719375 ms,32.172454 ms,284.476206 ms,16
2024-05-20 10:52:58.216Z,2024-05-20T10:52:58.456581Z,2024-05-20T10:52:58.498407Z,282.40700000000004 ms,41.823968 ms,67.00928935294118 ms,32.172454 ms,284.476206 ms,17
2024-05-20 10:52:58.218Z,2024-05-20T10:52:58.498981Z,2024-05-20T10:52:58.532898Z,314.898 ms,33.89992 ms,65.16987994444445 ms,32.172454 ms,284.476206 ms,18
2024-05-20 10:52:58.220Z,2024-05-20T10:52:58.533364Z,2024-05-20T10:52:58.564104Z,344.10400000000004 ms,30.738381 ms,63.35769578947368 ms,30.738381 ms,284.476206 ms,19
2024-05-20 10:52:58.223Z,2024-05-20T10:52:58.564646Z,2024-05-20T10:52:58.595648Z,372.64799999999997 ms,31.001417 ms,61.73988185 ms,30.738381 ms,284.476206 ms,20
2024-05-20 10:53:03.529Z,2024-05-20T10:53:03.532472Z,2024-05-20T10:53:03.576772Z,47.772 ms,44.300439 ms,60.909432190476196 ms,30.738381 ms,284.476206 ms,21
2024-05-20 10:53:03.531Z,2024-05-20T10:53:03.578968Z,2024-05-20T10:53:03.609425Z,78.425 ms,30.455757 ms,59.52517422727273 ms,30.455757 ms,284.476206 ms,22
2024-05-20 10:53:03.533Z,2024-05-20T10:53:03.610083Z,2024-05-20T10:53:03.643692Z,110.692 ms,33.607867 ms,58.39833478260869 ms,30.455757 ms,284.476206 ms,23
2024-05-20 10:53:03.535Z,2024-05-20T10:53:03.644312Z,2024-05-20T10:53:03.675656Z,140.656 ms,31.342898 ms,57.27102491666666 ms,30.455757 ms,284.476206 ms,24
2024-05-20 10:53:03.538Z,2024-05-20T10:53:03.676187Z,2024-05-20T10:53:03.705455Z,167.45499999999998 ms,29.266537 ms,56.1508454 ms,29.266537 ms,284.476206 ms,25
2024-05-20 10:53:03.542Z,2024-05-20T10:53:03.706058Z,2024-05-20T10:53:03.735755Z,193.75500000000002 ms,29.695143 ms,55.133318384615386 ms,29.266537 ms,284.476206 ms,26
2024-05-20 10:53:03.544Z,2024-05-20T10:53:03.736271Z,2024-05-20T10:53:03.763794Z,219.79399999999998 ms,27.521208 ms,54.110647629629625 ms,27.521208 ms,284.476206 ms,27
2024-05-20 10:53:03.546Z,2024-05-20T10:53:03.764236Z,2024-05-20T10:53:03.795089Z,249.089 ms,30.851657 ms,53.27996939285714 ms,27.521208 ms,284.476206 ms,28
