observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-20 21:51:21.850Z,2024-05-20T21:51:21.855572Z,2024-05-20T21:51:22.174231Z,324.231 ms,318.659795 ms,318.659795 ms,318.659795 ms,318.659795 ms,1
2024-05-20 21:51:21.853Z,2024-05-20T21:51:22.177192Z,2024-05-20T21:51:22.281305Z,428.305 ms,104.111183 ms,211.385489 ms,104.111183 ms,318.659795 ms,2
2024-05-20 21:51:21.855Z,2024-05-20T21:51:22.281852Z,2024-05-20T21:51:22.378959Z,523.959 ms,97.10479 ms,173.29192266666666 ms,97.10479 ms,318.659795 ms,3
2024-05-20 21:51:21.858Z,2024-05-20T21:51:22.379471Z,2024-05-20T21:51:22.475781Z,617.7810000000001 ms,96.308118 ms,154.0459715 ms,96.308118 ms,318.659795 ms,4
2024-05-20 21:51:21.861Z,2024-05-20T21:51:22.476360Z,2024-05-20T21:51:22.544614Z,683.614 ms,68.253066 ms,136.88739040000002 ms,68.253066 ms,318.659795 ms,5
2024-05-20 21:51:21.863Z,2024-05-20T21:51:22.545154Z,2024-05-20T21:51:22.588197Z,725.197 ms,43.041047 ms,121.24633316666667 ms,43.041047 ms,318.659795 ms,6
2024-05-20 21:51:21.865Z,2024-05-20T21:51:22.588704Z,2024-05-20T21:51:22.648097Z,783.0970000000001 ms,59.390818 ms,112.409831 ms,43.041047 ms,318.659795 ms,7
2024-05-20 21:51:21.867Z,2024-05-20T21:51:22.648606Z,2024-05-20T21:51:22.693388Z,826.388 ms,44.764962 ms,103.954222375 ms,43.041047 ms,318.659795 ms,8
2024-05-20 21:51:21.869Z,2024-05-20T21:51:22.693888Z,2024-05-20T21:51:22.733185Z,864.185 ms,39.294765 ms,96.76983822222222 ms,39.294765 ms,318.659795 ms,9
2024-05-20 21:51:21.871Z,2024-05-20T21:51:22.733699Z,2024-05-20T21:51:22.771905Z,900.905 ms,38.204897 ms,90.91334409999999 ms,38.204897 ms,318.659795 ms,10
2024-05-20 21:51:26.670Z,2024-05-20T21:51:26.672891Z,2024-05-20T21:51:26.722164Z,52.164 ms,49.272812 ms,87.12784118181818 ms,38.204897 ms,318.659795 ms,11
2024-05-20 21:51:26.672Z,2024-05-20T21:51:26.724371Z,2024-05-20T21:51:26.761164Z,89.16399999999999 ms,36.791898 ms,82.93317925 ms,36.791898 ms,318.659795 ms,12
2024-05-20 21:51:26.673Z,2024-05-20T21:51:26.761639Z,2024-05-20T21:51:26.799084Z,126.084 ms,37.443564 ms,79.43397807692307 ms,36.791898 ms,318.659795 ms,13
2024-05-20 21:51:26.675Z,2024-05-20T21:51:26.799603Z,2024-05-20T21:51:26.836149Z,161.149 ms,36.544882 ms,76.37047121428571 ms,36.544882 ms,318.659795 ms,14
2024-05-20 21:51:26.677Z,2024-05-20T21:51:26.836664Z,2024-05-20T21:51:26.871771Z,194.771 ms,35.104665 ms,73.61941746666668 ms,35.104665 ms,318.659795 ms,15
2024-05-20 21:51:26.685Z,2024-05-20T21:51:26.872406Z,2024-05-20T21:51:26.909677Z,224.677 ms,37.268302 ms,71.34747275 ms,35.104665 ms,318.659795 ms,16
2024-05-20 21:51:26.688Z,2024-05-20T21:51:26.910283Z,2024-05-20T21:51:26.946590Z,258.59 ms,36.30529 ms,69.28616788235294 ms,35.104665 ms,318.659795 ms,17
2024-05-20 21:51:26.691Z,2024-05-20T21:51:26.947105Z,2024-05-20T21:51:26.982270Z,291.27 ms,35.147755 ms,67.3895893888889 ms,35.104665 ms,318.659795 ms,18
2024-05-20 21:51:26.693Z,2024-05-20T21:51:26.982744Z,2024-05-20T21:51:27.015494Z,322.494 ms,32.746789 ms,65.56628410526316 ms,32.746789 ms,318.659795 ms,19
2024-05-20 21:51:26.696Z,2024-05-20T21:51:27.016024Z,2024-05-20T21:51:27.046938Z,350.93800000000005 ms,30.912737 ms,63.83360675 ms,30.912737 ms,318.659795 ms,20
2024-05-20 21:51:31.744Z,2024-05-20T21:51:31.747851Z,2024-05-20T21:51:31.786224Z,42.224 ms,38.371825 ms,62.621140952380955 ms,30.912737 ms,318.659795 ms,21
2024-05-20 21:51:31.746Z,2024-05-20T21:51:31.788494Z,2024-05-20T21:51:31.818860Z,72.86 ms,30.36482 ms,61.15494454545455 ms,30.36482 ms,318.659795 ms,22
2024-05-20 21:51:31.748Z,2024-05-20T21:51:31.819457Z,2024-05-20T21:51:31.851863Z,103.863 ms,32.403382 ms,59.90487660869565 ms,30.36482 ms,318.659795 ms,23
2024-05-20 21:51:31.750Z,2024-05-20T21:51:31.852586Z,2024-05-20T21:51:31.883960Z,133.96 ms,31.37142 ms,58.715982583333336 ms,30.36482 ms,318.659795 ms,24
