observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-03-24 20:21:26.976Z,2025-03-24T20:21:26.982339Z,2025-03-24T20:21:26.982429Z,244.30599999999998 ms,0.092118 ms,0.092118 ms,0.092118 ms,0.092118 ms,1
2025-03-24 20:21:26.979Z,2025-03-24T20:21:27.225135Z,2025-03-24T20:21:27.225240Z,340.737 ms,0.106308 ms,0.099213 ms,0.092118 ms,0.106308 ms,2
2025-03-24 20:21:26.981Z,2025-03-24T20:21:27.320250Z,2025-03-24T20:21:27.320311Z,424.966 ms,0.060685 ms,0.08637033333333333 ms,0.060685 ms,0.106308 ms,3
2025-03-24 20:21:26.983Z,2025-03-24T20:21:27.406364Z,2025-03-24T20:21:27.406425Z,467.149 ms,0.062061 ms,0.080293 ms,0.060685 ms,0.106308 ms,4
2025-03-24 20:21:26.985Z,2025-03-24T20:21:27.450672Z,2025-03-24T20:21:27.450775Z,504.36099999999993 ms,0.102992 ms,0.0848328 ms,0.060685 ms,0.106308 ms,5
2025-03-24 20:21:26.987Z,2025-03-24T20:21:27.489838Z,2025-03-24T20:21:27.489920Z,538.797 ms,0.082128 ms,0.084382 ms,0.060685 ms,0.106308 ms,6
2025-03-24 20:21:26.989Z,2025-03-24T20:21:27.526324Z,2025-03-24T20:21:27.526427Z,572.515 ms,0.103442 ms,0.08710485714285715 ms,0.060685 ms,0.106308 ms,7
2025-03-24 20:21:26.991Z,2025-03-24T20:21:27.561957Z,2025-03-24T20:21:27.562019Z,603.943 ms,0.062502 ms,0.0840295 ms,0.060685 ms,0.106308 ms,8
2025-03-24 20:21:26.993Z,2025-03-24T20:21:27.595518Z,2025-03-24T20:21:27.595632Z,635.726 ms,0.113593 ms,0.08731433333333333 ms,0.060685 ms,0.113593 ms,9
2025-03-24 20:21:26.995Z,2025-03-24T20:21:27.629284Z,2025-03-24T20:21:27.629392Z,666.665 ms,0.108498 ms,0.0894327 ms,0.060685 ms,0.113593 ms,10
2025-03-24 20:21:31.541Z,2025-03-24T20:21:31.544698Z,2025-03-24T20:21:31.544775Z,44.681 ms,0.078406 ms,0.08843027272727272 ms,0.060685 ms,0.113593 ms,11
2025-03-24 20:21:31.543Z,2025-03-24T20:21:31.590063Z,2025-03-24T20:21:31.590156Z,85.403 ms,0.094582 ms,0.08894291666666668 ms,0.060685 ms,0.113593 ms,12
2025-03-24 20:21:31.545Z,2025-03-24T20:21:31.628927Z,2025-03-24T20:21:31.629049Z,114.203 ms,0.121438 ms,0.09144253846153846 ms,0.060685 ms,0.121438 ms,13
2025-03-24 20:21:31.547Z,2025-03-24T20:21:31.659810Z,2025-03-24T20:21:31.659913Z,144.41 ms,0.103629 ms,0.092313 ms,0.060685 ms,0.121438 ms,14
2025-03-24 20:21:31.550Z,2025-03-24T20:21:31.691940Z,2025-03-24T20:21:31.692019Z,173.411 ms,0.079379 ms,0.09145073333333334 ms,0.060685 ms,0.121438 ms,15
2025-03-24 20:21:31.553Z,2025-03-24T20:21:31.723998Z,2025-03-24T20:21:31.724104Z,200.335 ms,0.106507 ms,0.09239175 ms,0.060685 ms,0.121438 ms,16
2025-03-24 20:21:31.555Z,2025-03-24T20:21:31.753837Z,2025-03-24T20:21:31.753926Z,228.054 ms,0.088595 ms,0.09216841176470589 ms,0.060685 ms,0.121438 ms,17
2025-03-24 20:21:31.557Z,2025-03-24T20:21:31.783531Z,2025-03-24T20:21:31.783626Z,255.08999999999997 ms,0.094669 ms,0.09230733333333332 ms,0.060685 ms,0.121438 ms,18
2025-03-24 20:21:31.559Z,2025-03-24T20:21:31.812624Z,2025-03-24T20:21:31.812725Z,283.463 ms,0.101197 ms,0.0927752105263158 ms,0.060685 ms,0.121438 ms,19
2025-03-24 20:21:31.562Z,2025-03-24T20:21:31.842984Z,2025-03-24T20:21:31.843089Z,309.30999999999995 ms,0.104731 ms,0.093373 ms,0.060685 ms,0.121438 ms,20
2025-03-24 20:21:36.606Z,2025-03-24T20:21:36.610067Z,2025-03-24T20:21:36.610182Z,40.187 ms,0.115875 ms,0.09444452380952381 ms,0.060685 ms,0.121438 ms,21
2025-03-24 20:21:36.608Z,2025-03-24T20:21:36.650593Z,2025-03-24T20:21:36.650696Z,70.328 ms,0.104243 ms,0.0948899090909091 ms,0.060685 ms,0.121438 ms,22
2025-03-24 20:21:36.610Z,2025-03-24T20:21:36.678953Z,2025-03-24T20:21:36.679055Z,96.353 ms,0.102008 ms,0.09519939130434782 ms,0.060685 ms,0.121438 ms,23
2025-03-24 20:21:36.612Z,2025-03-24T20:21:36.706774Z,2025-03-24T20:21:36.706841Z,121.312 ms,0.067121 ms,0.09402945833333333 ms,0.060685 ms,0.121438 ms,24
2025-03-24 20:21:36.615Z,2025-03-24T20:21:36.733803Z,2025-03-24T20:21:36.733905Z,144.51600000000002 ms,0.102491 ms,0.09436792 ms,0.060685 ms,0.121438 ms,25
2025-03-24 20:21:36.617Z,2025-03-24T20:21:36.759965Z,2025-03-24T20:21:36.760033Z,168.483 ms,0.068104 ms,0.09335776923076923 ms,0.060685 ms,0.121438 ms,26
