observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-03-24T16:11:14Z,2024-03-24T16:11:19.986881Z,2024-03-24T16:11:20.622545Z,6622.545 ms,635.663605 ms,635.663605 ms,635.663605 ms,635.663605 ms,1
2024-03-24T16:11:14Z,2024-03-24T16:11:20.625121Z,2024-03-24T16:11:21.150003Z,7150.003 ms,524.880296 ms,580.2719505 ms,524.880296 ms,635.663605 ms,2
2024-03-24T16:11:14Z,2024-03-24T16:11:21.150400Z,2024-03-24T16:11:21.736983Z,7736.983 ms,586.580601 ms,582.374834 ms,524.880296 ms,635.663605 ms,3
2024-03-24T16:11:14Z,2024-03-24T16:11:21.737436Z,2024-03-24T16:11:22.005598Z,8005.598000000001 ms,268.160035 ms,503.82113425 ms,268.160035 ms,635.663605 ms,4
2024-03-24T16:11:14Z,2024-03-24T16:11:22.005979Z,2024-03-24T16:11:22.137236Z,8137.236 ms,131.253682 ms,429.3076438 ms,131.253682 ms,635.663605 ms,5
2024-03-24T16:11:14Z,2024-03-24T16:11:22.137843Z,2024-03-24T16:11:22.250167Z,8250.167 ms,112.321418 ms,376.47660616666667 ms,112.321418 ms,635.663605 ms,6
2024-03-24T16:11:14Z,2024-03-24T16:11:22.252358Z,2024-03-24T16:11:22.357938Z,8357.938 ms,105.57892 ms,337.77693671428574 ms,105.57892 ms,635.663605 ms,7
2024-03-24T16:11:14Z,2024-03-24T16:11:22.358490Z,2024-03-24T16:11:22.473928Z,8473.928 ms,115.43606 ms,309.984327125 ms,105.57892 ms,635.663605 ms,8
2024-03-24T16:11:14Z,2024-03-24T16:11:22.474279Z,2024-03-24T16:11:22.576456Z,8576.456 ms,102.174125 ms,286.8943046666667 ms,102.174125 ms,635.663605 ms,9
2024-03-24T16:11:14Z,2024-03-24T16:11:22.576809Z,2024-03-24T16:11:22.693806Z,8693.806 ms,116.976566 ms,269.9025308 ms,102.174125 ms,635.663605 ms,10
2024-03-24T16:11:14Z,2024-03-24T16:11:22.694340Z,2024-03-24T16:11:22.786034Z,8786.034000000001 ms,91.690628 ms,253.70144872727272 ms,91.690628 ms,635.663605 ms,11
2024-03-24T16:11:14Z,2024-03-24T16:11:22.786510Z,2024-03-24T16:11:22.880489Z,8880.489000000001 ms,93.97623 ms,240.39101383333335 ms,91.690628 ms,635.663605 ms,12
2024-03-24T16:11:14Z,2024-03-24T16:11:22.880950Z,2024-03-24T16:11:22.969710Z,8969.71 ms,88.757252 ms,228.72687830769232 ms,88.757252 ms,635.663605 ms,13
2024-03-24T16:11:14Z,2024-03-24T16:11:22.970214Z,2024-03-24T16:11:23.060320Z,9060.320000000002 ms,90.104899 ms,218.82530835714286 ms,88.757252 ms,635.663605 ms,14
2024-03-24T16:11:14Z,2024-03-24T16:11:23.060773Z,2024-03-24T16:11:23.154698Z,9154.698 ms,93.905753 ms,210.497338 ms,88.757252 ms,635.663605 ms,15
2024-03-24T16:11:14Z,2024-03-24T16:11:23.155053Z,2024-03-24T16:11:23.245803Z,9245.803 ms,90.746457 ms,203.0129079375 ms,88.757252 ms,635.663605 ms,16
2024-03-24T16:11:14Z,2024-03-24T16:11:23.246154Z,2024-03-24T16:11:23.333130Z,9333.130000000001 ms,86.972737 ms,196.18701552941175 ms,86.972737 ms,635.663605 ms,17
2024-03-24T16:11:14Z,2024-03-24T16:11:23.333489Z,2024-03-24T16:11:23.418986Z,9418.986 ms,85.49509 ms,190.0374641111111 ms,85.49509 ms,635.663605 ms,18
2024-03-24T16:11:14Z,2024-03-24T16:11:23.419324Z,2024-03-24T16:11:23.507698Z,9507.698 ms,88.371454 ms,184.68662147368423 ms,85.49509 ms,635.663605 ms,19
2024-03-24T16:11:14Z,2024-03-24T16:11:23.508093Z,2024-03-24T16:11:23.595930Z,9595.929999999998 ms,87.834377 ms,179.84400925 ms,85.49509 ms,635.663605 ms,20
2024-03-24T16:11:14Z,2024-03-24T16:11:23.596450Z,2024-03-24T16:11:23.685959Z,9685.959 ms,89.507035 ms,175.54224857142856 ms,85.49509 ms,635.663605 ms,21
2024-03-24T16:11:14Z,2024-03-24T16:11:23.686443Z,2024-03-24T16:11:23.780592Z,9780.592 ms,94.147772 ms,171.8424996363636 ms,85.49509 ms,635.663605 ms,22
2024-03-24T16:11:14Z,2024-03-24T16:11:23.781015Z,2024-03-24T16:11:23.863346Z,9863.346 ms,82.329778 ms,167.95064217391302 ms,82.329778 ms,635.663605 ms,23
2024-03-24T16:11:14Z,2024-03-24T16:11:23.863869Z,2024-03-24T16:11:23.960430Z,9960.43 ms,96.576119 ms,164.97670370833333 ms,82.329778 ms,635.663605 ms,24
2024-03-24T16:12:01Z,2024-03-24T16:12:06.262346Z,2024-03-24T16:12:06.589860Z,5589.86 ms,327.512045 ms,171.47811736000003 ms,82.329778 ms,635.663605 ms,25
2024-03-24T16:12:01Z,2024-03-24T16:12:06.591566Z,2024-03-24T16:12:06.911012Z,5911.012000000001 ms,319.444888 ms,177.169147 ms,82.329778 ms,635.663605 ms,26
2024-03-24T16:12:01Z,2024-03-24T16:12:06.911382Z,2024-03-24T16:12:07.292772Z,6292.772 ms,381.388315 ms,184.73281988888888 ms,82.329778 ms,635.663605 ms,27
2024-03-24T16:12:01Z,2024-03-24T16:12:07.293134Z,2024-03-24T16:12:07.482168Z,6482.168 ms,189.032257 ms,184.8863712142857 ms,82.329778 ms,635.663605 ms,28
2024-03-24T16:12:01Z,2024-03-24T16:12:07.482618Z,2024-03-24T16:12:07.589148Z,6589.148 ms,106.527343 ms,182.18433575862068 ms,82.329778 ms,635.663605 ms,29
2024-03-24T16:12:01Z,2024-03-24T16:12:07.589492Z,2024-03-24T16:12:07.768078Z,6768.078 ms,178.583071 ms,182.06429359999998 ms,82.329778 ms,635.663605 ms,30
2024-03-24T16:12:01Z,2024-03-24T16:12:07.770359Z,2024-03-24T16:12:07.967528Z,6967.527999999999 ms,197.168046 ms,182.55151141935482 ms,82.329778 ms,635.663605 ms,31
2024-03-24T16:12:01Z,2024-03-24T16:12:07.968018Z,2024-03-24T16:12:08.109332Z,7109.332 ms,141.310518 ms,181.262730375 ms,82.329778 ms,635.663605 ms,32
2024-03-24T16:12:01Z,2024-03-24T16:12:08.109862Z,2024-03-24T16:12:08.270168Z,7270.168 ms,160.30376 ms,180.62761006060606 ms,82.329778 ms,635.663605 ms,33
2024-03-24T16:12:01Z,2024-03-24T16:12:08.270816Z,2024-03-24T16:12:08.392346Z,7392.346 ms,121.527955 ms,178.88938491176472 ms,82.329778 ms,635.663605 ms,34
2024-03-24T16:12:01Z,2024-03-24T16:12:08.392710Z,2024-03-24T16:12:08.495223Z,7495.223 ms,102.511227 ms,176.70715182857143 ms,82.329778 ms,635.663605 ms,35
2024-03-24T16:12:01Z,2024-03-24T16:12:08.495584Z,2024-03-24T16:12:08.592314Z,7592.314 ms,96.726578 ms,174.4854692222222 ms,82.329778 ms,635.663605 ms,36
2024-03-24T16:12:01Z,2024-03-24T16:12:08.592738Z,2024-03-24T16:12:08.693487Z,7693.487 ms,100.745996 ms,172.49251048648648 ms,82.329778 ms,635.663605 ms,37
2024-03-24T16:12:01Z,2024-03-24T16:12:08.693880Z,2024-03-24T16:12:08.785401Z,7785.401 ms,91.517865 ms,170.3615987631579 ms,82.329778 ms,635.663605 ms,38
2024-03-24T16:12:01Z,2024-03-24T16:12:08.785912Z,2024-03-24T16:12:08.872608Z,7872.607999999999 ms,86.693523 ms,168.21626348717948 ms,82.329778 ms,635.663605 ms,39
2024-03-24T16:12:01Z,2024-03-24T16:12:08.872963Z,2024-03-24T16:12:08.979693Z,7979.693 ms,106.726971 ms,166.679031175 ms,82.329778 ms,635.663605 ms,40
2024-03-24T16:12:01Z,2024-03-24T16:12:08.980183Z,2024-03-24T16:12:09.079900Z,8079.900000000001 ms,99.714602 ms,165.04575241463414 ms,82.329778 ms,635.663605 ms,41
2024-03-24T16:12:01Z,2024-03-24T16:12:09.080348Z,2024-03-24T16:12:09.153547Z,8153.547 ms,73.196425 ms,162.85886366666665 ms,73.196425 ms,635.663605 ms,42
2024-03-24T16:12:01Z,2024-03-24T16:12:09.154042Z,2024-03-24T16:12:09.289279Z,8289.279 ms,135.233619 ms,162.21641611627908 ms,73.196425 ms,635.663605 ms,43
2024-03-24T16:12:01Z,2024-03-24T16:12:09.290856Z,2024-03-24T16:12:09.387100Z,8387.1 ms,96.242252 ms,160.71700329545453 ms,73.196425 ms,635.663605 ms,44
2024-03-24T16:12:01Z,2024-03-24T16:12:09.387458Z,2024-03-24T16:12:09.466836Z,8466.836000000001 ms,79.375491 ms,158.9094141333333 ms,73.196425 ms,635.663605 ms,45
2024-03-24T16:12:01Z,2024-03-24T16:12:09.467352Z,2024-03-24T16:12:09.549185Z,8549.185 ms,81.831105 ms,157.23379871739132 ms,73.196425 ms,635.663605 ms,46
2024-03-24T16:12:01Z,2024-03-24T16:12:09.549542Z,2024-03-24T16:12:09.618180Z,8618.18 ms,68.634954 ms,155.34871691489363 ms,68.634954 ms,635.663605 ms,47
2024-03-24T16:12:01Z,2024-03-24T16:12:09.618539Z,2024-03-24T16:12:09.711094Z,8711.094 ms,92.552102 ms,154.04045410416666 ms,68.634954 ms,635.663605 ms,48
2024-03-24T16:12:01Z,2024-03-24T16:12:09.711723Z,2024-03-24T16:12:09.816030Z,8816.029999999999 ms,104.304908 ms,153.02544295918366 ms,68.634954 ms,635.663605 ms,49
2024-03-24T16:12:01Z,2024-03-24T16:12:09.818970Z,2024-03-24T16:12:09.896523Z,8896.523000000001 ms,77.552351 ms,151.51598112 ms,68.634954 ms,635.663605 ms,50
2024-03-24T16:12:01Z,2024-03-24T16:12:09.896975Z,2024-03-24T16:12:09.967868Z,8967.867999999999 ms,70.89047 ms,149.93508874509803 ms,68.634954 ms,635.663605 ms,51
2024-03-24T16:12:01Z,2024-03-24T16:12:09.968239Z,2024-03-24T16:12:10.050946Z,9050.946 ms,82.703992 ms,148.64218303846152 ms,68.634954 ms,635.663605 ms,52
2024-03-24T16:12:01Z,2024-03-24T16:12:10.051383Z,2024-03-24T16:12:10.164932Z,9164.932 ms,113.546846 ms,147.98000686792454 ms,68.634954 ms,635.663605 ms,53
2024-03-24T16:12:01Z,2024-03-24T16:12:10.165309Z,2024-03-24T16:12:10.239943Z,9239.943000000001 ms,74.630793 ms,146.6216880925926 ms,68.634954 ms,635.663605 ms,54
2024-03-24T16:12:01Z,2024-03-24T16:12:10.241079Z,2024-03-24T16:12:10.309539Z,9309.538999999999 ms,68.45782 ms,145.20052685454544 ms,68.45782 ms,635.663605 ms,55
2024-03-24T16:12:01Z,2024-03-24T16:12:10.310049Z,2024-03-24T16:12:10.386635Z,9386.635 ms,76.583004 ms,143.97521394642857 ms,68.45782 ms,635.663605 ms,56
2024-03-24T16:12:01Z,2024-03-24T16:12:10.387116Z,2024-03-24T16:12:10.467128Z,9467.128 ms,80.009966 ms,142.8530166140351 ms,68.45782 ms,635.663605 ms,57
2024-03-24T16:12:01Z,2024-03-24T16:12:10.467531Z,2024-03-24T16:12:10.535462Z,9535.462000000001 ms,67.927954 ms,141.5612051896552 ms,67.927954 ms,635.663605 ms,58
2024-03-24T16:12:01Z,2024-03-24T16:12:10.537116Z,2024-03-24T16:12:10.610254Z,9610.253999999999 ms,73.136493 ms,140.40146430508474 ms,67.927954 ms,635.663605 ms,59
2024-03-24T16:12:01Z,2024-03-24T16:12:10.610829Z,2024-03-24T16:12:10.688766Z,9688.766 ms,77.934772 ms,139.3603527666667 ms,67.927954 ms,635.663605 ms,60
2024-03-24T16:12:01Z,2024-03-24T16:12:10.689422Z,2024-03-24T16:12:10.781986Z,9781.985999999999 ms,92.554544 ms,138.5930444262295 ms,67.927954 ms,635.663605 ms,61
2024-03-24T16:12:01Z,2024-03-24T16:12:10.782534Z,2024-03-24T16:12:10.855281Z,9855.280999999999 ms,72.743866 ms,137.5309609032258 ms,67.927954 ms,635.663605 ms,62
2024-03-24T16:12:01Z,2024-03-24T16:12:10.855722Z,2024-03-24T16:12:10.939492Z,9939.492 ms,83.767266 ms,136.6775689206349 ms,67.927954 ms,635.663605 ms,63
2024-03-24T16:12:01Z,2024-03-24T16:12:10.939959Z,2024-03-24T16:12:11.011359Z,10011.359 ms,71.397165 ms,135.657562609375 ms,67.927954 ms,635.663605 ms,64
2024-03-24T16:12:01Z,2024-03-24T16:12:11.011876Z,2024-03-24T16:12:11.097380Z,10097.38 ms,85.49982 ms,134.88590503076924 ms,67.927954 ms,635.663605 ms,65
2024-03-24T16:12:01Z,2024-03-24T16:12:11.097762Z,2024-03-24T16:12:11.168890Z,10168.89 ms,71.126332 ms,133.91985089393938 ms,67.927954 ms,635.663605 ms,66
2024-03-24T16:12:01Z,2024-03-24T16:12:11.169301Z,2024-03-24T16:12:11.240862Z,10240.862 ms,71.558881 ms,132.9890901492537 ms,67.927954 ms,635.663605 ms,67
2024-03-24T16:12:01Z,2024-03-24T16:12:11.241225Z,2024-03-24T16:12:11.325690Z,10325.69 ms,84.462972 ms,132.2754707647059 ms,67.927954 ms,635.663605 ms,68
2024-03-24T16:12:01Z,2024-03-24T16:12:11.326110Z,2024-03-24T16:12:11.393431Z,10393.431 ms,67.318105 ms,131.33405966666666 ms,67.318105 ms,635.663605 ms,69
2024-03-24T16:12:01Z,2024-03-24T16:12:11.393879Z,2024-03-24T16:12:11.475336Z,10475.336000000001 ms,81.45604 ms,130.62151652857142 ms,67.318105 ms,635.663605 ms,70
2024-03-24T16:12:01Z,2024-03-24T16:12:11.475728Z,2024-03-24T16:12:11.530531Z,10530.530999999999 ms,54.800223 ms,129.5536109859155 ms,54.800223 ms,635.663605 ms,71
2024-03-24T16:12:01Z,2024-03-24T16:12:11.530918Z,2024-03-24T16:12:11.582787Z,10582.787 ms,51.866747 ms,128.4746267638889 ms,51.866747 ms,635.663605 ms,72
2024-03-24T16:12:01Z,2024-03-24T16:12:11.583189Z,2024-03-24T16:12:11.637812Z,10637.812 ms,54.621162 ms,127.46293546575342 ms,51.866747 ms,635.663605 ms,73
2024-03-24T16:12:01Z,2024-03-24T16:12:11.638277Z,2024-03-24T16:12:11.696445Z,10696.445000000002 ms,58.166061 ms,126.52649121621621 ms,51.866747 ms,635.663605 ms,74
2024-03-24T16:12:01Z,2024-03-24T16:12:11.696861Z,2024-03-24T16:12:11.754007Z,10754.007 ms,57.144139 ms,125.60139318666667 ms,51.866747 ms,635.663605 ms,75
2024-03-24T16:12:01Z,2024-03-24T16:12:11.754310Z,2024-03-24T16:12:11.810741Z,10810.741 ms,56.428348 ms,124.69122153947369 ms,51.866747 ms,635.663605 ms,76
2024-03-24T16:12:01Z,2024-03-24T16:12:11.811195Z,2024-03-24T16:12:11.868699Z,10868.698999999999 ms,57.501921 ms,123.81863322077922 ms,51.866747 ms,635.663605 ms,77
2024-03-24T16:12:01Z,2024-03-24T16:12:11.869223Z,2024-03-24T16:12:11.931873Z,10931.873 ms,62.646883 ms,123.0343800128205 ms,51.866747 ms,635.663605 ms,78
2024-03-24T16:12:01Z,2024-03-24T16:12:11.932387Z,2024-03-24T16:12:11.991104Z,10991.104 ms,58.714792 ms,122.22020801265822 ms,51.866747 ms,635.663605 ms,79
2024-03-24T16:12:01Z,2024-03-24T16:12:11.991545Z,2024-03-24T16:12:12.049516Z,11049.516000000001 ms,57.969204 ms,121.4170704625 ms,51.866747 ms,635.663605 ms,80
2024-03-24T16:12:01Z,2024-03-24T16:12:12.049975Z,2024-03-24T16:12:12.109279Z,11109.279 ms,59.30166 ms,120.65021354320989 ms,51.866747 ms,635.663605 ms,81
2024-03-24T16:12:01Z,2024-03-24T16:12:12.109716Z,2024-03-24T16:12:12.168954Z,11168.954 ms,59.235479 ms,119.90125336585365 ms,51.866747 ms,635.663605 ms,82
2024-03-24T16:12:01Z,2024-03-24T16:12:12.169386Z,2024-03-24T16:12:12.233772Z,11233.772 ms,64.383262 ms,119.23236190361446 ms,51.866747 ms,635.663605 ms,83
2024-03-24T16:12:01Z,2024-03-24T16:12:12.234287Z,2024-03-24T16:12:12.294389Z,11294.389000000001 ms,60.099494 ms,118.5283991904762 ms,51.866747 ms,635.663605 ms,84
2024-03-24T16:12:01Z,2024-03-24T16:12:12.294806Z,2024-03-24T16:12:12.377124Z,11377.124 ms,82.315137 ms,118.1023608117647 ms,51.866747 ms,635.663605 ms,85
2024-03-24T16:12:01Z,2024-03-24T16:12:12.377688Z,2024-03-24T16:12:12.436643Z,11436.643 ms,58.968596 ms,117.41475889534883 ms,51.866747 ms,635.663605 ms,86
2024-03-24T16:12:01Z,2024-03-24T16:12:12.437236Z,2024-03-24T16:12:12.508395Z,11508.395 ms,71.157245 ms,116.88306333333333 ms,51.866747 ms,635.663605 ms,87
2024-03-24T16:12:01Z,2024-03-24T16:12:12.508818Z,2024-03-24T16:12:12.577522Z,11577.522 ms,68.701977 ms,116.33555098863636 ms,51.866747 ms,635.663605 ms,88
2024-03-24T16:12:01Z,2024-03-24T16:12:12.580401Z,2024-03-24T16:12:12.654947Z,11654.947 ms,74.544563 ms,115.86598932584269 ms,51.866747 ms,635.663605 ms,89
2024-03-24T16:12:01Z,2024-03-24T16:12:12.655387Z,2024-03-24T16:12:12.721983Z,11721.983 ms,66.593888 ms,115.31852153333332 ms,51.866747 ms,635.663605 ms,90
2024-03-24T16:12:01Z,2024-03-24T16:12:12.722541Z,2024-03-24T16:12:12.781171Z,11781.171 ms,58.627429 ms,114.69554249450549 ms,51.866747 ms,635.663605 ms,91
2024-03-24T16:12:01Z,2024-03-24T16:12:12.781533Z,2024-03-24T16:12:12.841646Z,11841.646 ms,60.110524 ms,114.10222707608695 ms,51.866747 ms,635.663605 ms,92
2024-03-24T16:12:01Z,2024-03-24T16:12:12.842135Z,2024-03-24T16:12:12.896464Z,11896.464 ms,54.326422 ms,113.45947648387097 ms,51.866747 ms,635.663605 ms,93
2024-03-24T16:12:01Z,2024-03-24T16:12:12.896847Z,2024-03-24T16:12:12.970779Z,11970.779 ms,73.93024 ms,113.03895269148937 ms,51.866747 ms,635.663605 ms,94
2024-03-24T16:12:01Z,2024-03-24T16:12:12.971173Z,2024-03-24T16:12:13.025818Z,12025.818 ms,54.64305 ms,112.42425897894738 ms,51.866747 ms,635.663605 ms,95
2024-03-24T16:12:01Z,2024-03-24T16:12:13.026220Z,2024-03-24T16:12:13.079685Z,12079.685 ms,53.462885 ms,111.810078 ms,51.866747 ms,635.663605 ms,96
2024-03-24T16:12:01Z,2024-03-24T16:12:13.080095Z,2024-03-24T16:12:13.133428Z,12133.428 ms,53.331064 ms,111.20720156701032 ms,51.866747 ms,635.663605 ms,97
2024-03-24T16:12:01Z,2024-03-24T16:12:13.133765Z,2024-03-24T16:12:13.192916Z,12192.916000000001 ms,59.148803 ms,110.67599341836734 ms,51.866747 ms,635.663605 ms,98
2024-03-24T16:12:01Z,2024-03-24T16:12:13.193455Z,2024-03-24T16:12:13.266125Z,12266.125 ms,72.668003 ms,110.29207432323233 ms,51.866747 ms,635.663605 ms,99
2024-03-24T16:12:01Z,2024-03-24T16:12:13.266510Z,2024-03-24T16:12:13.323498Z,12323.498000000001 ms,56.985872 ms,109.7590123 ms,51.866747 ms,635.663605 ms,100
