observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
1970-01-21 04:27:17.959168Z,2025-04-07T14:59:25.041403Z,2025-04-07T14:59:25.166253Z,1742293927207.085 ms,124.852639 ms,124.852639 ms,124.852639 ms,124.852639 ms,1
1970-01-21 04:27:17.974208Z,2025-04-07T14:59:39.329413Z,2025-04-07T14:59:39.424498Z,1742293941450.29 ms,95.085949 ms,109.969294 ms,95.085949 ms,124.852639 ms,2
1970-01-21 04:27:17.989230Z,2025-04-07T14:59:54.326953Z,2025-04-07T14:59:54.383444Z,1742293956394.2139 ms,56.492034 ms,92.14354066666667 ms,56.492034 ms,124.852639 ms,3
1970-01-21 04:27:17.998239Z,2025-04-07T15:00:03.331853Z,2025-04-07T15:00:03.413180Z,1742293965414.9412 ms,81.328685 ms,89.43982675 ms,56.492034 ms,124.852639 ms,4
1970-01-21 04:27:17.998239Z,2025-04-07T15:00:03.473235Z,2025-04-07T15:00:03.563797Z,1742293965565.5579 ms,90.563601 ms,89.66458159999999 ms,56.492034 ms,124.852639 ms,5
1970-01-21 04:27:17.999240Z,2025-04-07T15:00:03.581535Z,2025-04-07T15:00:03.649594Z,1742293965650.354 ms,68.060866 ms,86.06396233333332 ms,56.492034 ms,124.852639 ms,6
1970-01-21 04:27:17.999240Z,2025-04-07T15:00:03.676650Z,2025-04-07T15:00:03.775008Z,1742293965775.768 ms,98.359153 ms,87.82041814285715 ms,56.492034 ms,124.852639 ms,7
1970-01-21 04:27:18.001242Z,2025-04-07T15:00:03.778329Z,2025-04-07T15:00:03.882118Z,1742293965880.876 ms,103.7899 ms,89.816603375 ms,56.492034 ms,124.852639 ms,8
1970-01-21 04:27:18.001242Z,2025-04-07T15:00:03.885587Z,2025-04-07T15:00:03.927244Z,1742293965926.002 ms,41.658969 ms,84.46575511111111 ms,41.658969 ms,124.852639 ms,9
1970-01-21 04:27:18.005246Z,2025-04-07T15:00:10.322378Z,2025-04-07T15:00:10.391837Z,1742293972386.591 ms,69.460458 ms,82.96522540000001 ms,41.658969 ms,124.852639 ms,10
1970-01-21 04:27:18.005246Z,2025-04-07T15:00:10.452899Z,2025-04-07T15:00:10.571123Z,1742293972565.877 ms,118.224609 ms,86.1706239090909 ms,41.658969 ms,124.852639 ms,11
1970-01-21 04:27:18.009250Z,2025-04-07T15:00:10.574103Z,2025-04-07T15:00:10.610303Z,1742293972601.053 ms,36.202443 ms,82.00660883333333 ms,36.202443 ms,124.852639 ms,12
1970-01-21 04:27:18.009250Z,2025-04-07T15:00:10.612832Z,2025-04-07T15:00:10.648546Z,1742293972639.2961 ms,35.71578 ms,78.44577584615384 ms,35.71578 ms,124.852639 ms,13
1970-01-21 04:27:18.013254Z,2025-04-07T15:00:18.314863Z,2025-04-07T15:00:18.361238Z,1742293980347.9841 ms,46.376476 ms,76.15511157142856 ms,35.71578 ms,124.852639 ms,14
1970-01-21 04:27:18.013254Z,2025-04-07T15:00:18.416238Z,2025-04-07T15:00:18.488972Z,1742293980475.718 ms,72.73526 ms,75.92712146666666 ms,35.71578 ms,124.852639 ms,15
1970-01-21 04:27:18.017258Z,2025-04-07T15:00:18.496362Z,2025-04-07T15:00:18.544887Z,1742293980527.629 ms,48.527112 ms,74.214620875 ms,35.71578 ms,124.852639 ms,16
1970-01-21 04:27:18.017258Z,2025-04-07T15:00:18.560357Z,2025-04-07T15:00:18.594618Z,1742293980577.3599 ms,34.262173 ms,71.86447688235295 ms,34.262173 ms,124.852639 ms,17
1970-01-21 04:27:18.019260Z,2025-04-07T15:00:24.323379Z,2025-04-07T15:00:24.363530Z,1742293986344.27 ms,40.152215 ms,70.10268455555556 ms,34.262173 ms,124.852639 ms,18
1970-01-21 04:27:18.021262Z,2025-04-07T15:00:24.404650Z,2025-04-07T15:00:24.448721Z,1742293986427.459 ms,44.072137 ms,68.7326557368421 ms,34.262173 ms,124.852639 ms,19
1970-01-21 04:27:18.021262Z,2025-04-07T15:00:24.501548Z,2025-04-07T15:00:24.547707Z,1742293986526.4448 ms,46.160442 ms,67.60404505 ms,34.262173 ms,124.852639 ms,20
1970-01-21 04:27:18.036277Z,2025-04-07T15:00:41.347071Z,2025-04-07T15:00:41.417003Z,1742294003380.726 ms,69.932606 ms,67.7149289047619 ms,34.262173 ms,124.852639 ms,21
1970-01-21 04:27:18.051300Z,2025-04-07T15:00:56.355330Z,2025-04-07T15:00:56.395567Z,1742294018344.2668 ms,40.238896 ms,66.46601831818182 ms,34.262173 ms,124.852639 ms,22
1970-01-21 04:27:18.058307Z,2025-04-07T15:01:03.359972Z,2025-04-07T15:01:03.411081Z,1742294025352.774 ms,51.110115 ms,65.79837034782608 ms,34.262173 ms,124.852639 ms,23
1970-01-21 04:27:18.058307Z,2025-04-07T15:01:03.427494Z,2025-04-07T15:01:03.470929Z,1742294025412.622 ms,43.43653 ms,64.866627 ms,34.262173 ms,124.852639 ms,24
1970-01-21 04:27:18.062311Z,2025-04-07T15:01:03.517006Z,2025-04-07T15:01:03.564005Z,1742294025501.6938 ms,47.000633 ms,64.15198724 ms,34.262173 ms,124.852639 ms,25
1970-01-21 04:27:18.062311Z,2025-04-07T15:01:03.593759Z,2025-04-07T15:01:03.624759Z,1742294025562.448 ms,31.001292 ms,62.8769605 ms,31.001292 ms,124.852639 ms,26
1970-01-21 04:27:18.066315Z,2025-04-07T15:01:11.364334Z,2025-04-07T15:01:11.388671Z,1742294033322.356 ms,24.33926 ms,61.44963825925926 ms,24.33926 ms,124.852639 ms,27
1970-01-21 04:27:18.066315Z,2025-04-07T15:01:11.418783Z,2025-04-07T15:01:11.456809Z,1742294033390.4941 ms,38.028042 ms,60.613152678571424 ms,24.33926 ms,124.852639 ms,28
1970-01-21 04:27:18.070319Z,2025-04-07T15:01:11.475341Z,2025-04-07T15:01:11.499465Z,1742294033429.146 ms,24.125552 ms,59.354959551724136 ms,24.125552 ms,124.852639 ms,29
1970-01-21 04:27:18.070319Z,2025-04-07T15:01:11.543224Z,2025-04-07T15:01:11.562774Z,1742294033492.455 ms,19.550871 ms,58.0281566 ms,19.550871 ms,124.852639 ms,30
