observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
1970-01-21 04:27:17.959168Z,2025-04-07T14:59:25.041403Z,2025-04-07T14:59:25.041526Z,1742293927207.085 ms,0.125029 ms,0.125029 ms,0.125029 ms,0.125029 ms,1
1970-01-21 04:27:17.974208Z,2025-04-07T14:59:39.329413Z,2025-04-07T14:59:39.329504Z,1742293941450.29 ms,0.092357 ms,0.108693 ms,0.092357 ms,0.125029 ms,2
1970-01-21 04:27:17.989230Z,2025-04-07T14:59:54.326953Z,2025-04-07T14:59:54.327096Z,1742293956394.2139 ms,0.144267 ms,0.120551 ms,0.092357 ms,0.144267 ms,3
1970-01-21 04:27:17.998239Z,2025-04-07T15:00:03.331853Z,2025-04-07T15:00:03.331933Z,1742293965414.9412 ms,0.081672 ms,0.11083125 ms,0.081672 ms,0.144267 ms,4
1970-01-21 04:27:17.998239Z,2025-04-07T15:00:03.473235Z,2025-04-07T15:00:03.473321Z,1742293965565.5579 ms,0.087204 ms,0.1061058 ms,0.081672 ms,0.144267 ms,5
1970-01-21 04:27:17.999240Z,2025-04-07T15:00:03.581535Z,2025-04-07T15:00:03.581653Z,1742293965650.354 ms,0.119668 ms,0.10836616666666667 ms,0.081672 ms,0.144267 ms,6
1970-01-21 04:27:17.999240Z,2025-04-07T15:00:03.676650Z,2025-04-07T15:00:03.676745Z,1742293965775.768 ms,0.09744 ms,0.10680528571428571 ms,0.081672 ms,0.144267 ms,7
1970-01-21 04:27:18.001242Z,2025-04-07T15:00:03.778329Z,2025-04-07T15:00:03.778582Z,1742293965880.876 ms,0.254429 ms,0.12525825 ms,0.081672 ms,0.254429 ms,8
1970-01-21 04:27:18.001242Z,2025-04-07T15:00:03.885587Z,2025-04-07T15:00:03.885947Z,1742293965926.002 ms,0.36065 ms,0.15141288888888887 ms,0.081672 ms,0.36065 ms,9
1970-01-21 04:27:18.005246Z,2025-04-07T15:00:10.322378Z,2025-04-07T15:00:10.322478Z,1742293972386.591 ms,0.102077 ms,0.14647929999999998 ms,0.081672 ms,0.36065 ms,10
1970-01-21 04:27:18.005246Z,2025-04-07T15:00:10.452899Z,2025-04-07T15:00:10.453018Z,1742293972565.877 ms,0.121546 ms,0.14421263636363635 ms,0.081672 ms,0.36065 ms,11
1970-01-21 04:27:18.009250Z,2025-04-07T15:00:10.574103Z,2025-04-07T15:00:10.574421Z,1742293972601.053 ms,0.319674 ms,0.15883441666666664 ms,0.081672 ms,0.36065 ms,12
1970-01-21 04:27:18.009250Z,2025-04-07T15:00:10.612832Z,2025-04-07T15:00:10.613011Z,1742293972639.2961 ms,0.180228 ms,0.16048007692307695 ms,0.081672 ms,0.36065 ms,13
1970-01-21 04:27:18.013254Z,2025-04-07T15:00:18.314863Z,2025-04-07T15:00:18.314944Z,1742293980347.9841 ms,0.082378 ms,0.15490135714285713 ms,0.081672 ms,0.36065 ms,14
1970-01-21 04:27:18.013254Z,2025-04-07T15:00:18.416238Z,2025-04-07T15:00:18.416319Z,1742293980475.718 ms,0.081908 ms,0.15003513333333332 ms,0.081672 ms,0.36065 ms,15
1970-01-21 04:27:18.017258Z,2025-04-07T15:00:18.496362Z,2025-04-07T15:00:18.496457Z,1742293980527.629 ms,0.097037 ms,0.14672275 ms,0.081672 ms,0.36065 ms,16
1970-01-21 04:27:18.017258Z,2025-04-07T15:00:18.560357Z,2025-04-07T15:00:18.560459Z,1742293980577.3599 ms,0.103448 ms,0.14417717647058823 ms,0.081672 ms,0.36065 ms,17
1970-01-21 04:27:18.019260Z,2025-04-07T15:00:24.323379Z,2025-04-07T15:00:24.323470Z,1742293986344.27 ms,0.092117 ms,0.14128494444444445 ms,0.081672 ms,0.36065 ms,18
1970-01-21 04:27:18.021262Z,2025-04-07T15:00:24.404650Z,2025-04-07T15:00:24.404734Z,1742293986427.459 ms,0.085559 ms,0.138352 ms,0.081672 ms,0.36065 ms,19
1970-01-21 04:27:18.021262Z,2025-04-07T15:00:24.501548Z,2025-04-07T15:00:24.501634Z,1742293986526.4448 ms,0.086846 ms,0.1357767 ms,0.081672 ms,0.36065 ms,20
1970-01-21 04:27:18.036277Z,2025-04-07T15:00:41.347071Z,2025-04-07T15:00:41.347173Z,1742294003380.726 ms,0.103422 ms,0.134236 ms,0.081672 ms,0.36065 ms,21
1970-01-21 04:27:18.051300Z,2025-04-07T15:00:56.355330Z,2025-04-07T15:00:56.355442Z,1742294018344.2668 ms,0.113118 ms,0.1332760909090909 ms,0.081672 ms,0.36065 ms,22
1970-01-21 04:27:18.058307Z,2025-04-07T15:01:03.359972Z,2025-04-07T15:01:03.360069Z,1742294025352.774 ms,0.098585 ms,0.13176778260869565 ms,0.081672 ms,0.36065 ms,23
1970-01-21 04:27:18.058307Z,2025-04-07T15:01:03.427494Z,2025-04-07T15:01:03.427596Z,1742294025412.622 ms,0.103476 ms,0.13058895833333334 ms,0.081672 ms,0.36065 ms,24
1970-01-21 04:27:18.062311Z,2025-04-07T15:01:03.517006Z,2025-04-07T15:01:03.517112Z,1742294025501.6938 ms,0.107146 ms,0.12965124 ms,0.081672 ms,0.36065 ms,25
1970-01-21 04:27:18.062311Z,2025-04-07T15:01:03.593759Z,2025-04-07T15:01:03.593853Z,1742294025562.448 ms,0.094944 ms,0.12831634615384616 ms,0.081672 ms,0.36065 ms,26
1970-01-21 04:27:18.066315Z,2025-04-07T15:01:11.364334Z,2025-04-07T15:01:11.364416Z,1742294033322.356 ms,0.083304 ms,0.12664922222222222 ms,0.081672 ms,0.36065 ms,27
1970-01-21 04:27:18.066315Z,2025-04-07T15:01:11.418783Z,2025-04-07T15:01:11.418905Z,1742294033390.4941 ms,0.123676 ms,0.1265430357142857 ms,0.081672 ms,0.36065 ms,28
1970-01-21 04:27:18.070319Z,2025-04-07T15:01:11.475341Z,2025-04-07T15:01:11.475452Z,1742294033429.146 ms,0.112518 ms,0.12605941379310345 ms,0.081672 ms,0.36065 ms,29
1970-01-21 04:27:18.070319Z,2025-04-07T15:01:11.543224Z,2025-04-07T15:01:11.543295Z,1742294033492.455 ms,0.072134 ms,0.1242619 ms,0.072134 ms,0.36065 ms,30
1970-01-21 04:27:18.074323Z,2025-04-07T15:01:19.372274Z,2025-04-07T15:01:19.372384Z,1742294041323.632 ms,0.091912 ms,0.12321835483870969 ms,0.072134 ms,0.36065 ms,31
1970-01-21 04:27:18.074323Z,2025-04-07T15:01:19.424745Z,2025-04-07T15:01:19.424858Z,1742294041381.752 ms,0.113844 ms,0.12292540625 ms,0.072134 ms,0.36065 ms,32
1970-01-21 04:27:18.078327Z,2025-04-07T15:01:19.483130Z,2025-04-07T15:01:19.483222Z,1742294041429.7668 ms,0.092174 ms,0.12199354545454545 ms,0.072134 ms,0.36065 ms,33
1970-01-21 04:27:18.078327Z,2025-04-07T15:01:19.544812Z,2025-04-07T15:01:19.544932Z,1742294041488.146 ms,0.120946 ms,0.12196273529411765 ms,0.072134 ms,0.36065 ms,34
1970-01-21 04:27:18.081330Z,2025-04-07T15:01:26.378687Z,2025-04-07T15:01:26.378791Z,1742294048326.467 ms,0.10514 ms,0.12148208571428572 ms,0.072134 ms,0.36065 ms,35
1970-01-21 04:27:18.082331Z,2025-04-07T15:01:26.432094Z,2025-04-07T15:01:26.432184Z,1742294048391.332 ms,0.091949 ms,0.12066172222222223 ms,0.072134 ms,0.36065 ms,36
1970-01-21 04:27:18.082331Z,2025-04-07T15:01:26.496415Z,2025-04-07T15:01:26.496500Z,1742294048437.137 ms,0.087508 ms,0.11976567567567568 ms,0.072134 ms,0.36065 ms,37
1970-01-21 04:27:18.086335Z,2025-04-07T15:01:31.380348Z,2025-04-07T15:01:31.380434Z,1742294053320.68 ms,0.087901 ms,0.11892713157894737 ms,0.072134 ms,0.36065 ms,38
1970-01-21 04:27:18.086335Z,2025-04-07T15:01:31.427586Z,2025-04-07T15:01:31.427682Z,1742294053361.106 ms,0.097367 ms,0.11837430769230768 ms,0.072134 ms,0.36065 ms,39
1970-01-21 04:27:18.101350Z,2025-04-07T15:01:46.403739Z,2025-04-07T15:01:46.403830Z,1742294068326.069 ms,0.092253 ms,0.117721275 ms,0.072134 ms,0.36065 ms,40
1970-01-21 04:27:18.116371Z,2025-04-07T15:02:01.420605Z,2025-04-07T15:02:01.420706Z,1742294083329.176 ms,0.102543 ms,0.1173510731707317 ms,0.072134 ms,0.36065 ms,41
1970-01-21 04:27:18.118373Z,2025-04-07T15:02:01.472767Z,2025-04-07T15:02:01.472871Z,1742294083378.6162 ms,0.105294 ms,0.117064 ms,0.072134 ms,0.36065 ms,42
1970-01-21 04:27:18.118373Z,2025-04-07T15:02:01.529052Z,2025-04-07T15:02:01.529164Z,1742294083437.5579 ms,0.113865 ms,0.11698960465116279 ms,0.072134 ms,0.36065 ms,43
1970-01-21 04:27:18.122377Z,2025-04-07T15:02:07.419717Z,2025-04-07T15:02:07.419832Z,1742294089325.391 ms,0.116373 ms,0.11697559090909092 ms,0.072134 ms,0.36065 ms,44
1970-01-21 04:27:18.122377Z,2025-04-07T15:02:07.475953Z,2025-04-07T15:02:07.476071Z,1742294089385.649 ms,0.119263 ms,0.11702642222222222 ms,0.072134 ms,0.36065 ms,45
1970-01-21 04:27:18.126381Z,2025-04-07T15:02:07.530164Z,2025-04-07T15:02:07.530272Z,1742294089447.4749 ms,0.109521 ms,0.11686326086956522 ms,0.072134 ms,0.36065 ms,46
