observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-06 11:13:32.043Z,2025-04-06T11:13:38.003714Z,2025-04-06T11:13:38.290271Z,6247.271 ms,286.559961 ms,286.559961 ms,286.559961 ms,286.559961 ms,1
2025-04-06 11:13:32.043Z,2025-04-06T11:13:38.293448Z,2025-04-06T11:13:38.509384Z,6466.384 ms,215.938332 ms,251.2491465 ms,215.938332 ms,286.559961 ms,2
2025-04-06 11:13:32.043Z,2025-04-06T11:13:38.512219Z,2025-04-06T11:13:38.680043Z,6637.043000000001 ms,167.826601 ms,223.44163133333333 ms,167.826601 ms,286.559961 ms,3
2025-04-06 11:13:32.043Z,2025-04-06T11:13:38.680466Z,2025-04-06T11:13:38.878158Z,6835.157999999999 ms,197.691543 ms,217.00410925 ms,167.826601 ms,286.559961 ms,4
2025-04-06 11:13:32.043Z,2025-04-06T11:13:38.881067Z,2025-04-06T11:13:39.059975Z,7016.975 ms,178.910349 ms,209.3853572 ms,167.826601 ms,286.559961 ms,5
2025-04-06 11:13:32.043Z,2025-04-06T11:13:39.060589Z,2025-04-06T11:13:39.206290Z,7163.29 ms,145.70135 ms,198.771356 ms,145.70135 ms,286.559961 ms,6
2025-04-06 11:13:32.043Z,2025-04-06T11:13:39.206746Z,2025-04-06T11:13:39.277823Z,7234.822999999999 ms,71.076586 ms,180.529246 ms,71.076586 ms,286.559961 ms,7
2025-04-06 11:13:32.043Z,2025-04-06T11:13:39.282531Z,2025-04-06T11:13:39.415330Z,7372.33 ms,132.801429 ms,174.563268875 ms,71.076586 ms,286.559961 ms,8
2025-04-06 11:13:32.043Z,2025-04-06T11:13:39.416647Z,2025-04-06T11:13:39.502239Z,7459.2390000000005 ms,85.591243 ms,164.67748822222222 ms,71.076586 ms,286.559961 ms,9
2025-04-06 11:13:32.043Z,2025-04-06T11:13:39.502725Z,2025-04-06T11:13:39.572688Z,7529.688 ms,69.963497 ms,155.20608909999999 ms,69.963497 ms,286.559961 ms,10
2025-04-06 11:13:32.043Z,2025-04-06T11:13:39.573158Z,2025-04-06T11:13:39.655077Z,7612.077 ms,81.919578 ms,148.543679 ms,69.963497 ms,286.559961 ms,11
