observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-20 19:29:53.208854Z,2025-04-20T19:29:53.632111Z,2025-04-20T19:29:53.854976Z,646.122 ms,222.86725 ms,222.86725 ms,222.86725 ms,222.86725 ms,1
2025-04-20 19:29:53.627450Z,2025-04-20T19:29:53.858834Z,2025-04-20T19:29:54.099457Z,472.007 ms,240.624984 ms,231.746117 ms,222.86725 ms,240.624984 ms,2
2025-04-20 19:29:53.795136Z,2025-04-20T19:29:54.101746Z,2025-04-20T19:29:54.264745Z,469.609 ms,163.001484 ms,208.83123933333334 ms,163.001484 ms,240.624984 ms,3
2025-04-20 19:29:53.919099Z,2025-04-20T19:29:54.265236Z,2025-04-20T19:29:54.446742Z,527.643 ms,181.505227 ms,201.99973625 ms,163.001484 ms,240.624984 ms,4
2025-04-20 19:29:54.036427Z,2025-04-20T19:29:54.456629Z,2025-04-20T19:29:54.623935Z,587.508 ms,167.308367 ms,195.0614624 ms,163.001484 ms,240.624984 ms,5
2025-04-20 19:29:54.166432Z,2025-04-20T19:29:54.624401Z,2025-04-20T19:29:54.745965Z,579.533 ms,121.564761 ms,182.81201216666665 ms,121.564761 ms,240.624984 ms,6
2025-04-20 19:29:54.299427Z,2025-04-20T19:29:54.746948Z,2025-04-20T19:29:54.884411Z,584.9839999999999 ms,137.463915 ms,176.33371257142858 ms,121.564761 ms,240.624984 ms,7
2025-04-20 19:29:54.430345Z,2025-04-20T19:29:54.890626Z,2025-04-20T19:29:54.984543Z,554.198 ms,93.920912 ms,166.0321125 ms,93.920912 ms,240.624984 ms,8
2025-04-20 19:29:54.533405Z,2025-04-20T19:29:54.985036Z,2025-04-20T19:29:55.069546Z,536.141 ms,84.509647 ms,156.9740607777778 ms,84.509647 ms,240.624984 ms,9
2025-04-20 19:29:54.627441Z,2025-04-20T19:29:55.070012Z,2025-04-20T19:29:55.161408Z,533.967 ms,91.396427 ms,150.41629740000002 ms,84.509647 ms,240.624984 ms,10
2025-04-20 19:29:54.765847Z,2025-04-20T19:29:55.162596Z,2025-04-20T19:29:55.249380Z,483.533 ms,86.784882 ms,144.63162327272727 ms,84.509647 ms,240.624984 ms,11
