observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T21:41:30.190910Z,2025-05-21T21:41:30.190910Z,2025-05-21T21:41:30.253448Z,62.538 ms,62.540519 ms,62.540519 ms,62.540519 ms,62.540519 ms,1
2025-05-21T21:41:30.259250Z,2025-05-21T21:41:30.259250Z,2025-05-21T21:41:30.305663Z,46.413000000000004 ms,46.413973 ms,54.477246 ms,46.413973 ms,62.540519 ms,2
2025-05-21T21:41:30.306282Z,2025-05-21T21:41:30.306282Z,2025-05-21T21:41:30.347790Z,41.508 ms,41.508625 ms,50.154372333333335 ms,41.508625 ms,62.540519 ms,3
2025-05-21T21:41:30.348225Z,2025-05-21T21:41:30.348225Z,2025-05-21T21:41:30.371903Z,23.678 ms,23.67772 ms,43.53520925 ms,23.67772 ms,62.540519 ms,4
2025-05-21T21:41:30.372491Z,2025-05-21T21:41:30.372491Z,2025-05-21T21:41:30.396051Z,23.560000000000002 ms,23.56005 ms,39.5401774 ms,23.56005 ms,62.540519 ms,5
2025-05-21T21:41:30.396566Z,2025-05-21T21:41:30.396566Z,2025-05-21T21:41:30.417478Z,20.912 ms,20.911918 ms,36.4354675 ms,20.911918 ms,62.540519 ms,6
2025-05-21T21:41:30.418010Z,2025-05-21T21:41:30.418010Z,2025-05-21T21:41:30.444784Z,26.774 ms,26.773496 ms,35.05518585714286 ms,20.911918 ms,62.540519 ms,7
2025-05-21T21:41:30.445358Z,2025-05-21T21:41:30.445358Z,2025-05-21T21:41:30.468709Z,23.351 ms,23.351113 ms,33.59217675 ms,20.911918 ms,62.540519 ms,8
2025-05-21T21:41:30.469172Z,2025-05-21T21:41:30.469172Z,2025-05-21T21:41:30.506567Z,37.394999999999996 ms,37.394691 ms,34.014678333333336 ms,20.911918 ms,62.540519 ms,9
2025-05-21T21:41:30.507141Z,2025-05-21T21:41:30.507141Z,2025-05-21T21:41:30.528837Z,21.696 ms,21.695904 ms,32.7828009 ms,20.911918 ms,62.540519 ms,10
2025-05-21T21:41:34.044253Z,2025-05-21T21:41:34.044253Z,2025-05-21T21:41:34.074017Z,29.764 ms,29.765307 ms,32.508483272727275 ms,20.911918 ms,62.540519 ms,11
2025-05-21T21:41:34.079205Z,2025-05-21T21:41:34.079205Z,2025-05-21T21:41:34.094768Z,15.563 ms,15.564896 ms,31.096517666666667 ms,15.564896 ms,62.540519 ms,12
2025-05-21T21:41:34.095312Z,2025-05-21T21:41:34.095312Z,2025-05-21T21:41:34.112259Z,16.947 ms,16.94745 ms,30.008127846153847 ms,15.564896 ms,62.540519 ms,13
2025-05-21T21:41:34.112900Z,2025-05-21T21:41:34.112900Z,2025-05-21T21:41:34.131188Z,18.288 ms,18.288082 ms,29.170981714285713 ms,15.564896 ms,62.540519 ms,14
2025-05-21T21:41:34.131779Z,2025-05-21T21:41:34.131779Z,2025-05-21T21:41:34.150528Z,18.749 ms,18.749537 ms,28.476218733333333 ms,15.564896 ms,62.540519 ms,15
2025-05-21T21:41:34.151047Z,2025-05-21T21:41:34.151047Z,2025-05-21T21:41:34.173679Z,22.631999999999998 ms,22.632107 ms,28.11096175 ms,15.564896 ms,62.540519 ms,16
2025-05-21T21:41:34.174138Z,2025-05-21T21:41:34.174138Z,2025-05-21T21:41:34.192801Z,18.663 ms,18.662954 ms,27.555196588235294 ms,15.564896 ms,62.540519 ms,17
2025-05-21T21:41:34.193447Z,2025-05-21T21:41:34.193447Z,2025-05-21T21:41:34.212415Z,18.968 ms,18.968049 ms,27.07813283333333 ms,15.564896 ms,62.540519 ms,18
