observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T21:41:30.190910Z,2025-05-21T21:41:30.190910Z,2025-05-21T21:41:30.191148Z,62.538 ms,0.241035 ms,0.241035 ms,0.241035 ms,0.241035 ms,1
2025-05-21T21:41:30.259250Z,2025-05-21T21:41:30.259250Z,2025-05-21T21:41:30.259372Z,46.413000000000004 ms,0.123419 ms,0.182227 ms,0.123419 ms,0.241035 ms,2
2025-05-21T21:41:30.306282Z,2025-05-21T21:41:30.306282Z,2025-05-21T21:41:30.306380Z,41.508 ms,0.098173 ms,0.154209 ms,0.098173 ms,0.241035 ms,3
2025-05-21T21:41:30.348225Z,2025-05-21T21:41:30.348225Z,2025-05-21T21:41:30.348325Z,23.678 ms,0.09982 ms,0.14061175 ms,0.098173 ms,0.241035 ms,4
2025-05-21T21:41:30.372491Z,2025-05-21T21:41:30.372491Z,2025-05-21T21:41:30.372576Z,23.560000000000002 ms,0.085639 ms,0.1296172 ms,0.085639 ms,0.241035 ms,5
2025-05-21T21:41:30.396566Z,2025-05-21T21:41:30.396566Z,2025-05-21T21:41:30.396698Z,20.912 ms,0.131583 ms,0.12994483333333331 ms,0.085639 ms,0.241035 ms,6
2025-05-21T21:41:30.418010Z,2025-05-21T21:41:30.418010Z,2025-05-21T21:41:30.418079Z,26.774 ms,0.068468 ms,0.12116242857142856 ms,0.068468 ms,0.241035 ms,7
2025-05-21T21:41:30.445358Z,2025-05-21T21:41:30.445358Z,2025-05-21T21:41:30.445457Z,23.351 ms,0.099772 ms,0.118488625 ms,0.068468 ms,0.241035 ms,8
2025-05-21T21:41:30.469172Z,2025-05-21T21:41:30.469172Z,2025-05-21T21:41:30.469242Z,37.394999999999996 ms,0.070651 ms,0.11317333333333333 ms,0.068468 ms,0.241035 ms,9
2025-05-21T21:41:30.507141Z,2025-05-21T21:41:30.507141Z,2025-05-21T21:41:30.507209Z,21.696 ms,0.068329 ms,0.10868889999999999 ms,0.068329 ms,0.241035 ms,10
2025-05-21T21:41:34.044253Z,2025-05-21T21:41:34.044253Z,2025-05-21T21:41:34.044356Z,29.764 ms,0.104855 ms,0.10834036363636364 ms,0.068329 ms,0.241035 ms,11
2025-05-21T21:41:34.079205Z,2025-05-21T21:41:34.079205Z,2025-05-21T21:41:34.079362Z,15.563 ms,0.158487 ms,0.11251925 ms,0.068329 ms,0.241035 ms,12
2025-05-21T21:41:34.095312Z,2025-05-21T21:41:34.095312Z,2025-05-21T21:41:34.095416Z,16.947 ms,0.104029 ms,0.11186615384615384 ms,0.068329 ms,0.241035 ms,13
2025-05-21T21:41:34.112900Z,2025-05-21T21:41:34.112900Z,2025-05-21T21:41:34.112989Z,18.288 ms,0.08886 ms,0.11022285714285715 ms,0.068329 ms,0.241035 ms,14
2025-05-21T21:41:34.131779Z,2025-05-21T21:41:34.131779Z,2025-05-21T21:41:34.131870Z,18.749 ms,0.091601 ms,0.10898139999999999 ms,0.068329 ms,0.241035 ms,15
2025-05-21T21:41:34.151047Z,2025-05-21T21:41:34.151047Z,2025-05-21T21:41:34.151140Z,22.631999999999998 ms,0.093149 ms,0.107991875 ms,0.068329 ms,0.241035 ms,16
2025-05-21T21:41:34.174138Z,2025-05-21T21:41:34.174138Z,2025-05-21T21:41:34.174210Z,18.663 ms,0.071937 ms,0.105871 ms,0.068329 ms,0.241035 ms,17
2025-05-21T21:41:34.193447Z,2025-05-21T21:41:34.193447Z,2025-05-21T21:41:34.193582Z,18.968 ms,0.134356 ms,0.1074535 ms,0.068329 ms,0.241035 ms,18
2025-05-21T21:41:34.212881Z,2025-05-21T21:41:34.212881Z,2025-05-21T21:41:34.212952Z,17.732000000000003 ms,0.07125 ms,0.10554805263157895 ms,0.068329 ms,0.241035 ms,19
2025-05-21T21:41:34.231220Z,2025-05-21T21:41:34.231220Z,2025-05-21T21:41:34.231308Z,21.382 ms,0.088583 ms,0.10469980000000001 ms,0.068329 ms,0.241035 ms,20
2025-05-21T21:41:36.484682Z,2025-05-21T21:41:36.484682Z,2025-05-21T21:41:36.484804Z,24.23 ms,0.123381 ms,0.10558938095238095 ms,0.068329 ms,0.241035 ms,21
2025-05-21T21:41:36.513892Z,2025-05-21T21:41:36.513892Z,2025-05-21T21:41:36.514057Z,11.857 ms,0.166014 ms,0.10833595454545454 ms,0.068329 ms,0.241035 ms,22
2025-05-21T21:41:36.526315Z,2025-05-21T21:41:36.526315Z,2025-05-21T21:41:36.526417Z,32.393 ms,0.10235 ms,0.10807569565217393 ms,0.068329 ms,0.241035 ms,23
2025-05-21T21:41:36.559190Z,2025-05-21T21:41:36.559190Z,2025-05-21T21:41:36.559359Z,17.996000000000002 ms,0.168843 ms,0.11060766666666667 ms,0.068329 ms,0.241035 ms,24
2025-05-21T21:41:36.577672Z,2025-05-21T21:41:36.577672Z,2025-05-21T21:41:36.577740Z,15.764 ms,0.068303 ms,0.10891548 ms,0.068303 ms,0.241035 ms,25
2025-05-21T21:41:36.594255Z,2025-05-21T21:41:36.594255Z,2025-05-21T21:41:36.594816Z,51.189 ms,0.560567 ms,0.12628669230769232 ms,0.068303 ms,0.560567 ms,26
