observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-20 20:08:09.011255Z,2025-04-20T20:08:09.441079Z,2025-04-20T20:08:09.467107Z,455.852 ms,11.991 ms,11.991 ms,11.991 ms,11.991 ms,1
2025-04-20 20:08:09.438428Z,2025-04-20T20:08:09.558793Z,2025-04-20T20:08:09.579278Z,140.85 ms,10.712 ms,11.3515 ms,10.712 ms,11.991 ms,2
2025-04-20 20:08:09.556387Z,2025-04-20T20:08:09.658813Z,2025-04-20T20:08:09.674645Z,118.258 ms,6.75 ms,9.817666666666668 ms,6.75 ms,11.991 ms,3
2025-04-20 20:08:09.656363Z,2025-04-20T20:08:09.752651Z,2025-04-20T20:08:09.769145Z,112.782 ms,6.987 ms,9.11 ms,6.75 ms,11.991 ms,4
2025-04-20 20:08:09.747748Z,2025-04-20T20:08:09.845572Z,2025-04-20T20:08:09.862729Z,114.981 ms,7.079999999999999 ms,8.704 ms,6.75 ms,11.991 ms,5
2025-04-20 20:08:09.843199Z,2025-04-20T20:08:09.920625Z,2025-04-20T20:08:09.939440Z,96.241 ms,6.026 ms,8.257666666666669 ms,6.026 ms,11.991 ms,6
2025-04-20 20:08:09.918055Z,2025-04-20T20:08:09.988514Z,2025-04-20T20:08:10.007271Z,89.21600000000001 ms,5.898000000000001 ms,7.92057142857143 ms,5.898000000000001 ms,11.991 ms,7
2025-04-20 20:08:09.986212Z,2025-04-20T20:08:10.062420Z,2025-04-20T20:08:10.082196Z,95.984 ms,9.5 ms,8.118 ms,5.898000000000001 ms,11.991 ms,8
2025-04-20 20:08:10.060091Z,2025-04-20T20:08:10.135714Z,2025-04-20T20:08:10.153088Z,92.997 ms,7.851 ms,8.088333333333333 ms,5.898000000000001 ms,11.991 ms,9
2025-04-20 20:08:10.131246Z,2025-04-20T20:08:10.206894Z,2025-04-20T20:08:10.223905Z,92.659 ms,5.951 ms,7.874599999999999 ms,5.898000000000001 ms,11.991 ms,10
2025-04-20 20:08:10.202926Z,2025-04-20T20:08:10.276823Z,2025-04-20T20:08:10.295207Z,92.281 ms,7.865 ms,7.873727272727272 ms,5.898000000000001 ms,11.991 ms,11
2025-04-20 20:08:10.274522Z,2025-04-20T20:08:10.349546Z,2025-04-20T20:08:10.369623Z,95.101 ms,10.693 ms,8.108666666666664 ms,5.898000000000001 ms,11.991 ms,12
2025-04-20 20:08:10.347663Z,2025-04-20T20:08:10.419510Z,2025-04-20T20:08:10.435281Z,87.618 ms,6.285 ms,7.968384615384615 ms,5.898000000000001 ms,11.991 ms,13
2025-04-20 20:08:10.417631Z,2025-04-20T20:08:10.486305Z,2025-04-20T20:08:10.502656Z,85.025 ms,6.599 ms,7.870571428571426 ms,5.898000000000001 ms,11.991 ms,14
2025-04-20 20:08:10.483789Z,2025-04-20T20:08:10.559376Z,2025-04-20T20:08:10.575750Z,91.961 ms,6.509 ms,7.779799999999999 ms,5.898000000000001 ms,11.991 ms,15
2025-04-20 20:08:10.557124Z,2025-04-20T20:08:10.616822Z,2025-04-20T20:08:10.637733Z,80.609 ms,7.3660000000000005 ms,7.753937499999998 ms,5.898000000000001 ms,11.991 ms,16
2025-04-20 20:08:10.614621Z,2025-04-20T20:08:10.678433Z,2025-04-20T20:08:10.704741Z,90.12 ms,6.464 ms,7.67805882352941 ms,5.898000000000001 ms,11.991 ms,17
2025-04-20 20:08:10.676724Z,2025-04-20T20:08:10.746448Z,2025-04-20T20:08:10.762130Z,85.40599999999999 ms,5.707999999999999 ms,7.568611111111109 ms,5.707999999999999 ms,11.991 ms,18
2025-04-20 20:08:10.744385Z,2025-04-20T20:08:10.803712Z,2025-04-20T20:08:10.821715Z,77.33 ms,7.737 ms,7.577473684210524 ms,5.707999999999999 ms,11.991 ms,19
2025-04-20 20:08:10.801524Z,2025-04-20T20:08:10.861829Z,2025-04-20T20:08:10.878254Z,76.73 ms,6.805999999999999 ms,7.538899999999998 ms,5.707999999999999 ms,11.991 ms,20
2025-04-20 20:08:10.859672Z,2025-04-20T20:08:10.915491Z,2025-04-20T20:08:10.935997Z,76.325 ms,7.391 ms,7.531857142857142 ms,5.707999999999999 ms,11.991 ms,21
2025-04-20 20:08:10.913242Z,2025-04-20T20:08:10.970793Z,2025-04-20T20:08:10.987744Z,74.502 ms,7.187 ms,7.516181818181817 ms,5.707999999999999 ms,11.991 ms,22
2025-04-20 20:08:10.968600Z,2025-04-20T20:08:11.024646Z,2025-04-20T20:08:11.042753Z,74.15299999999999 ms,8.773 ms,7.570826086956521 ms,5.707999999999999 ms,11.991 ms,23
2025-04-20 20:08:11.022521Z,2025-04-20T20:08:11.082938Z,2025-04-20T20:08:11.099406Z,76.88499999999999 ms,7.104 ms,7.551374999999999 ms,5.707999999999999 ms,11.991 ms,24
2025-04-20 20:08:11.080588Z,2025-04-20T20:08:11.145737Z,2025-04-20T20:08:11.165341Z,84.753 ms,6.588 ms,7.51284 ms,5.707999999999999 ms,11.991 ms,25
2025-04-20 20:08:11.143530Z,2025-04-20T20:08:11.198536Z,2025-04-20T20:08:11.213924Z,70.39399999999999 ms,5.966 ms,7.453346153846153 ms,5.707999999999999 ms,11.991 ms,26
