observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T21:49:03.089014Z,2025-05-21T21:49:03.089014Z,2025-05-21T21:49:03.102900Z,13.886000000000001 ms,13.886000000000001 ms,13.886000000000001 ms,13.886000000000001 ms,13.886000000000001 ms,1
2025-05-21T21:49:03.137794Z,2025-05-21T21:49:03.137794Z,2025-05-21T21:49:03.143437Z,5.643 ms,5.643 ms,9.7645 ms,5.643 ms,13.886000000000001 ms,2
2025-05-21T21:49:03.169278Z,2025-05-21T21:49:03.169278Z,2025-05-21T21:49:03.174202Z,4.924 ms,4.924 ms,8.151 ms,4.924 ms,13.886000000000001 ms,3
2025-05-21T21:49:03.199965Z,2025-05-21T21:49:03.199965Z,2025-05-21T21:49:03.205768Z,5.803 ms,5.803 ms,7.564 ms,4.924 ms,13.886000000000001 ms,4
2025-05-21T21:49:03.231316Z,2025-05-21T21:49:03.231316Z,2025-05-21T21:49:03.236409Z,5.093 ms,5.093 ms,7.069800000000001 ms,4.924 ms,13.886000000000001 ms,5
2025-05-21T21:49:03.262402Z,2025-05-21T21:49:03.262402Z,2025-05-21T21:49:03.267406Z,5.004 ms,5.004 ms,6.725500000000001 ms,4.924 ms,13.886000000000001 ms,6
2025-05-21T21:49:03.293169Z,2025-05-21T21:49:03.293169Z,2025-05-21T21:49:03.297823Z,4.654 ms,4.654 ms,6.429571428571429 ms,4.654 ms,13.886000000000001 ms,7
2025-05-21T21:49:03.323543Z,2025-05-21T21:49:03.323543Z,2025-05-21T21:49:03.328432Z,4.889 ms,4.889 ms,6.237 ms,4.654 ms,13.886000000000001 ms,8
2025-05-21T21:49:03.354162Z,2025-05-21T21:49:03.354162Z,2025-05-21T21:49:03.361194Z,7.032 ms,7.032 ms,6.325333333333334 ms,4.654 ms,13.886000000000001 ms,9
2025-05-21T21:49:03.387200Z,2025-05-21T21:49:03.387200Z,2025-05-21T21:49:03.392037Z,4.837 ms,4.837 ms,6.176500000000001 ms,4.654 ms,13.886000000000001 ms,10
