observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-26T10:13:48.384527Z,2025-04-26T10:13:48.384527Z,2025-04-26T10:13:48.393356Z,8.829 ms,8.829 ms,8.829 ms,8.829 ms,8.829 ms,1
2025-04-26T10:13:52.714321Z,2025-04-26T10:13:52.714321Z,2025-04-26T10:13:52.720469Z,6.148 ms,6.148 ms,7.4885 ms,6.148 ms,8.829 ms,2
2025-04-26T10:13:52.832708Z,2025-04-26T10:13:52.832708Z,2025-04-26T10:13:52.839290Z,6.582 ms,6.582 ms,7.186333333333334 ms,6.148 ms,8.829 ms,3
2025-04-26T10:13:52.932142Z,2025-04-26T10:13:52.932142Z,2025-04-26T10:13:52.941654Z,9.512 ms,9.512 ms,7.76775 ms,6.148 ms,9.512 ms,4
2025-04-26T10:13:53.050686Z,2025-04-26T10:13:53.050686Z,2025-04-26T10:13:53.056486Z,5.8 ms,5.8 ms,7.3742 ms,5.8 ms,9.512 ms,5
2025-04-26T10:13:53.154323Z,2025-04-26T10:13:53.154323Z,2025-04-26T10:13:53.166594Z,12.271 ms,12.271 ms,8.190333333333335 ms,5.8 ms,12.271 ms,6
2025-04-26T10:13:53.247733Z,2025-04-26T10:13:53.247733Z,2025-04-26T10:13:53.254694Z,6.961 ms,6.961 ms,8.014714285714286 ms,5.8 ms,12.271 ms,7
2025-04-26T10:13:53.327642Z,2025-04-26T10:13:53.327642Z,2025-04-26T10:13:53.334186Z,6.5440000000000005 ms,6.5440000000000005 ms,7.830875000000001 ms,5.8 ms,12.271 ms,8
2025-04-26T10:13:53.417988Z,2025-04-26T10:13:53.417988Z,2025-04-26T10:13:53.430279Z,12.291 ms,12.291 ms,8.326444444444446 ms,5.8 ms,12.291 ms,9
2025-04-26T10:13:53.511864Z,2025-04-26T10:13:53.511864Z,2025-04-26T10:13:53.517972Z,6.108 ms,6.108 ms,8.1046 ms,5.8 ms,12.291 ms,10
2025-04-26T10:13:53.586186Z,2025-04-26T10:13:53.586186Z,2025-04-26T10:13:53.594204Z,8.018 ms,8.018 ms,8.096727272727273 ms,5.8 ms,12.291 ms,11
2025-04-26T10:13:53.654190Z,2025-04-26T10:13:53.654190Z,2025-04-26T10:13:53.660412Z,6.222 ms,6.222 ms,7.940500000000001 ms,5.8 ms,12.291 ms,12
2025-04-26T10:13:53.715199Z,2025-04-26T10:13:53.715199Z,2025-04-26T10:13:53.721428Z,6.229 ms,6.229 ms,7.808846153846154 ms,5.8 ms,12.291 ms,13
