observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T21:49:03.089014Z,2025-05-21T21:49:03.089014Z,2025-05-21T21:49:03.089125Z,0.111 ms,0.111 ms,0.111 ms,0.111 ms,0.111 ms,1
2025-05-21T21:49:03.137794Z,2025-05-21T21:49:03.137794Z,2025-05-21T21:49:03.137889Z,0.095 ms,0.095 ms,0.10300000000000001 ms,0.095 ms,0.111 ms,2
2025-05-21T21:49:03.169278Z,2025-05-21T21:49:03.169278Z,2025-05-21T21:49:03.169355Z,0.077 ms,0.077 ms,0.09433333333333335 ms,0.077 ms,0.111 ms,3
2025-05-21T21:49:03.199965Z,2025-05-21T21:49:03.199965Z,2025-05-21T21:49:03.200047Z,0.082 ms,0.082 ms,0.09125000000000001 ms,0.077 ms,0.111 ms,4
2025-05-21T21:49:03.231316Z,2025-05-21T21:49:03.231316Z,2025-05-21T21:49:03.231394Z,0.078 ms,0.078 ms,0.08860000000000001 ms,0.077 ms,0.111 ms,5
2025-05-21T21:49:03.262402Z,2025-05-21T21:49:03.262402Z,2025-05-21T21:49:03.262480Z,0.078 ms,0.078 ms,0.08683333333333333 ms,0.077 ms,0.111 ms,6
2025-05-21T21:49:03.293169Z,2025-05-21T21:49:03.293169Z,2025-05-21T21:49:03.293249Z,0.08 ms,0.08 ms,0.08585714285714285 ms,0.077 ms,0.111 ms,7
2025-05-21T21:49:03.323543Z,2025-05-21T21:49:03.323543Z,2025-05-21T21:49:03.323619Z,0.076 ms,0.076 ms,0.08462499999999999 ms,0.076 ms,0.111 ms,8
2025-05-21T21:49:03.354162Z,2025-05-21T21:49:03.354162Z,2025-05-21T21:49:03.354239Z,0.077 ms,0.077 ms,0.08377777777777778 ms,0.076 ms,0.111 ms,9
2025-05-21T21:49:03.387200Z,2025-05-21T21:49:03.387200Z,2025-05-21T21:49:03.387275Z,0.075 ms,0.075 ms,0.0829 ms,0.075 ms,0.111 ms,10
2025-05-21T21:49:04.351669Z,2025-05-21T21:49:04.351669Z,2025-05-21T21:49:04.351766Z,0.097 ms,0.097 ms,0.08418181818181818 ms,0.075 ms,0.111 ms,11
2025-05-21T21:49:04.388070Z,2025-05-21T21:49:04.388070Z,2025-05-21T21:49:04.388151Z,0.081 ms,0.081 ms,0.08391666666666665 ms,0.075 ms,0.111 ms,12
2025-05-21T21:49:04.418547Z,2025-05-21T21:49:04.418547Z,2025-05-21T21:49:04.418621Z,0.074 ms,0.074 ms,0.08315384615384615 ms,0.074 ms,0.111 ms,13
2025-05-21T21:49:04.449325Z,2025-05-21T21:49:04.449325Z,2025-05-21T21:49:04.449412Z,0.087 ms,0.087 ms,0.08342857142857142 ms,0.074 ms,0.111 ms,14
2025-05-21T21:49:04.480127Z,2025-05-21T21:49:04.480127Z,2025-05-21T21:49:04.480205Z,0.078 ms,0.078 ms,0.08306666666666666 ms,0.074 ms,0.111 ms,15
2025-05-21T21:49:04.513860Z,2025-05-21T21:49:04.513860Z,2025-05-21T21:49:04.513935Z,0.075 ms,0.075 ms,0.0825625 ms,0.074 ms,0.111 ms,16
2025-05-21T21:49:04.544296Z,2025-05-21T21:49:04.544296Z,2025-05-21T21:49:04.544368Z,0.07200000000000001 ms,0.07200000000000001 ms,0.08194117647058823 ms,0.07200000000000001 ms,0.111 ms,17
2025-05-21T21:49:04.574719Z,2025-05-21T21:49:04.574719Z,2025-05-21T21:49:04.574793Z,0.074 ms,0.074 ms,0.0815 ms,0.07200000000000001 ms,0.111 ms,18
2025-05-21T21:49:04.604931Z,2025-05-21T21:49:04.604931Z,2025-05-21T21:49:04.605009Z,0.078 ms,0.078 ms,0.08131578947368422 ms,0.07200000000000001 ms,0.111 ms,19
2025-05-21T21:49:04.636498Z,2025-05-21T21:49:04.636498Z,2025-05-21T21:49:04.636597Z,0.09899999999999999 ms,0.09899999999999999 ms,0.0822 ms,0.07200000000000001 ms,0.111 ms,20
2025-05-21T21:49:06.406677Z,2025-05-21T21:49:06.406677Z,2025-05-21T21:49:06.406793Z,0.116 ms,0.116 ms,0.0838095238095238 ms,0.07200000000000001 ms,0.116 ms,21
2025-05-21T21:49:06.442734Z,2025-05-21T21:49:06.442734Z,2025-05-21T21:49:06.442812Z,0.078 ms,0.078 ms,0.08354545454545453 ms,0.07200000000000001 ms,0.116 ms,22
2025-05-21T21:49:06.473301Z,2025-05-21T21:49:06.473301Z,2025-05-21T21:49:06.473372Z,0.07100000000000001 ms,0.07100000000000001 ms,0.083 ms,0.07100000000000001 ms,0.116 ms,23
2025-05-21T21:49:06.503422Z,2025-05-21T21:49:06.503422Z,2025-05-21T21:49:06.503510Z,0.088 ms,0.088 ms,0.08320833333333334 ms,0.07100000000000001 ms,0.116 ms,24
2025-05-21T21:49:06.534176Z,2025-05-21T21:49:06.534176Z,2025-05-21T21:49:06.534254Z,0.078 ms,0.078 ms,0.083 ms,0.07100000000000001 ms,0.116 ms,25
2025-05-21T21:49:06.567679Z,2025-05-21T21:49:06.567679Z,2025-05-21T21:49:06.567755Z,0.076 ms,0.076 ms,0.08273076923076925 ms,0.07100000000000001 ms,0.116 ms,26
2025-05-21T21:49:06.597616Z,2025-05-21T21:49:06.597616Z,2025-05-21T21:49:06.597688Z,0.07200000000000001 ms,0.07200000000000001 ms,0.08233333333333333 ms,0.07100000000000001 ms,0.116 ms,27
