observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-03-31T18:22:07.862240Z,2025-03-31T18:22:07.861953Z,2025-03-31T18:22:07.863945Z,1.7049999999999998 ms,1.9919999999999998 ms,1.9919999999999998 ms,1.9919999999999998 ms,1.9919999999999998 ms,1
2025-03-31T18:22:07.995964Z,2025-03-31T18:22:07.995943Z,2025-03-31T18:22:08.000374Z,4.41 ms,4.431 ms,3.2115 ms,1.9919999999999998 ms,4.431 ms,2
2025-03-31T18:22:08.101636Z,2025-03-31T18:22:08.101618Z,2025-03-31T18:22:08.102725Z,1.089 ms,1.107 ms,2.5100000000000002 ms,1.107 ms,4.431 ms,3
2025-03-31T18:22:08.202701Z,2025-03-31T18:22:08.202679Z,2025-03-31T18:22:08.203814Z,1.113 ms,1.135 ms,2.1662500000000002 ms,1.107 ms,4.431 ms,4
2025-03-31T18:22:08.298190Z,2025-03-31T18:22:08.298170Z,2025-03-31T18:22:08.299320Z,1.13 ms,1.15 ms,1.9630000000000003 ms,1.107 ms,4.431 ms,5
2025-03-31T18:22:08.389452Z,2025-03-31T18:22:08.389342Z,2025-03-31T18:22:08.390724Z,1.272 ms,1.382 ms,1.8661666666666668 ms,1.107 ms,4.431 ms,6
2025-03-31T18:22:08.494807Z,2025-03-31T18:22:08.494786Z,2025-03-31T18:22:08.495956Z,1.149 ms,1.17 ms,1.7667142857142857 ms,1.107 ms,4.431 ms,7
2025-03-31T18:22:08.564163Z,2025-03-31T18:22:08.564001Z,2025-03-31T18:22:08.565398Z,1.2349999999999999 ms,1.397 ms,1.7205 ms,1.107 ms,4.431 ms,8
2025-03-31T18:22:08.631666Z,2025-03-31T18:22:08.631645Z,2025-03-31T18:22:08.632965Z,1.299 ms,1.32 ms,1.676 ms,1.107 ms,4.431 ms,9
2025-03-31T18:22:08.696237Z,2025-03-31T18:22:08.696077Z,2025-03-31T18:22:08.698229Z,1.9919999999999998 ms,2.1519999999999997 ms,1.7236 ms,1.107 ms,4.431 ms,10
