observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-20 18:54:21.431492Z,2025-04-20T18:54:21.473401Z,2025-04-20T18:54:21.473503Z,42.011 ms,0.102 ms,0.102 ms,0.102 ms,0.102 ms,1
2025-04-20 18:54:32.460568Z,2025-04-20T18:54:32.499709Z,2025-04-20T18:54:32.499783Z,39.215 ms,0.074 ms,0.088 ms,0.074 ms,0.102 ms,2
2025-04-20 18:54:32.497630Z,2025-04-20T18:54:32.538616Z,2025-04-20T18:54:32.538724Z,41.094 ms,0.108 ms,0.09466666666666666 ms,0.074 ms,0.108 ms,3
2025-04-20 18:54:32.536409Z,2025-04-20T18:54:32.581078Z,2025-04-20T18:54:32.581158Z,44.748999999999995 ms,0.08 ms,0.09099999999999998 ms,0.074 ms,0.108 ms,4
2025-04-20 18:54:32.578945Z,2025-04-20T18:54:32.650427Z,2025-04-20T18:54:32.650501Z,71.556 ms,0.074 ms,0.08759999999999998 ms,0.074 ms,0.108 ms,5
2025-04-20 18:54:32.648219Z,2025-04-20T18:54:32.690969Z,2025-04-20T18:54:32.691429Z,43.21 ms,0.46 ms,0.14966666666666664 ms,0.074 ms,0.46 ms,6
2025-04-20 18:54:32.688656Z,2025-04-20T18:54:32.732821Z,2025-04-20T18:54:32.732935Z,44.278999999999996 ms,0.114 ms,0.14457142857142855 ms,0.074 ms,0.46 ms,7
2025-04-20 18:54:32.730426Z,2025-04-20T18:54:32.775827Z,2025-04-20T18:54:32.775929Z,45.503 ms,0.102 ms,0.13924999999999998 ms,0.074 ms,0.46 ms,8
2025-04-20 18:54:32.773499Z,2025-04-20T18:54:32.820324Z,2025-04-20T18:54:32.820490Z,46.991 ms,0.166 ms,0.14222222222222222 ms,0.074 ms,0.46 ms,9
2025-04-20 18:54:32.817451Z,2025-04-20T18:54:32.864901Z,2025-04-20T18:54:32.864977Z,47.525999999999996 ms,0.076 ms,0.1356 ms,0.074 ms,0.46 ms,10
2025-04-20 18:54:32.861792Z,2025-04-20T18:54:32.907831Z,2025-04-20T18:54:32.908257Z,46.464999999999996 ms,0.426 ms,0.162 ms,0.074 ms,0.46 ms,11
2025-04-20 18:54:32.905867Z,2025-04-20T18:54:32.950928Z,2025-04-20T18:54:32.951022Z,45.155 ms,0.094 ms,0.15633333333333332 ms,0.074 ms,0.46 ms,12
2025-04-20 18:54:32.948563Z,2025-04-20T18:54:32.994369Z,2025-04-20T18:54:32.994515Z,45.952 ms,0.146 ms,0.15553846153846154 ms,0.074 ms,0.46 ms,13
2025-04-20 18:54:32.992314Z,2025-04-20T18:54:33.036148Z,2025-04-20T18:54:33.036273Z,43.958999999999996 ms,0.125 ms,0.15335714285714286 ms,0.074 ms,0.46 ms,14
2025-04-20 18:54:33.034047Z,2025-04-20T18:54:33.089977Z,2025-04-20T18:54:33.090078Z,56.031 ms,0.101 ms,0.14986666666666665 ms,0.074 ms,0.46 ms,15
2025-04-20 18:54:33.087863Z,2025-04-20T18:54:33.131934Z,2025-04-20T18:54:33.132027Z,44.164 ms,0.093 ms,0.1463125 ms,0.074 ms,0.46 ms,16
