observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-20 22:16:11.281513Z,2025-04-20T22:16:11.682498Z,2025-04-20T22:16:11.682576Z,401.063 ms,0.078 ms,0.078 ms,0.078 ms,0.078 ms,1
2025-04-20 22:16:25.901674Z,2025-04-20T22:16:26.024424Z,2025-04-20T22:16:26.024498Z,122.824 ms,0.074 ms,0.076 ms,0.074 ms,0.078 ms,2
2025-04-20 22:16:40.924247Z,2025-04-20T22:16:41.015970Z,2025-04-20T22:16:41.016061Z,91.81400000000001 ms,0.091 ms,0.081 ms,0.074 ms,0.091 ms,3
2025-04-20 22:16:50.934813Z,2025-04-20T22:16:51.018955Z,2025-04-20T22:16:51.019036Z,84.22300000000001 ms,0.081 ms,0.081 ms,0.074 ms,0.091 ms,4
2025-04-20 22:16:51.016603Z,2025-04-20T22:16:51.109426Z,2025-04-20T22:16:51.109520Z,92.917 ms,0.094 ms,0.0836 ms,0.074 ms,0.094 ms,5
2025-04-20 22:16:51.107422Z,2025-04-20T22:16:51.191133Z,2025-04-20T22:16:51.191224Z,83.802 ms,0.091 ms,0.08483333333333334 ms,0.074 ms,0.094 ms,6
2025-04-20 22:16:51.188545Z,2025-04-20T22:16:51.272334Z,2025-04-20T22:16:51.272420Z,83.875 ms,0.08600000000000001 ms,0.085 ms,0.074 ms,0.094 ms,7
2025-04-20 22:16:51.270086Z,2025-04-20T22:16:51.355353Z,2025-04-20T22:16:51.355434Z,85.348 ms,0.081 ms,0.0845 ms,0.074 ms,0.094 ms,8
2025-04-20 22:16:51.353082Z,2025-04-20T22:16:51.430352Z,2025-04-20T22:16:51.430455Z,77.37299999999999 ms,0.103 ms,0.08655555555555557 ms,0.074 ms,0.103 ms,9
2025-04-20 22:16:51.428041Z,2025-04-20T22:16:51.520759Z,2025-04-20T22:16:51.520991Z,92.95 ms,0.232 ms,0.10110000000000002 ms,0.074 ms,0.232 ms,10
2025-04-20 22:16:51.518432Z,2025-04-20T22:16:51.588352Z,2025-04-20T22:16:51.588645Z,70.213 ms,0.29300000000000004 ms,0.11854545454545456 ms,0.074 ms,0.29300000000000004 ms,11
2025-04-20 22:16:51.585989Z,2025-04-20T22:16:51.652211Z,2025-04-20T22:16:51.652298Z,66.30900000000001 ms,0.087 ms,0.11591666666666668 ms,0.074 ms,0.29300000000000004 ms,12
2025-04-20 22:16:51.649860Z,2025-04-20T22:16:51.712321Z,2025-04-20T22:16:51.712398Z,62.538 ms,0.077 ms,0.11292307692307695 ms,0.074 ms,0.29300000000000004 ms,13
2025-04-20 22:16:51.710255Z,2025-04-20T22:16:51.768819Z,2025-04-20T22:16:51.768898Z,58.643 ms,0.079 ms,0.11050000000000003 ms,0.074 ms,0.29300000000000004 ms,14
2025-04-20 22:16:51.766902Z,2025-04-20T22:16:51.827502Z,2025-04-20T22:16:51.827616Z,60.714 ms,0.114 ms,0.11073333333333336 ms,0.074 ms,0.29300000000000004 ms,15
2025-04-20 22:16:51.824986Z,2025-04-20T22:16:51.884403Z,2025-04-20T22:16:51.884523Z,59.537 ms,0.12000000000000001 ms,0.11131250000000002 ms,0.074 ms,0.29300000000000004 ms,16
2025-04-20 22:16:51.882200Z,2025-04-20T22:16:51.941253Z,2025-04-20T22:16:51.941335Z,59.135 ms,0.082 ms,0.10958823529411768 ms,0.074 ms,0.29300000000000004 ms,17
2025-04-20 22:16:55.940736Z,2025-04-20T22:16:55.993463Z,2025-04-20T22:16:55.993560Z,52.824000000000005 ms,0.097 ms,0.10888888888888891 ms,0.074 ms,0.29300000000000004 ms,18
2025-04-20 22:16:55.991470Z,2025-04-20T22:16:56.047344Z,2025-04-20T22:16:56.047436Z,55.966 ms,0.092 ms,0.10800000000000003 ms,0.074 ms,0.29300000000000004 ms,19
2025-04-20 22:16:56.045174Z,2025-04-20T22:16:56.128365Z,2025-04-20T22:16:56.128463Z,83.289 ms,0.098 ms,0.10750000000000003 ms,0.074 ms,0.29300000000000004 ms,20
2025-04-20 22:16:56.126202Z,2025-04-20T22:16:56.180440Z,2025-04-20T22:16:56.180518Z,54.316 ms,0.078 ms,0.10609523809523812 ms,0.074 ms,0.29300000000000004 ms,21
2025-04-20 22:16:56.178031Z,2025-04-20T22:16:56.234092Z,2025-04-20T22:16:56.234170Z,56.139 ms,0.078 ms,0.10481818181818184 ms,0.074 ms,0.29300000000000004 ms,22
2025-04-20 22:16:56.231987Z,2025-04-20T22:16:56.286887Z,2025-04-20T22:16:56.286981Z,54.994 ms,0.094 ms,0.10434782608695653 ms,0.074 ms,0.29300000000000004 ms,23
2025-04-20 22:16:56.284841Z,2025-04-20T22:16:56.341171Z,2025-04-20T22:16:56.341256Z,56.415 ms,0.085 ms,0.10354166666666667 ms,0.074 ms,0.29300000000000004 ms,24
2025-04-20 22:16:56.338627Z,2025-04-20T22:16:56.393483Z,2025-04-20T22:16:56.393581Z,54.954 ms,0.098 ms,0.10332000000000001 ms,0.074 ms,0.29300000000000004 ms,25
2025-04-20 22:16:56.391349Z,2025-04-20T22:16:56.447404Z,2025-04-20T22:16:56.447533Z,56.184 ms,0.129 ms,0.10430769230769231 ms,0.074 ms,0.29300000000000004 ms,26
2025-04-20 22:16:56.445460Z,2025-04-20T22:16:56.497660Z,2025-04-20T22:16:56.497789Z,52.329 ms,0.129 ms,0.1052222222222222 ms,0.074 ms,0.29300000000000004 ms,27
2025-04-20 22:16:56.495426Z,2025-04-20T22:16:56.546682Z,2025-04-20T22:16:56.546796Z,51.37 ms,0.114 ms,0.10553571428571427 ms,0.074 ms,0.29300000000000004 ms,28
2025-04-20 22:16:56.544348Z,2025-04-20T22:16:56.598151Z,2025-04-20T22:16:56.598227Z,53.879000000000005 ms,0.076 ms,0.10451724137931034 ms,0.074 ms,0.29300000000000004 ms,29
2025-04-20 22:16:56.596025Z,2025-04-20T22:16:56.657912Z,2025-04-20T22:16:56.658020Z,61.995000000000005 ms,0.108 ms,0.10463333333333333 ms,0.074 ms,0.29300000000000004 ms,30
2025-04-20 22:16:56.655792Z,2025-04-20T22:16:56.709834Z,2025-04-20T22:16:56.709953Z,54.161 ms,0.11900000000000001 ms,0.10509677419354839 ms,0.074 ms,0.29300000000000004 ms,31
2025-04-20 22:16:56.707886Z,2025-04-20T22:16:56.762653Z,2025-04-20T22:16:56.762732Z,54.846 ms,0.079 ms,0.10428125 ms,0.074 ms,0.29300000000000004 ms,32
2025-04-20 22:16:56.760604Z,2025-04-20T22:16:56.813265Z,2025-04-20T22:16:56.813341Z,52.737 ms,0.076 ms,0.10342424242424243 ms,0.074 ms,0.29300000000000004 ms,33
2025-04-20 22:16:56.810732Z,2025-04-20T22:16:56.866135Z,2025-04-20T22:16:56.866280Z,55.548 ms,0.145 ms,0.10464705882352943 ms,0.074 ms,0.29300000000000004 ms,34
2025-04-20 22:16:56.862087Z,2025-04-20T22:16:56.915875Z,2025-04-20T22:16:56.915954Z,53.867 ms,0.079 ms,0.10391428571428572 ms,0.074 ms,0.29300000000000004 ms,35
2025-04-20 22:16:56.913741Z,2025-04-20T22:16:56.964675Z,2025-04-20T22:16:56.964774Z,51.033 ms,0.09899999999999999 ms,0.10377777777777779 ms,0.074 ms,0.29300000000000004 ms,36
2025-04-20 22:16:56.962662Z,2025-04-20T22:16:57.016366Z,2025-04-20T22:16:57.016480Z,53.818 ms,0.114 ms,0.10405405405405407 ms,0.074 ms,0.29300000000000004 ms,37
2025-04-20 22:16:57.014438Z,2025-04-20T22:16:57.066527Z,2025-04-20T22:16:57.066651Z,52.213 ms,0.124 ms,0.10457894736842109 ms,0.074 ms,0.29300000000000004 ms,38
2025-04-20 22:16:57.064365Z,2025-04-20T22:16:57.114492Z,2025-04-20T22:16:57.114602Z,50.236999999999995 ms,0.11 ms,0.10471794871794875 ms,0.074 ms,0.29300000000000004 ms,39
2025-04-20 22:16:57.112442Z,2025-04-20T22:16:57.180948Z,2025-04-20T22:16:57.181029Z,68.58699999999999 ms,0.081 ms,0.10412500000000002 ms,0.074 ms,0.29300000000000004 ms,40
2025-04-20 22:16:57.178675Z,2025-04-20T22:16:57.228888Z,2025-04-20T22:16:57.228982Z,50.306999999999995 ms,0.094 ms,0.10387804878048784 ms,0.074 ms,0.29300000000000004 ms,41
2025-04-20 22:16:57.226702Z,2025-04-20T22:16:57.278376Z,2025-04-20T22:16:57.278472Z,51.769999999999996 ms,0.096 ms,0.10369047619047622 ms,0.074 ms,0.29300000000000004 ms,42
2025-04-20 22:16:57.276087Z,2025-04-20T22:16:57.329296Z,2025-04-20T22:16:57.329421Z,53.333999999999996 ms,0.125 ms,0.10418604651162792 ms,0.074 ms,0.29300000000000004 ms,43
2025-04-20 22:16:57.327301Z,2025-04-20T22:16:57.377375Z,2025-04-20T22:16:57.377451Z,50.15 ms,0.076 ms,0.10354545454545457 ms,0.074 ms,0.29300000000000004 ms,44
2025-04-20 22:16:57.375293Z,2025-04-20T22:16:57.420832Z,2025-04-20T22:16:57.420941Z,45.648 ms,0.10900000000000001 ms,0.10366666666666668 ms,0.074 ms,0.29300000000000004 ms,45
2025-04-20 22:16:57.418791Z,2025-04-20T22:16:57.466739Z,2025-04-20T22:16:57.466851Z,48.059999999999995 ms,0.112 ms,0.10384782608695654 ms,0.074 ms,0.29300000000000004 ms,46
2025-04-20 22:16:57.464589Z,2025-04-20T22:16:57.513900Z,2025-04-20T22:16:57.514012Z,49.423 ms,0.112 ms,0.10402127659574471 ms,0.074 ms,0.29300000000000004 ms,47
2025-04-20 22:16:57.511693Z,2025-04-20T22:16:57.560247Z,2025-04-20T22:16:57.560328Z,48.635 ms,0.081 ms,0.1035416666666667 ms,0.074 ms,0.29300000000000004 ms,48
2025-04-20 22:16:57.558159Z,2025-04-20T22:16:57.606969Z,2025-04-20T22:16:57.607049Z,48.89 ms,0.08 ms,0.10306122448979596 ms,0.074 ms,0.29300000000000004 ms,49
2025-04-20 22:16:57.604850Z,2025-04-20T22:16:57.672625Z,2025-04-20T22:16:57.672740Z,67.89 ms,0.115 ms,0.10330000000000002 ms,0.074 ms,0.29300000000000004 ms,50
2025-04-20 22:16:57.670681Z,2025-04-20T22:16:57.719162Z,2025-04-20T22:16:57.719260Z,48.579 ms,0.098 ms,0.10319607843137257 ms,0.074 ms,0.29300000000000004 ms,51
2025-04-20 22:16:57.717215Z,2025-04-20T22:16:57.766432Z,2025-04-20T22:16:57.766518Z,49.303 ms,0.08600000000000001 ms,0.10286538461538464 ms,0.074 ms,0.29300000000000004 ms,52
2025-04-20 22:16:57.764468Z,2025-04-20T22:16:57.814450Z,2025-04-20T22:16:57.814679Z,50.211 ms,0.229 ms,0.10524528301886794 ms,0.074 ms,0.29300000000000004 ms,53
