observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
1970-01-21 04:48:41.998893Z,2025-04-22T11:39:59.022716Z,2025-04-22T11:39:59.022795Z,1743576677023.9019 ms,0.079 ms,0.079 ms,0.079 ms,0.079 ms,1
1970-01-21 04:48:41.999519Z,2025-04-22T11:39:59.523437Z,2025-04-22T11:39:59.523527Z,1743576677524.008 ms,0.09000000000000001 ms,0.08449999999999999 ms,0.079 ms,0.09000000000000001 ms,2
1970-01-21 04:48:42.000023Z,2025-04-22T11:40:00.026780Z,2025-04-22T11:40:00.026851Z,1743576678026.8281 ms,0.07100000000000001 ms,0.07999999999999999 ms,0.07100000000000001 ms,0.09000000000000001 ms,3
1970-01-21 04:48:42.000526Z,2025-04-22T11:40:00.530009Z,2025-04-22T11:40:00.530081Z,1743576678529.5552 ms,0.07200000000000001 ms,0.078 ms,0.07100000000000001 ms,0.09000000000000001 ms,4
1970-01-21 04:48:42.001029Z,2025-04-22T11:40:01.034107Z,2025-04-22T11:40:01.034208Z,1743576679033.179 ms,0.101 ms,0.0826 ms,0.07100000000000001 ms,0.101 ms,5
1970-01-21 04:48:42.001533Z,2025-04-22T11:40:01.536280Z,2025-04-22T11:40:01.536349Z,1743576679534.816 ms,0.06899999999999999 ms,0.08033333333333334 ms,0.06899999999999999 ms,0.101 ms,6
1970-01-21 04:48:42.002035Z,2025-04-22T11:40:02.039278Z,2025-04-22T11:40:02.039367Z,1743576680037.332 ms,0.089 ms,0.08157142857142857 ms,0.06899999999999999 ms,0.101 ms,7
1970-01-21 04:48:42.002538Z,2025-04-22T11:40:02.541692Z,2025-04-22T11:40:02.541764Z,1743576680539.226 ms,0.07200000000000001 ms,0.080375 ms,0.06899999999999999 ms,0.101 ms,8
1970-01-21 04:48:42.003041Z,2025-04-22T11:40:03.044554Z,2025-04-22T11:40:03.044654Z,1743576681041.613 ms,0.1 ms,0.08255555555555556 ms,0.06899999999999999 ms,0.101 ms,9
1970-01-21 04:48:42.003544Z,2025-04-22T11:40:03.547479Z,2025-04-22T11:40:03.547567Z,1743576681544.023 ms,0.088 ms,0.08310000000000001 ms,0.06899999999999999 ms,0.101 ms,10
1970-01-21 04:48:42.004047Z,2025-04-22T11:40:04.050546Z,2025-04-22T11:40:04.050634Z,1743576682046.587 ms,0.088 ms,0.08354545454545453 ms,0.06899999999999999 ms,0.101 ms,11
1970-01-21 04:48:42.004550Z,2025-04-22T11:40:04.553386Z,2025-04-22T11:40:04.553474Z,1743576682548.924 ms,0.088 ms,0.08391666666666667 ms,0.06899999999999999 ms,0.101 ms,12
