observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-20 20:08:09.011255Z,2025-04-20T20:08:09.441079Z,2025-04-20T20:08:09.441215Z,429.96000000000004 ms,0.136 ms,0.136 ms,0.136 ms,0.136 ms,1
2025-04-20 20:08:09.438428Z,2025-04-20T20:08:09.558793Z,2025-04-20T20:08:09.558911Z,120.483 ms,0.118 ms,0.127 ms,0.118 ms,0.136 ms,2
2025-04-20 20:08:09.556387Z,2025-04-20T20:08:09.658813Z,2025-04-20T20:08:09.658913Z,102.52600000000001 ms,0.1 ms,0.118 ms,0.1 ms,0.136 ms,3
2025-04-20 20:08:09.656363Z,2025-04-20T20:08:09.752651Z,2025-04-20T20:08:09.752755Z,96.39200000000001 ms,0.104 ms,0.11449999999999999 ms,0.1 ms,0.136 ms,4
2025-04-20 20:08:09.747748Z,2025-04-20T20:08:09.845572Z,2025-04-20T20:08:09.845661Z,97.913 ms,0.089 ms,0.10939999999999998 ms,0.089 ms,0.136 ms,5
2025-04-20 20:08:09.843199Z,2025-04-20T20:08:09.920625Z,2025-04-20T20:08:09.920704Z,77.50500000000001 ms,0.079 ms,0.10433333333333332 ms,0.079 ms,0.136 ms,6
2025-04-20 20:08:09.918055Z,2025-04-20T20:08:09.988514Z,2025-04-20T20:08:09.988763Z,70.708 ms,0.24899999999999997 ms,0.12499999999999997 ms,0.079 ms,0.24899999999999997 ms,7
2025-04-20 20:08:09.986212Z,2025-04-20T20:08:10.062420Z,2025-04-20T20:08:10.062552Z,76.34 ms,0.132 ms,0.125875 ms,0.079 ms,0.24899999999999997 ms,8
2025-04-20 20:08:10.060091Z,2025-04-20T20:08:10.135714Z,2025-04-20T20:08:10.135957Z,75.866 ms,0.243 ms,0.13888888888888887 ms,0.079 ms,0.24899999999999997 ms,9
2025-04-20 20:08:10.131246Z,2025-04-20T20:08:10.206894Z,2025-04-20T20:08:10.206996Z,75.75 ms,0.102 ms,0.1352 ms,0.079 ms,0.24899999999999997 ms,10
2025-04-20 20:08:10.202926Z,2025-04-20T20:08:10.276823Z,2025-04-20T20:08:10.276941Z,74.015 ms,0.118 ms,0.13363636363636364 ms,0.079 ms,0.24899999999999997 ms,11
2025-04-20 20:08:10.274522Z,2025-04-20T20:08:10.349546Z,2025-04-20T20:08:10.349646Z,75.124 ms,0.1 ms,0.13083333333333333 ms,0.079 ms,0.24899999999999997 ms,12
2025-04-20 20:08:10.347663Z,2025-04-20T20:08:10.419510Z,2025-04-20T20:08:10.419588Z,71.925 ms,0.078 ms,0.12676923076923075 ms,0.078 ms,0.24899999999999997 ms,13
2025-04-20 20:08:10.417631Z,2025-04-20T20:08:10.486305Z,2025-04-20T20:08:10.486423Z,68.792 ms,0.118 ms,0.12614285714285714 ms,0.078 ms,0.24899999999999997 ms,14
2025-04-20 20:08:10.483789Z,2025-04-20T20:08:10.559376Z,2025-04-20T20:08:10.559476Z,75.687 ms,0.1 ms,0.12440000000000001 ms,0.078 ms,0.24899999999999997 ms,15
2025-04-20 20:08:10.557124Z,2025-04-20T20:08:10.616822Z,2025-04-20T20:08:10.617066Z,59.942 ms,0.244 ms,0.131875 ms,0.078 ms,0.24899999999999997 ms,16
2025-04-20 20:08:10.614621Z,2025-04-20T20:08:10.678433Z,2025-04-20T20:08:10.678521Z,63.9 ms,0.088 ms,0.12929411764705884 ms,0.078 ms,0.24899999999999997 ms,17
2025-04-20 20:08:10.676724Z,2025-04-20T20:08:10.746448Z,2025-04-20T20:08:10.746544Z,69.82 ms,0.096 ms,0.12744444444444447 ms,0.078 ms,0.24899999999999997 ms,18
2025-04-20 20:08:10.744385Z,2025-04-20T20:08:10.803712Z,2025-04-20T20:08:10.804031Z,59.646 ms,0.319 ms,0.1375263157894737 ms,0.078 ms,0.319 ms,19
2025-04-20 20:08:10.801524Z,2025-04-20T20:08:10.861829Z,2025-04-20T20:08:10.861911Z,60.387 ms,0.082 ms,0.13475 ms,0.078 ms,0.319 ms,20
2025-04-20 20:08:10.859672Z,2025-04-20T20:08:10.915491Z,2025-04-20T20:08:10.915585Z,55.913 ms,0.094 ms,0.13280952380952382 ms,0.078 ms,0.319 ms,21
2025-04-20 20:08:10.913242Z,2025-04-20T20:08:10.970793Z,2025-04-20T20:08:10.970874Z,57.632000000000005 ms,0.081 ms,0.13045454545454543 ms,0.078 ms,0.319 ms,22
2025-04-20 20:08:10.968600Z,2025-04-20T20:08:11.024646Z,2025-04-20T20:08:11.024725Z,56.125 ms,0.079 ms,0.1282173913043478 ms,0.078 ms,0.319 ms,23
2025-04-20 20:08:11.022521Z,2025-04-20T20:08:11.082938Z,2025-04-20T20:08:11.083035Z,60.513999999999996 ms,0.097 ms,0.12691666666666665 ms,0.078 ms,0.319 ms,24
2025-04-20 20:08:11.080588Z,2025-04-20T20:08:11.145737Z,2025-04-20T20:08:11.145854Z,65.266 ms,0.11699999999999999 ms,0.12651999999999997 ms,0.078 ms,0.319 ms,25
2025-04-20 20:08:11.143530Z,2025-04-20T20:08:11.198536Z,2025-04-20T20:08:11.198647Z,55.117 ms,0.111 ms,0.12592307692307692 ms,0.078 ms,0.319 ms,26
2025-04-20 20:08:11.196476Z,2025-04-20T20:08:11.248479Z,2025-04-20T20:08:11.248562Z,52.086 ms,0.083 ms,0.12433333333333331 ms,0.078 ms,0.319 ms,27
