observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-25T23:20:41.222156Z,2025-04-25T23:20:41.222156Z,2025-04-25T23:20:41.222284Z,0.128 ms,0.128 ms,0.128 ms,0.128 ms,0.128 ms,1
2025-04-25T23:20:55.522580Z,2025-04-25T23:20:55.522580Z,2025-04-25T23:20:55.522668Z,0.088 ms,0.088 ms,0.108 ms,0.088 ms,0.128 ms,2
2025-04-25T23:20:55.645790Z,2025-04-25T23:20:55.645790Z,2025-04-25T23:20:55.645887Z,0.097 ms,0.097 ms,0.10433333333333333 ms,0.088 ms,0.128 ms,3
2025-04-25T23:20:55.774754Z,2025-04-25T23:20:55.774754Z,2025-04-25T23:20:55.774857Z,0.103 ms,0.103 ms,0.10400000000000001 ms,0.088 ms,0.128 ms,4
2025-04-25T23:20:55.877140Z,2025-04-25T23:20:55.877140Z,2025-04-25T23:20:55.877245Z,0.10500000000000001 ms,0.10500000000000001 ms,0.1042 ms,0.088 ms,0.128 ms,5
2025-04-25T23:20:55.980198Z,2025-04-25T23:20:55.980198Z,2025-04-25T23:20:55.980296Z,0.098 ms,0.098 ms,0.10316666666666666 ms,0.088 ms,0.128 ms,6
2025-04-25T23:20:56.090749Z,2025-04-25T23:20:56.090749Z,2025-04-25T23:20:56.091193Z,0.444 ms,0.444 ms,0.15185714285714283 ms,0.088 ms,0.444 ms,7
2025-04-25T23:20:56.197273Z,2025-04-25T23:20:56.197273Z,2025-04-25T23:20:56.197387Z,0.114 ms,0.114 ms,0.14712499999999998 ms,0.088 ms,0.444 ms,8
2025-04-25T23:20:56.269072Z,2025-04-25T23:20:56.269072Z,2025-04-25T23:20:56.269159Z,0.087 ms,0.087 ms,0.14044444444444446 ms,0.087 ms,0.444 ms,9
2025-04-25T23:20:56.334826Z,2025-04-25T23:20:56.334826Z,2025-04-25T23:20:56.334937Z,0.111 ms,0.111 ms,0.13749999999999998 ms,0.087 ms,0.444 ms,10
2025-04-25T23:20:56.401378Z,2025-04-25T23:20:56.401378Z,2025-04-25T23:20:56.401487Z,0.10900000000000001 ms,0.10900000000000001 ms,0.1349090909090909 ms,0.087 ms,0.444 ms,11
2025-04-25T23:20:56.468656Z,2025-04-25T23:20:56.468656Z,2025-04-25T23:20:56.468770Z,0.114 ms,0.114 ms,0.13316666666666666 ms,0.087 ms,0.444 ms,12
2025-04-25T23:20:56.531421Z,2025-04-25T23:20:56.531421Z,2025-04-25T23:20:56.531737Z,0.316 ms,0.316 ms,0.14723076923076925 ms,0.087 ms,0.444 ms,13
2025-04-25T23:20:56.600710Z,2025-04-25T23:20:56.600710Z,2025-04-25T23:20:56.600854Z,0.14400000000000002 ms,0.14400000000000002 ms,0.147 ms,0.087 ms,0.444 ms,14
2025-04-25T23:21:00.458281Z,2025-04-25T23:21:00.458281Z,2025-04-25T23:21:00.458376Z,0.095 ms,0.095 ms,0.14353333333333335 ms,0.087 ms,0.444 ms,15
2025-04-25T23:21:00.541849Z,2025-04-25T23:21:00.541849Z,2025-04-25T23:21:00.541962Z,0.11299999999999999 ms,0.11299999999999999 ms,0.14162499999999997 ms,0.087 ms,0.444 ms,16
2025-04-25T23:21:00.628355Z,2025-04-25T23:21:00.628355Z,2025-04-25T23:21:00.628445Z,0.09000000000000001 ms,0.09000000000000001 ms,0.13858823529411762 ms,0.087 ms,0.444 ms,17
2025-04-25T23:21:00.685856Z,2025-04-25T23:21:00.685856Z,2025-04-25T23:21:00.685981Z,0.125 ms,0.125 ms,0.1378333333333333 ms,0.087 ms,0.444 ms,18
2025-04-25T23:21:00.749972Z,2025-04-25T23:21:00.749972Z,2025-04-25T23:21:00.750096Z,0.124 ms,0.124 ms,0.13710526315789473 ms,0.087 ms,0.444 ms,19
2025-04-25T23:21:00.807850Z,2025-04-25T23:21:00.807850Z,2025-04-25T23:21:00.807963Z,0.11299999999999999 ms,0.11299999999999999 ms,0.13589999999999997 ms,0.087 ms,0.444 ms,20
2025-04-25T23:21:00.863862Z,2025-04-25T23:21:00.863862Z,2025-04-25T23:21:00.863994Z,0.132 ms,0.132 ms,0.1357142857142857 ms,0.087 ms,0.444 ms,21
2025-04-25T23:21:00.917249Z,2025-04-25T23:21:00.917249Z,2025-04-25T23:21:00.917364Z,0.115 ms,0.115 ms,0.13477272727272727 ms,0.087 ms,0.444 ms,22
2025-04-25T23:21:00.971375Z,2025-04-25T23:21:00.971375Z,2025-04-25T23:21:00.971520Z,0.145 ms,0.145 ms,0.13521739130434782 ms,0.087 ms,0.444 ms,23
2025-04-25T23:21:01.036536Z,2025-04-25T23:21:01.036536Z,2025-04-25T23:21:01.036659Z,0.12300000000000001 ms,0.12300000000000001 ms,0.13470833333333332 ms,0.087 ms,0.444 ms,24
2025-04-25T23:21:01.082839Z,2025-04-25T23:21:01.082839Z,2025-04-25T23:21:01.082974Z,0.135 ms,0.135 ms,0.13471999999999998 ms,0.087 ms,0.444 ms,25
2025-04-25T23:21:01.136688Z,2025-04-25T23:21:01.136688Z,2025-04-25T23:21:01.136811Z,0.12300000000000001 ms,0.12300000000000001 ms,0.13426923076923075 ms,0.087 ms,0.444 ms,26
2025-04-25T23:21:01.201824Z,2025-04-25T23:21:01.201824Z,2025-04-25T23:21:01.201945Z,0.121 ms,0.121 ms,0.13377777777777777 ms,0.087 ms,0.444 ms,27
2025-04-25T23:21:01.254734Z,2025-04-25T23:21:01.254734Z,2025-04-25T23:21:01.254855Z,0.121 ms,0.121 ms,0.13332142857142856 ms,0.087 ms,0.444 ms,28
2025-04-25T23:21:01.305712Z,2025-04-25T23:21:01.305712Z,2025-04-25T23:21:01.305810Z,0.098 ms,0.098 ms,0.13210344827586207 ms,0.087 ms,0.444 ms,29
2025-04-25T23:21:01.359718Z,2025-04-25T23:21:01.359718Z,2025-04-25T23:21:01.359828Z,0.11 ms,0.11 ms,0.13136666666666666 ms,0.087 ms,0.444 ms,30
2025-04-25T23:21:01.417418Z,2025-04-25T23:21:01.417418Z,2025-04-25T23:21:01.417515Z,0.097 ms,0.097 ms,0.13025806451612904 ms,0.087 ms,0.444 ms,31
2025-04-25T23:21:01.475786Z,2025-04-25T23:21:01.475786Z,2025-04-25T23:21:01.475880Z,0.094 ms,0.094 ms,0.12912500000000002 ms,0.087 ms,0.444 ms,32
2025-04-25T23:21:01.548832Z,2025-04-25T23:21:01.548832Z,2025-04-25T23:21:01.548929Z,0.097 ms,0.097 ms,0.12815151515151516 ms,0.087 ms,0.444 ms,33
