observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T18:24:00.566733Z,2025-04-20T18:24:01.259441Z,692.708 ms,692.708 ms,692.708 ms,692.708 ms,1
2025-04-20T18:24:00.987925Z,2025-04-20T18:24:01.413967Z,426.042 ms,559.375 ms,426.042 ms,692.708 ms,2
2025-04-20T18:24:01.154371Z,2025-04-20T18:24:01.557574Z,403.203 ms,507.31766666666664 ms,403.203 ms,692.708 ms,3
2025-04-20T18:24:01.283351Z,2025-04-20T18:24:01.741981Z,458.63 ms,495.14574999999996 ms,403.203 ms,692.708 ms,4
2025-04-20T18:24:01.460465Z,2025-04-20T18:24:01.896387Z,435.92199999999997 ms,483.301 ms,403.203 ms,692.708 ms,5
2025-04-20T18:24:01.637085Z,2025-04-20T18:24:02.076619Z,439.534 ms,476.0065 ms,403.203 ms,692.708 ms,6
2025-04-20T18:24:01.730206Z,2025-04-20T18:24:02.202515Z,472.30899999999997 ms,475.47828571428573 ms,403.203 ms,692.708 ms,7
2025-04-20T18:24:01.860040Z,2025-04-20T18:24:02.365909Z,505.869 ms,479.277125 ms,403.203 ms,692.708 ms,8
2025-04-20T18:24:01.949039Z,2025-04-20T18:24:02.446521Z,497.48199999999997 ms,481.2998888888889 ms,403.203 ms,692.708 ms,9
2025-04-20T18:24:02.086938Z,2025-04-20T18:24:02.552471Z,465.53299999999996 ms,479.7232 ms,403.203 ms,692.708 ms,10
2025-04-20T18:24:02.233271Z,2025-04-20T18:24:02.663159Z,429.888 ms,475.19272727272727 ms,403.203 ms,692.708 ms,11
2025-04-20T18:24:02.355764Z,2025-04-20T18:24:02.751052Z,395.28799999999995 ms,468.534 ms,395.28799999999995 ms,692.708 ms,12
2025-04-20T18:24:02.479209Z,2025-04-20T18:24:02.802716Z,323.507 ms,457.37807692307695 ms,323.507 ms,692.708 ms,13
2025-04-20T18:24:02.573332Z,2025-04-20T18:24:02.891305Z,317.973 ms,447.42057142857146 ms,317.973 ms,692.708 ms,14
