observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T19:29:53.208854Z,2025-04-20T19:29:53.939936Z,731.082 ms,731.082 ms,731.082 ms,731.082 ms,1
2025-04-20T19:29:53.627450Z,2025-04-20T19:29:54.116766Z,489.316 ms,610.199 ms,489.316 ms,731.082 ms,2
2025-04-20T19:29:53.795136Z,2025-04-20T19:29:54.298623Z,503.487 ms,574.6283333333333 ms,489.316 ms,731.082 ms,3
2025-04-20T19:29:53.919099Z,2025-04-20T19:29:54.476335Z,557.236 ms,570.2802499999999 ms,489.316 ms,731.082 ms,4
2025-04-20T19:29:54.036427Z,2025-04-20T19:29:54.642496Z,606.069 ms,577.4379999999999 ms,489.316 ms,731.082 ms,5
2025-04-20T19:29:54.166432Z,2025-04-20T19:29:54.760979Z,594.547 ms,580.2894999999999 ms,489.316 ms,731.082 ms,6
2025-04-20T19:29:54.299427Z,2025-04-20T19:29:54.902749Z,603.322 ms,583.5798571428571 ms,489.316 ms,731.082 ms,7
2025-04-20T19:29:54.430345Z,2025-04-20T19:29:54.997067Z,566.722 ms,581.472625 ms,489.316 ms,731.082 ms,8
2025-04-20T19:29:54.533405Z,2025-04-20T19:29:55.107979Z,574.5740000000001 ms,580.7061111111111 ms,489.316 ms,731.082 ms,9
2025-04-20T19:29:54.627441Z,2025-04-20T19:29:55.171448Z,544.0070000000001 ms,577.0362 ms,489.316 ms,731.082 ms,10
2025-04-20T19:29:54.765847Z,2025-04-20T19:29:55.264635Z,498.788 ms,569.9227272727273 ms,489.316 ms,731.082 ms,11
2025-04-20T19:29:54.884936Z,2025-04-20T19:29:55.369352Z,484.416 ms,562.7971666666667 ms,484.416 ms,731.082 ms,12
2025-04-20T19:29:55.009342Z,2025-04-20T19:29:55.459819Z,450.47700000000003 ms,554.1571538461538 ms,450.47700000000003 ms,731.082 ms,13
2025-04-20T19:29:55.112764Z,2025-04-20T19:29:55.582452Z,469.688 ms,548.1236428571428 ms,450.47700000000003 ms,731.082 ms,14
2025-04-20T19:29:55.188104Z,2025-04-20T19:29:55.651596Z,463.492 ms,542.4815333333333 ms,450.47700000000003 ms,731.082 ms,15
2025-04-20T19:29:55.286852Z,2025-04-20T19:29:55.728201Z,441.349 ms,536.1607500000001 ms,441.349 ms,731.082 ms,16
2025-04-20T19:29:55.382672Z,2025-04-20T19:29:55.804170Z,421.498 ms,529.4158823529413 ms,421.498 ms,731.082 ms,17
2025-04-20T19:29:55.465700Z,2025-04-20T19:29:55.875466Z,409.766 ms,522.7686666666666 ms,409.766 ms,731.082 ms,18
2025-04-20T19:29:55.555634Z,2025-04-20T19:29:55.936742Z,381.108 ms,515.3128421052631 ms,381.108 ms,731.082 ms,19
