observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-05-21T21:41:30.190910Z,2025-05-21T21:41:30.278226Z,87.316 ms,87.316 ms,87.316 ms,87.316 ms,1
2025-05-21T21:41:30.259250Z,2025-05-21T21:41:30.318474Z,59.224 ms,73.27 ms,59.224 ms,87.316 ms,2
2025-05-21T21:41:30.306282Z,2025-05-21T21:41:30.361143Z,54.861 ms,67.13366666666666 ms,54.861 ms,87.316 ms,3
2025-05-21T21:41:30.348225Z,2025-05-21T21:41:30.384657Z,36.432 ms,59.45825 ms,36.432 ms,87.316 ms,4
2025-05-21T21:41:30.372491Z,2025-05-21T21:41:30.406166Z,33.675 ms,54.30159999999999 ms,33.675 ms,87.316 ms,5
2025-05-21T21:41:30.396566Z,2025-05-21T21:41:30.430313Z,33.747 ms,50.87583333333332 ms,33.675 ms,87.316 ms,6
2025-05-21T21:41:30.418010Z,2025-05-21T21:41:30.455561Z,37.551 ms,48.972285714285704 ms,33.675 ms,87.316 ms,7
2025-05-21T21:41:30.445358Z,2025-05-21T21:41:30.482421Z,37.062999999999995 ms,47.483624999999996 ms,33.675 ms,87.316 ms,8
2025-05-21T21:41:30.469172Z,2025-05-21T21:41:30.517214Z,48.042 ms,47.54566666666666 ms,33.675 ms,87.316 ms,9
2025-05-21T21:41:30.507141Z,2025-05-21T21:41:30.539304Z,32.163 ms,46.00739999999999 ms,32.163 ms,87.316 ms,10
2025-05-21T21:41:34.044253Z,2025-05-21T21:41:34.082597Z,38.344 ms,45.31072727272726 ms,32.163 ms,87.316 ms,11
2025-05-21T21:41:34.079205Z,2025-05-21T21:41:34.102895Z,23.689999999999998 ms,43.50899999999999 ms,23.689999999999998 ms,87.316 ms,12
2025-05-21T21:41:34.095312Z,2025-05-21T21:41:34.120686Z,25.374000000000002 ms,42.11399999999999 ms,23.689999999999998 ms,87.316 ms,13
2025-05-21T21:41:34.112900Z,2025-05-21T21:41:34.140225Z,27.325 ms,41.05764285714285 ms,23.689999999999998 ms,87.316 ms,14
2025-05-21T21:41:34.131779Z,2025-05-21T21:41:34.165214Z,33.435 ms,40.54946666666667 ms,23.689999999999998 ms,87.316 ms,15
2025-05-21T21:41:34.151047Z,2025-05-21T21:41:34.181864Z,30.817 ms,39.9411875 ms,23.689999999999998 ms,87.316 ms,16
2025-05-21T21:41:34.174138Z,2025-05-21T21:41:34.202533Z,28.395 ms,39.26199999999999 ms,23.689999999999998 ms,87.316 ms,17
2025-05-21T21:41:34.193447Z,2025-05-21T21:41:34.220945Z,27.498 ms,38.60844444444444 ms,23.689999999999998 ms,87.316 ms,18
2025-05-21T21:41:34.212881Z,2025-05-21T21:41:34.240516Z,27.635 ms,38.0308947368421 ms,23.689999999999998 ms,87.316 ms,19
2025-05-21T21:41:34.231220Z,2025-05-21T21:41:34.262104Z,30.884 ms,37.67354999999999 ms,23.689999999999998 ms,87.316 ms,20
2025-05-21T21:41:36.484682Z,2025-05-21T21:41:36.516654Z,31.972 ms,37.402047619047615 ms,23.689999999999998 ms,87.316 ms,21
2025-05-21T21:41:36.513892Z,2025-05-21T21:41:36.531938Z,18.046 ms,36.52222727272727 ms,18.046 ms,87.316 ms,22
2025-05-21T21:41:36.526315Z,2025-05-21T21:41:36.568775Z,42.46 ms,36.78039130434782 ms,18.046 ms,87.316 ms,23
2025-05-21T21:41:36.559190Z,2025-05-21T21:41:36.584225Z,25.035 ms,36.291 ms,18.046 ms,87.316 ms,24
2025-05-21T21:41:36.577672Z,2025-05-21T21:41:36.608967Z,31.295 ms,36.09115999999999 ms,18.046 ms,87.316 ms,25
2025-05-21T21:41:36.594255Z,2025-05-21T21:41:36.663515Z,69.26 ms,37.366884615384606 ms,18.046 ms,87.316 ms,26
2025-05-21T21:41:36.646005Z,2025-05-21T21:41:36.683200Z,37.195 ms,37.36051851851851 ms,18.046 ms,87.316 ms,27
2025-05-21T21:41:36.675139Z,2025-05-21T21:41:36.700049Z,24.91 ms,36.915857142857135 ms,18.046 ms,87.316 ms,28
2025-05-21T21:41:36.692701Z,2025-05-21T21:41:36.729337Z,36.636 ms,36.906206896551716 ms,18.046 ms,87.316 ms,29
2025-05-21T21:41:36.723874Z,2025-05-21T21:41:36.746901Z,23.026999999999997 ms,36.44356666666666 ms,18.046 ms,87.316 ms,30
2025-05-21T21:41:40.470877Z,2025-05-21T21:41:40.509210Z,38.333 ms,36.504516129032254 ms,18.046 ms,87.316 ms,31
2025-05-21T21:41:40.492697Z,2025-05-21T21:41:40.518270Z,25.572999999999997 ms,36.16290624999999 ms,18.046 ms,87.316 ms,32
2025-05-21T21:41:40.506872Z,2025-05-21T21:41:40.536680Z,29.808 ms,35.97033333333333 ms,18.046 ms,87.316 ms,33
2025-05-21T21:41:40.528710Z,2025-05-21T21:41:40.556600Z,27.89 ms,35.73267647058823 ms,18.046 ms,87.316 ms,34
2025-05-21T21:41:40.548158Z,2025-05-21T21:41:40.585876Z,37.718 ms,35.78939999999999 ms,18.046 ms,87.316 ms,35
2025-05-21T21:41:40.580149Z,2025-05-21T21:41:40.600469Z,20.32 ms,35.359694444444436 ms,18.046 ms,87.316 ms,36
2025-05-21T21:41:40.595322Z,2025-05-21T21:41:40.615195Z,19.872999999999998 ms,34.94113513513512 ms,18.046 ms,87.316 ms,37
2025-05-21T21:41:40.608588Z,2025-05-21T21:41:40.647416Z,38.828 ms,35.04342105263157 ms,18.046 ms,87.316 ms,38
2025-05-21T21:41:40.638589Z,2025-05-21T21:41:40.677069Z,38.48 ms,35.131538461538454 ms,18.046 ms,87.316 ms,39
2025-05-21T21:41:40.674099Z,2025-05-21T21:41:40.690091Z,15.991999999999999 ms,34.65305 ms,15.991999999999999 ms,87.316 ms,40
2025-05-21T21:41:40.998266Z,2025-05-21T21:41:41.018298Z,20.032 ms,34.296439024390246 ms,15.991999999999999 ms,87.316 ms,41
2025-05-21T21:41:41.016255Z,2025-05-21T21:41:41.030858Z,14.603 ms,33.82754761904762 ms,14.603 ms,87.316 ms,42
2025-05-21T21:41:41.027078Z,2025-05-21T21:41:41.060456Z,33.378 ms,33.81709302325581 ms,14.603 ms,87.316 ms,43
2025-05-21T21:41:41.055168Z,2025-05-21T21:41:41.088744Z,33.576 ms,33.81161363636363 ms,14.603 ms,87.316 ms,44
2025-05-21T21:41:41.083602Z,2025-05-21T21:41:41.101371Z,17.769 ms,33.4551111111111 ms,14.603 ms,87.316 ms,45
2025-05-21T21:41:41.096467Z,2025-05-21T21:41:41.117952Z,21.485 ms,33.19489130434782 ms,14.603 ms,87.316 ms,46
2025-05-21T21:41:41.110295Z,2025-05-21T21:41:41.132155Z,21.86 ms,32.953723404255314 ms,14.603 ms,87.316 ms,47
2025-05-21T21:41:41.125691Z,2025-05-21T21:41:41.158294Z,32.603 ms,32.94641666666666 ms,14.603 ms,87.316 ms,48
2025-05-21T21:41:41.157053Z,2025-05-21T21:41:41.172574Z,15.521 ms,32.59079591836734 ms,14.603 ms,87.316 ms,49
2025-05-21T21:41:41.167649Z,2025-05-21T21:41:41.186509Z,18.86 ms,32.316179999999996 ms,14.603 ms,87.316 ms,50
2025-05-21T21:41:41.776943Z,2025-05-21T21:41:41.799503Z,22.56 ms,32.12488235294117 ms,14.603 ms,87.316 ms,51
2025-05-21T21:41:41.799597Z,2025-05-21T21:41:41.812399Z,12.802 ms,31.75328846153845 ms,12.802 ms,87.316 ms,52
2025-05-21T21:41:41.809160Z,2025-05-21T21:41:41.825405Z,16.244999999999997 ms,31.460679245283007 ms,12.802 ms,87.316 ms,53
2025-05-21T21:41:41.819944Z,2025-05-21T21:41:41.840550Z,20.605999999999998 ms,31.259666666666657 ms,12.802 ms,87.316 ms,54
2025-05-21T21:41:41.833930Z,2025-05-21T21:41:41.867822Z,33.891999999999996 ms,31.307527272727267 ms,12.802 ms,87.316 ms,55
2025-05-21T21:41:41.863058Z,2025-05-21T21:41:41.894099Z,31.041 ms,31.30276785714285 ms,12.802 ms,87.316 ms,56
2025-05-21T21:41:41.890420Z,2025-05-21T21:41:41.906160Z,15.74 ms,31.029736842105258 ms,12.802 ms,87.316 ms,57
2025-05-21T21:41:41.901743Z,2025-05-21T21:41:41.932475Z,30.732 ms,31.024603448275855 ms,12.802 ms,87.316 ms,58
2025-05-21T21:41:41.928987Z,2025-05-21T21:41:41.945557Z,16.57 ms,30.77961016949152 ms,12.802 ms,87.316 ms,59
2025-05-21T21:41:41.940997Z,2025-05-21T21:41:41.962188Z,21.191000000000003 ms,30.61979999999999 ms,12.802 ms,87.316 ms,60
2025-05-21T21:41:45.224323Z,2025-05-21T21:41:45.244157Z,19.834 ms,30.44298360655737 ms,12.802 ms,87.316 ms,61
2025-05-21T21:41:45.243119Z,2025-05-21T21:41:45.256091Z,12.972 ms,30.16119354838709 ms,12.802 ms,87.316 ms,62
2025-05-21T21:41:45.252686Z,2025-05-21T21:41:45.268923Z,16.237000000000002 ms,29.940174603174597 ms,12.802 ms,87.316 ms,63
