observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T18:24:00.566733Z,2025-04-20T18:24:01.153000Z,586.2669999999999 ms,586.2669999999999 ms,586.2669999999999 ms,586.2669999999999 ms,1
2025-04-20T18:24:00.987925Z,2025-04-20T18:24:01.337000Z,349.07500000000005 ms,467.671 ms,349.07500000000005 ms,586.2669999999999 ms,2
2025-04-20T18:24:01.154371Z,2025-04-20T18:24:01.484000Z,329.629 ms,421.657 ms,329.629 ms,586.2669999999999 ms,3
2025-04-20T18:24:01.283351Z,2025-04-20T18:24:01.658000Z,374.649 ms,409.90500000000003 ms,329.629 ms,586.2669999999999 ms,4
2025-04-20T18:24:01.460465Z,2025-04-20T18:24:01.840000Z,379.535 ms,403.831 ms,329.629 ms,586.2669999999999 ms,5
2025-04-20T18:24:01.637085Z,2025-04-20T18:24:02.015000Z,377.915 ms,399.5116666666667 ms,329.629 ms,586.2669999999999 ms,6
2025-04-20T18:24:01.730206Z,2025-04-20T18:24:02.145000Z,414.794 ms,401.6948571428572 ms,329.629 ms,586.2669999999999 ms,7
2025-04-20T18:24:01.860040Z,2025-04-20T18:24:02.311000Z,450.96000000000004 ms,407.853 ms,329.629 ms,586.2669999999999 ms,8
2025-04-20T18:24:01.949039Z,2025-04-20T18:24:02.423000Z,473.961 ms,415.1983333333333 ms,329.629 ms,586.2669999999999 ms,9
2025-04-20T18:24:02.086938Z,2025-04-20T18:24:02.529000Z,442.062 ms,417.8847 ms,329.629 ms,586.2669999999999 ms,10
2025-04-20T18:24:02.233271Z,2025-04-20T18:24:02.627000Z,393.729 ms,415.68872727272725 ms,329.629 ms,586.2669999999999 ms,11
2025-04-20T18:24:02.355764Z,2025-04-20T18:24:02.715000Z,359.236 ms,410.9843333333333 ms,329.629 ms,586.2669999999999 ms,12
2025-04-20T18:24:02.479209Z,2025-04-20T18:24:02.786000Z,306.791 ms,402.9694615384615 ms,306.791 ms,586.2669999999999 ms,13
2025-04-20T18:24:02.573332Z,2025-04-20T18:24:02.871000Z,297.668 ms,395.4479285714285 ms,297.668 ms,586.2669999999999 ms,14
2025-04-20T18:24:02.646252Z,2025-04-20T18:24:02.955000Z,308.74800000000005 ms,389.6679333333333 ms,297.668 ms,586.2669999999999 ms,15
2025-04-20T18:24:02.727195Z,2025-04-20T18:24:03.019000Z,291.805 ms,383.5514999999999 ms,291.805 ms,586.2669999999999 ms,16
2025-04-20T18:24:02.803762Z,2025-04-20T18:24:03.067000Z,263.238 ms,376.4742352941176 ms,263.238 ms,586.2669999999999 ms,17
2025-04-20T18:24:02.871540Z,2025-04-20T18:24:03.156000Z,284.46 ms,371.3623333333333 ms,263.238 ms,586.2669999999999 ms,18
2025-04-20T18:24:02.956106Z,2025-04-20T18:24:03.211000Z,254.894 ms,365.23242105263154 ms,254.894 ms,586.2669999999999 ms,19
2025-04-20T18:24:03.054126Z,2025-04-20T18:24:03.276000Z,221.874 ms,358.06449999999995 ms,221.874 ms,586.2669999999999 ms,20
2025-04-20T18:24:03.196522Z,2025-04-20T18:24:03.362000Z,165.47799999999998 ms,348.8937142857142 ms,165.47799999999998 ms,586.2669999999999 ms,21
2025-04-20T18:24:03.316555Z,2025-04-20T18:24:03.439000Z,122.445 ms,338.6005909090909 ms,122.445 ms,586.2669999999999 ms,22
2025-04-20T18:24:03.404164Z,2025-04-20T18:24:03.536000Z,131.836 ms,329.6108260869565 ms,122.445 ms,586.2669999999999 ms,23
2025-04-20T18:24:03.498334Z,2025-04-20T18:24:03.620000Z,121.666 ms,320.9464583333333 ms,121.666 ms,586.2669999999999 ms,24
2025-04-20T18:24:03.580628Z,2025-04-20T18:24:03.710000Z,129.37199999999999 ms,313.28348 ms,121.666 ms,586.2669999999999 ms,25
2025-04-20T18:24:03.665366Z,2025-04-20T18:24:03.823000Z,157.634 ms,307.2969615384615 ms,121.666 ms,586.2669999999999 ms,26
2025-04-20T18:24:03.772581Z,2025-04-20T18:24:03.903000Z,130.419 ms,300.7459259259259 ms,121.666 ms,586.2669999999999 ms,27
2025-04-20T18:24:03.863880Z,2025-04-20T18:24:03.980000Z,116.12 ms,294.15214285714285 ms,116.12 ms,586.2669999999999 ms,28
2025-04-20T18:24:03.933865Z,2025-04-20T18:24:04.058000Z,124.13499999999999 ms,288.2894827586207 ms,116.12 ms,586.2669999999999 ms,29
2025-04-20T18:24:04.026549Z,2025-04-20T18:24:04.129000Z,102.451 ms,282.0948666666667 ms,102.451 ms,586.2669999999999 ms,30
2025-04-20T18:24:04.091549Z,2025-04-20T18:24:04.255000Z,163.45100000000002 ms,278.2676451612904 ms,102.451 ms,586.2669999999999 ms,31
2025-04-20T18:24:04.210739Z,2025-04-20T18:24:04.319000Z,108.261 ms,272.9549375 ms,102.451 ms,586.2669999999999 ms,32
2025-04-20T18:24:04.290273Z,2025-04-20T18:24:04.399000Z,108.727 ms,267.97833333333335 ms,102.451 ms,586.2669999999999 ms,33
2025-04-20T18:24:04.358837Z,2025-04-20T18:24:04.460000Z,101.163 ms,263.072 ms,101.163 ms,586.2669999999999 ms,34
2025-04-20T18:24:04.423219Z,2025-04-20T18:24:04.563000Z,139.78099999999998 ms,259.54940000000005 ms,101.163 ms,586.2669999999999 ms,35
2025-04-20T18:24:04.513356Z,2025-04-20T18:24:04.615000Z,101.64399999999999 ms,255.1631388888889 ms,101.163 ms,586.2669999999999 ms,36
2025-04-20T18:24:04.584947Z,2025-04-20T18:24:04.688000Z,103.05300000000001 ms,251.05205405405405 ms,101.163 ms,586.2669999999999 ms,37
2025-04-20T18:24:04.659170Z,2025-04-20T18:24:04.750000Z,90.83 ms,246.83568421052632 ms,90.83 ms,586.2669999999999 ms,38
2025-04-20T18:24:04.729221Z,2025-04-20T18:24:04.815000Z,85.779 ms,242.70602564102566 ms,85.779 ms,586.2669999999999 ms,39
2025-04-20T18:24:04.786960Z,2025-04-20T18:24:04.893000Z,106.03999999999999 ms,239.28937500000004 ms,85.779 ms,586.2669999999999 ms,40
2025-04-20T18:24:04.854180Z,2025-04-20T18:24:04.974000Z,119.82 ms,236.3754878048781 ms,85.779 ms,586.2669999999999 ms,41
2025-04-20T18:24:04.924955Z,2025-04-20T18:24:05.025000Z,100.045 ms,233.12952380952385 ms,85.779 ms,586.2669999999999 ms,42
2025-04-20T18:24:04.985961Z,2025-04-20T18:24:05.108000Z,122.039 ms,230.54602325581396 ms,85.779 ms,586.2669999999999 ms,43
2025-04-20T18:24:05.062447Z,2025-04-20T18:24:05.171000Z,108.553 ms,227.7734545454546 ms,85.779 ms,586.2669999999999 ms,44
2025-04-20T18:24:05.120179Z,2025-04-20T18:24:05.227000Z,106.821 ms,225.08562222222224 ms,85.779 ms,586.2669999999999 ms,45
2025-04-20T18:24:05.196259Z,2025-04-20T18:24:05.322000Z,125.74099999999999 ms,222.92595652173915 ms,85.779 ms,586.2669999999999 ms,46
2025-04-20T18:24:05.258874Z,2025-04-20T18:24:05.364000Z,105.12599999999999 ms,220.41957446808513 ms,85.779 ms,586.2669999999999 ms,47
2025-04-20T18:24:05.323681Z,2025-04-20T18:24:05.417000Z,93.319 ms,217.77164583333334 ms,85.779 ms,586.2669999999999 ms,48
2025-04-20T18:24:05.381117Z,2025-04-20T18:24:05.470000Z,88.88300000000001 ms,215.14126530612242 ms,85.779 ms,586.2669999999999 ms,49
2025-04-20T18:24:05.435016Z,2025-04-20T18:24:05.535000Z,99.98400000000001 ms,212.83811999999998 ms,85.779 ms,586.2669999999999 ms,50
2025-04-20T18:24:05.497262Z,2025-04-20T18:24:05.592000Z,94.738 ms,210.52243137254897 ms,85.779 ms,586.2669999999999 ms,51
2025-04-20T18:24:05.572469Z,2025-04-20T18:24:05.688000Z,115.53099999999999 ms,208.69567307692304 ms,85.779 ms,586.2669999999999 ms,52
2025-04-20T18:24:05.662128Z,2025-04-20T18:24:05.749000Z,86.872 ms,206.39711320754714 ms,85.779 ms,586.2669999999999 ms,53
2025-04-20T18:24:05.732594Z,2025-04-20T18:24:05.814000Z,81.406 ms,204.08246296296292 ms,81.406 ms,586.2669999999999 ms,54
2025-04-20T18:24:05.791547Z,2025-04-20T18:24:05.870000Z,78.45299999999999 ms,201.79829090909087 ms,78.45299999999999 ms,586.2669999999999 ms,55
2025-04-20T18:24:05.840485Z,2025-04-20T18:24:05.939000Z,98.515 ms,199.95394642857138 ms,78.45299999999999 ms,586.2669999999999 ms,56
2025-04-20T18:24:05.906888Z,2025-04-20T18:24:05.986000Z,79.112 ms,197.83391228070175 ms,78.45299999999999 ms,586.2669999999999 ms,57
2025-04-20T18:24:05.959738Z,2025-04-20T18:24:06.039000Z,79.262 ms,195.78956896551722 ms,78.45299999999999 ms,586.2669999999999 ms,58
2025-04-20T18:24:06.009580Z,2025-04-20T18:24:06.093000Z,83.41999999999999 ms,193.88499999999996 ms,78.45299999999999 ms,586.2669999999999 ms,59
2025-04-20T18:24:06.063081Z,2025-04-20T18:24:06.141000Z,77.919 ms,191.9522333333333 ms,77.919 ms,586.2669999999999 ms,60
2025-04-20T18:24:06.117327Z,2025-04-20T18:24:06.185000Z,67.673 ms,189.91486885245897 ms,67.673 ms,586.2669999999999 ms,61
2025-04-20T18:24:08.110196Z,2025-04-20T18:24:08.195000Z,84.804 ms,188.21953225806448 ms,67.673 ms,586.2669999999999 ms,62
2025-04-20T18:24:08.164108Z,2025-04-20T18:24:08.238000Z,73.892 ms,186.4048095238095 ms,67.673 ms,586.2669999999999 ms,63
