observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T19:29:53.208854Z,2025-04-20T19:29:53.805000Z,596.146 ms,596.146 ms,596.146 ms,596.146 ms,1
2025-04-20T19:29:53.627450Z,2025-04-20T19:29:54.066000Z,438.55 ms,517.348 ms,438.55 ms,596.146 ms,2
2025-04-20T19:29:53.795136Z,2025-04-20T19:29:54.228000Z,432.86400000000003 ms,489.1866666666666 ms,432.86400000000003 ms,596.146 ms,3
2025-04-20T19:29:53.919099Z,2025-04-20T19:29:54.398000Z,478.901 ms,486.61524999999995 ms,432.86400000000003 ms,596.146 ms,4
2025-04-20T19:29:54.036427Z,2025-04-20T19:29:54.593000Z,556.573 ms,500.6067999999999 ms,432.86400000000003 ms,596.146 ms,5
2025-04-20T19:29:54.166432Z,2025-04-20T19:29:54.714000Z,547.5680000000001 ms,508.43366666666657 ms,432.86400000000003 ms,596.146 ms,6
2025-04-20T19:29:54.299427Z,2025-04-20T19:29:54.860000Z,560.573 ms,515.8821428571428 ms,432.86400000000003 ms,596.146 ms,7
2025-04-20T19:29:54.430345Z,2025-04-20T19:29:54.975000Z,544.655 ms,519.4787499999999 ms,432.86400000000003 ms,596.146 ms,8
2025-04-20T19:29:54.533405Z,2025-04-20T19:29:55.061000Z,527.595 ms,520.3805555555554 ms,432.86400000000003 ms,596.146 ms,9
2025-04-20T19:29:54.627441Z,2025-04-20T19:29:55.152000Z,524.559 ms,520.7983999999999 ms,432.86400000000003 ms,596.146 ms,10
2025-04-20T19:29:54.765847Z,2025-04-20T19:29:55.240000Z,474.15299999999996 ms,516.557909090909 ms,432.86400000000003 ms,596.146 ms,11
2025-04-20T19:29:54.884936Z,2025-04-20T19:29:55.339000Z,454.064 ms,511.3500833333332 ms,432.86400000000003 ms,596.146 ms,12
2025-04-20T19:29:55.009342Z,2025-04-20T19:29:55.418000Z,408.658 ms,503.45069230769224 ms,408.658 ms,596.146 ms,13
