observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-05-21T21:41:30.190910Z,2025-05-21T21:41:30.218000Z,27.09 ms,27.09 ms,27.09 ms,27.09 ms,1
2025-05-21T21:41:30.259250Z,2025-05-21T21:41:30.286000Z,26.75 ms,26.919999999999998 ms,26.75 ms,27.09 ms,2
2025-05-21T21:41:30.306282Z,2025-05-21T21:41:30.328000Z,21.718 ms,25.186 ms,21.718 ms,27.09 ms,3
2025-05-21T21:41:30.348225Z,2025-05-21T21:41:30.367000Z,18.775 ms,23.58325 ms,18.775 ms,27.09 ms,4
2025-05-21T21:41:30.372491Z,2025-05-21T21:41:30.391000Z,18.509 ms,22.5684 ms,18.509 ms,27.09 ms,5
2025-05-21T21:41:30.396566Z,2025-05-21T21:41:30.413000Z,16.434 ms,21.546 ms,16.434 ms,27.09 ms,6
2025-05-21T21:41:30.418010Z,2025-05-21T21:41:30.436000Z,17.99 ms,21.038 ms,16.434 ms,27.09 ms,7
2025-05-21T21:41:30.445358Z,2025-05-21T21:41:30.464000Z,18.642 ms,20.7385 ms,16.434 ms,27.09 ms,8
2025-05-21T21:41:30.469172Z,2025-05-21T21:41:30.487000Z,17.828 ms,20.415111111111113 ms,16.434 ms,27.09 ms,9
2025-05-21T21:41:30.507141Z,2025-05-21T21:41:30.524000Z,16.858999999999998 ms,20.0595 ms,16.434 ms,27.09 ms,10
2025-05-21T21:41:34.044253Z,2025-05-21T21:41:34.061000Z,16.747 ms,19.75836363636364 ms,16.434 ms,27.09 ms,11
2025-05-21T21:41:34.079205Z,2025-05-21T21:41:34.090000Z,10.795 ms,19.01141666666667 ms,10.795 ms,27.09 ms,12
2025-05-21T21:41:34.095312Z,2025-05-21T21:41:34.108000Z,12.687999999999999 ms,18.525000000000002 ms,10.795 ms,27.09 ms,13
2025-05-21T21:41:34.112900Z,2025-05-21T21:41:34.126000Z,13.100000000000001 ms,18.137500000000003 ms,10.795 ms,27.09 ms,14
2025-05-21T21:41:34.131779Z,2025-05-21T21:41:34.146000Z,14.221 ms,17.876400000000004 ms,10.795 ms,27.09 ms,15
2025-05-21T21:41:34.151047Z,2025-05-21T21:41:34.169000Z,17.953 ms,17.881187500000003 ms,10.795 ms,27.09 ms,16
2025-05-21T21:41:34.174138Z,2025-05-21T21:41:34.188000Z,13.862 ms,17.644764705882356 ms,10.795 ms,27.09 ms,17
2025-05-21T21:41:34.193447Z,2025-05-21T21:41:34.208000Z,14.553 ms,17.473000000000003 ms,10.795 ms,27.09 ms,18
2025-05-21T21:41:34.212881Z,2025-05-21T21:41:34.226000Z,13.119 ms,17.24384210526316 ms,10.795 ms,27.09 ms,19
2025-05-21T21:41:34.231220Z,2025-05-21T21:41:34.248000Z,16.78 ms,17.22065 ms,10.795 ms,27.09 ms,20
2025-05-21T21:41:36.484682Z,2025-05-21T21:41:36.497000Z,12.318000000000001 ms,16.987190476190477 ms,10.795 ms,27.09 ms,21
2025-05-21T21:41:36.513892Z,2025-05-21T21:41:36.522000Z,8.108 ms,16.58359090909091 ms,8.108 ms,27.09 ms,22
2025-05-21T21:41:36.526315Z,2025-05-21T21:41:36.535000Z,8.685 ms,16.240173913043478 ms,8.108 ms,27.09 ms,23
2025-05-21T21:41:36.559190Z,2025-05-21T21:41:36.573000Z,13.809999999999999 ms,16.138916666666667 ms,8.108 ms,27.09 ms,24
2025-05-21T21:41:36.577672Z,2025-05-21T21:41:36.589000Z,11.328 ms,15.94648 ms,8.108 ms,27.09 ms,25
2025-05-21T21:41:36.594255Z,2025-05-21T21:41:36.613000Z,18.745 ms,16.054115384615386 ms,8.108 ms,27.09 ms,26
2025-05-21T21:41:36.646005Z,2025-05-21T21:41:36.670000Z,23.994999999999997 ms,16.348222222222223 ms,8.108 ms,27.09 ms,27
2025-05-21T21:41:36.675139Z,2025-05-21T21:41:36.688000Z,12.860999999999999 ms,16.22367857142857 ms,8.108 ms,27.09 ms,28
2025-05-21T21:41:36.692701Z,2025-05-21T21:41:36.703000Z,10.299000000000001 ms,16.01937931034483 ms,8.108 ms,27.09 ms,29
2025-05-21T21:41:36.723874Z,2025-05-21T21:41:36.734000Z,10.126 ms,15.822933333333333 ms,8.108 ms,27.09 ms,30
2025-05-21T21:41:40.470877Z,2025-05-21T21:41:40.481000Z,10.123 ms,15.639064516129032 ms,8.108 ms,27.09 ms,31
2025-05-21T21:41:40.492697Z,2025-05-21T21:41:40.502000Z,9.303 ms,15.441062500000001 ms,8.108 ms,27.09 ms,32
2025-05-21T21:41:40.506872Z,2025-05-21T21:41:40.524000Z,17.128 ms,15.492181818181821 ms,8.108 ms,27.09 ms,33
2025-05-21T21:41:40.528710Z,2025-05-21T21:41:40.543000Z,14.290000000000001 ms,15.456823529411768 ms,8.108 ms,27.09 ms,34
2025-05-21T21:41:40.548158Z,2025-05-21T21:41:40.559000Z,10.841999999999999 ms,15.324971428571432 ms,8.108 ms,27.09 ms,35
2025-05-21T21:41:40.580149Z,2025-05-21T21:41:40.591000Z,10.850999999999999 ms,15.200694444444448 ms,8.108 ms,27.09 ms,36
2025-05-21T21:41:40.595322Z,2025-05-21T21:41:40.604000Z,8.678 ms,15.024405405405407 ms,8.108 ms,27.09 ms,37
2025-05-21T21:41:40.608588Z,2025-05-21T21:41:40.618000Z,9.412 ms,14.876710526315788 ms,8.108 ms,27.09 ms,38
2025-05-21T21:41:40.638589Z,2025-05-21T21:41:40.650000Z,11.411 ms,14.787846153846154 ms,8.108 ms,27.09 ms,39
2025-05-21T21:41:40.674099Z,2025-05-21T21:41:40.681000Z,6.901 ms,14.590675000000001 ms,6.901 ms,27.09 ms,40
2025-05-21T21:41:40.998266Z,2025-05-21T21:41:41.005000Z,6.734 ms,14.399048780487806 ms,6.734 ms,27.09 ms,41
2025-05-21T21:41:41.016255Z,2025-05-21T21:41:41.022000Z,5.745 ms,14.193000000000001 ms,5.745 ms,27.09 ms,42
2025-05-21T21:41:41.027078Z,2025-05-21T21:41:41.034000Z,6.922000000000001 ms,14.023906976744186 ms,5.745 ms,27.09 ms,43
2025-05-21T21:41:41.055168Z,2025-05-21T21:41:41.063000Z,7.832000000000001 ms,13.883181818181818 ms,5.745 ms,27.09 ms,44
2025-05-21T21:41:41.083602Z,2025-05-21T21:41:41.092000Z,8.398 ms,13.761288888888888 ms,5.745 ms,27.09 ms,45
2025-05-21T21:41:41.096467Z,2025-05-21T21:41:41.106000Z,9.533 ms,13.66936956521739 ms,5.745 ms,27.09 ms,46
2025-05-21T21:41:41.110295Z,2025-05-21T21:41:41.121000Z,10.705 ms,13.606297872340424 ms,5.745 ms,27.09 ms,47
2025-05-21T21:41:41.125691Z,2025-05-21T21:41:41.134000Z,8.309000000000001 ms,13.4959375 ms,5.745 ms,27.09 ms,48
2025-05-21T21:41:41.157053Z,2025-05-21T21:41:41.163000Z,5.947 ms,13.341877551020408 ms,5.745 ms,27.09 ms,49
2025-05-21T21:41:41.167649Z,2025-05-21T21:41:41.176000Z,8.351 ms,13.24206 ms,5.745 ms,27.09 ms,50
2025-05-21T21:41:41.776943Z,2025-05-21T21:41:41.783000Z,6.0569999999999995 ms,13.101176470588234 ms,5.745 ms,27.09 ms,51
2025-05-21T21:41:41.799597Z,2025-05-21T21:41:41.805000Z,5.403 ms,12.953134615384617 ms,5.403 ms,27.09 ms,52
2025-05-21T21:41:41.809160Z,2025-05-21T21:41:41.815000Z,5.84 ms,12.818924528301887 ms,5.403 ms,27.09 ms,53
2025-05-21T21:41:41.819944Z,2025-05-21T21:41:41.829000Z,9.056 ms,12.74924074074074 ms,5.403 ms,27.09 ms,54
2025-05-21T21:41:41.833930Z,2025-05-21T21:41:41.843000Z,9.07 ms,12.682345454545455 ms,5.403 ms,27.09 ms,55
2025-05-21T21:41:41.863058Z,2025-05-21T21:41:41.871000Z,7.941999999999999 ms,12.597696428571428 ms,5.403 ms,27.09 ms,56
2025-05-21T21:41:41.890420Z,2025-05-21T21:41:41.897000Z,6.58 ms,12.492122807017545 ms,5.403 ms,27.09 ms,57
