observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:59:42.723038Z,2025-04-26T09:59:42.748000Z,24.962000000000003 ms,24.962000000000003 ms,24.962000000000003 ms,24.962000000000003 ms,1
2025-04-26T09:59:52.923441Z,2025-04-26T09:59:52.950000Z,26.558999999999997 ms,25.7605 ms,24.962000000000003 ms,26.558999999999997 ms,2
2025-04-26T09:59:53.049906Z,2025-04-26T09:59:53.085000Z,35.094 ms,28.871666666666666 ms,24.962000000000003 ms,35.094 ms,3
2025-04-26T09:59:53.165081Z,2025-04-26T09:59:53.194000Z,28.919 ms,28.883499999999998 ms,24.962000000000003 ms,35.094 ms,4
2025-04-26T09:59:53.276106Z,2025-04-26T09:59:53.300000Z,23.894 ms,27.8856 ms,23.894 ms,35.094 ms,5
2025-04-26T09:59:53.375294Z,2025-04-26T09:59:53.391000Z,15.706000000000001 ms,25.855666666666664 ms,15.706000000000001 ms,35.094 ms,6
2025-04-26T09:59:53.479361Z,2025-04-26T09:59:53.492000Z,12.639 ms,23.96757142857143 ms,12.639 ms,35.094 ms,7
2025-04-26T09:59:53.563752Z,2025-04-26T09:59:53.576000Z,12.248 ms,22.502625000000002 ms,12.248 ms,35.094 ms,8
2025-04-26T09:59:53.642431Z,2025-04-26T09:59:53.659000Z,16.569 ms,21.843333333333337 ms,12.248 ms,35.094 ms,9
2025-04-26T09:59:53.725933Z,2025-04-26T09:59:53.748000Z,22.067 ms,21.8657 ms,12.248 ms,35.094 ms,10
2025-04-26T09:59:53.805442Z,2025-04-26T09:59:53.846000Z,40.558 ms,23.565 ms,12.248 ms,40.558 ms,11
2025-04-26T09:59:53.887414Z,2025-04-26T09:59:53.911000Z,23.586 ms,23.566750000000003 ms,12.248 ms,40.558 ms,12
2025-04-26T09:59:53.998342Z,2025-04-26T09:59:54.008000Z,9.658 ms,22.496846153846157 ms,9.658 ms,40.558 ms,13
2025-04-26T09:59:54.079600Z,2025-04-26T09:59:54.101000Z,21.4 ms,22.4185 ms,9.658 ms,40.558 ms,14
2025-04-26T09:59:54.179692Z,2025-04-26T09:59:54.200000Z,20.308 ms,22.2778 ms,9.658 ms,40.558 ms,15
2025-04-26T09:59:54.282360Z,2025-04-26T09:59:54.296000Z,13.639999999999999 ms,21.737937499999997 ms,9.658 ms,40.558 ms,16
2025-04-26T09:59:54.360180Z,2025-04-26T09:59:54.375000Z,14.82 ms,21.331 ms,9.658 ms,40.558 ms,17
2025-04-26T09:59:54.443598Z,2025-04-26T09:59:54.459000Z,15.402000000000001 ms,21.00161111111111 ms,9.658 ms,40.558 ms,18
2025-04-26T09:59:54.536647Z,2025-04-26T09:59:54.549000Z,12.353 ms,20.54642105263158 ms,9.658 ms,40.558 ms,19
2025-04-26T09:59:54.631194Z,2025-04-26T09:59:54.652000Z,20.806 ms,20.5594 ms,9.658 ms,40.558 ms,20
2025-04-26T09:59:54.698860Z,2025-04-26T09:59:54.707000Z,8.139999999999999 ms,19.968 ms,8.139999999999999 ms,40.558 ms,21
2025-04-26T09:59:54.773750Z,2025-04-26T09:59:54.802000Z,28.25 ms,20.344454545454543 ms,8.139999999999999 ms,40.558 ms,22
2025-04-26T09:59:54.847334Z,2025-04-26T09:59:54.863000Z,15.665999999999999 ms,20.14104347826087 ms,8.139999999999999 ms,40.558 ms,23
2025-04-26T09:59:54.920865Z,2025-04-26T09:59:54.932000Z,11.135000000000002 ms,19.76579166666667 ms,8.139999999999999 ms,40.558 ms,24
2025-04-26T09:59:54.992321Z,2025-04-26T09:59:55.021000Z,28.679 ms,20.12232 ms,8.139999999999999 ms,40.558 ms,25
2025-04-26T09:59:55.093134Z,2025-04-26T09:59:55.112000Z,18.866 ms,20.074 ms,8.139999999999999 ms,40.558 ms,26
2025-04-26T09:59:55.165358Z,2025-04-26T09:59:55.179000Z,13.642 ms,19.835777777777782 ms,8.139999999999999 ms,40.558 ms,27
2025-04-26T09:59:55.242194Z,2025-04-26T09:59:55.254000Z,11.806000000000001 ms,19.549000000000003 ms,8.139999999999999 ms,40.558 ms,28
2025-04-26T09:59:55.311626Z,2025-04-26T09:59:55.330000Z,18.374000000000002 ms,19.50848275862069 ms,8.139999999999999 ms,40.558 ms,29
2025-04-26T09:59:55.370760Z,2025-04-26T09:59:55.382000Z,11.24 ms,19.23286666666667 ms,8.139999999999999 ms,40.558 ms,30
2025-04-26T09:59:55.450572Z,2025-04-26T09:59:55.465000Z,14.427999999999999 ms,19.077870967741937 ms,8.139999999999999 ms,40.558 ms,31
2025-04-26T09:59:55.513566Z,2025-04-26T09:59:55.528000Z,14.434000000000001 ms,18.932750000000002 ms,8.139999999999999 ms,40.558 ms,32
2025-04-26T09:59:55.567261Z,2025-04-26T09:59:55.581000Z,13.738999999999999 ms,18.775363636363636 ms,8.139999999999999 ms,40.558 ms,33
2025-04-26T09:59:55.633791Z,2025-04-26T09:59:55.658000Z,24.209 ms,18.935176470588235 ms,8.139999999999999 ms,40.558 ms,34
2025-04-26T09:59:55.689604Z,2025-04-26T09:59:55.713000Z,23.396 ms,19.062628571428572 ms,8.139999999999999 ms,40.558 ms,35
2025-04-26T09:59:55.749310Z,2025-04-26T09:59:55.756000Z,6.6899999999999995 ms,18.718944444444443 ms,6.6899999999999995 ms,40.558 ms,36
2025-04-26T09:59:55.806798Z,2025-04-26T09:59:55.814000Z,7.202 ms,18.407675675675677 ms,6.6899999999999995 ms,40.558 ms,37
2025-04-26T09:59:55.856987Z,2025-04-26T09:59:55.863000Z,6.013 ms,18.081500000000002 ms,6.013 ms,40.558 ms,38
2025-04-26T09:59:55.909305Z,2025-04-26T09:59:55.915000Z,5.695 ms,17.763897435897437 ms,5.695 ms,40.558 ms,39
2025-04-26T09:59:55.955047Z,2025-04-26T09:59:55.961000Z,5.953 ms,17.468625000000003 ms,5.695 ms,40.558 ms,40
2025-04-26T09:59:56.005192Z,2025-04-26T09:59:56.013000Z,7.808 ms,17.233 ms,5.695 ms,40.558 ms,41
2025-04-26T09:59:56.062492Z,2025-04-26T09:59:56.069000Z,6.508 ms,16.977642857142857 ms,5.695 ms,40.558 ms,42
2025-04-26T09:59:56.118943Z,2025-04-26T09:59:56.125000Z,6.0569999999999995 ms,16.723674418604652 ms,5.695 ms,40.558 ms,43
2025-04-26T09:59:56.168885Z,2025-04-26T09:59:56.175000Z,6.115 ms,16.48256818181818 ms,5.695 ms,40.558 ms,44
2025-04-26T09:59:56.230727Z,2025-04-26T09:59:56.239000Z,8.273000000000001 ms,16.300133333333335 ms,5.695 ms,40.558 ms,45
2025-04-26T09:59:56.307956Z,2025-04-26T09:59:56.315000Z,7.044 ms,16.098913043478262 ms,5.695 ms,40.558 ms,46
2025-04-26T09:59:56.369740Z,2025-04-26T09:59:56.377000Z,7.26 ms,15.910851063829789 ms,5.695 ms,40.558 ms,47
2025-04-26T09:59:56.420454Z,2025-04-26T09:59:56.427000Z,6.545999999999999 ms,15.715750000000003 ms,5.695 ms,40.558 ms,48
2025-04-26T09:59:56.469652Z,2025-04-26T09:59:56.483000Z,13.348 ms,15.667428571428575 ms,5.695 ms,40.558 ms,49
2025-04-26T09:59:56.521207Z,2025-04-26T09:59:56.530000Z,8.793000000000001 ms,15.529940000000003 ms,5.695 ms,40.558 ms,50
2025-04-26T09:59:56.567949Z,2025-04-26T09:59:56.577000Z,9.051 ms,15.402901960784318 ms,5.695 ms,40.558 ms,51
2025-04-26T09:59:56.614020Z,2025-04-26T09:59:56.620000Z,5.98 ms,15.221692307692313 ms,5.695 ms,40.558 ms,52
2025-04-26T09:59:56.657450Z,2025-04-26T09:59:56.663000Z,5.55 ms,15.039207547169816 ms,5.55 ms,40.558 ms,53
