observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T18:54:21.431492Z,2025-04-20T18:54:21.496413Z,64.921 ms,64.921 ms,64.921 ms,64.921 ms,1
2025-04-20T18:54:32.460568Z,2025-04-20T18:54:32.512737Z,52.169 ms,58.545 ms,52.169 ms,64.921 ms,2
2025-04-20T18:54:32.497630Z,2025-04-20T18:54:32.551488Z,53.858000000000004 ms,56.98266666666666 ms,52.169 ms,64.921 ms,3
2025-04-20T18:54:32.536409Z,2025-04-20T18:54:32.596656Z,60.247 ms,57.79875 ms,52.169 ms,64.921 ms,4
2025-04-20T18:54:32.578945Z,2025-04-20T18:54:32.662968Z,84.023 ms,63.043600000000005 ms,52.169 ms,84.023 ms,5
2025-04-20T18:54:32.648219Z,2025-04-20T18:54:32.704672Z,56.453 ms,61.945166666666665 ms,52.169 ms,84.023 ms,6
2025-04-20T18:54:32.688656Z,2025-04-20T18:54:32.747040Z,58.384 ms,61.436428571428564 ms,52.169 ms,84.023 ms,7
2025-04-20T18:54:32.730426Z,2025-04-20T18:54:32.793675Z,63.249 ms,61.663 ms,52.169 ms,84.023 ms,8
2025-04-20T18:54:32.773499Z,2025-04-20T18:54:32.834384Z,60.885000000000005 ms,61.57655555555555 ms,52.169 ms,84.023 ms,9
2025-04-20T18:54:32.817451Z,2025-04-20T18:54:32.878759Z,61.308 ms,61.5497 ms,52.169 ms,84.023 ms,10
2025-04-20T18:54:32.861792Z,2025-04-20T18:54:32.922429Z,60.637 ms,61.466727272727276 ms,52.169 ms,84.023 ms,11
2025-04-20T18:54:32.905867Z,2025-04-20T18:54:32.972168Z,66.301 ms,61.86958333333333 ms,52.169 ms,84.023 ms,12
2025-04-20T18:54:32.948563Z,2025-04-20T18:54:33.009566Z,61.003 ms,61.80292307692307 ms,52.169 ms,84.023 ms,13
2025-04-20T18:54:32.992314Z,2025-04-20T18:54:33.049290Z,56.976 ms,61.45814285714286 ms,52.169 ms,84.023 ms,14
2025-04-20T18:54:33.034047Z,2025-04-20T18:54:33.104026Z,69.979 ms,62.0262 ms,52.169 ms,84.023 ms,15
2025-04-20T18:54:33.087863Z,2025-04-20T18:54:33.145626Z,57.763000000000005 ms,61.759750000000004 ms,52.169 ms,84.023 ms,16
