observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T22:16:11.281513Z,2025-04-20T22:16:11.700312Z,418.799 ms,418.799 ms,418.799 ms,418.799 ms,1
2025-04-20T22:16:25.901674Z,2025-04-20T22:16:26.037615Z,135.941 ms,277.37 ms,135.941 ms,418.799 ms,2
2025-04-20T22:16:40.924247Z,2025-04-20T22:16:41.028459Z,104.212 ms,219.65066666666667 ms,104.212 ms,418.799 ms,3
2025-04-20T22:16:50.934813Z,2025-04-20T22:16:51.032483Z,97.67 ms,189.15550000000002 ms,97.67 ms,418.799 ms,4
2025-04-20T22:16:51.016603Z,2025-04-20T22:16:51.123263Z,106.66000000000001 ms,172.6564 ms,97.67 ms,418.799 ms,5
2025-04-20T22:16:51.107422Z,2025-04-20T22:16:51.204754Z,97.33200000000001 ms,160.10233333333332 ms,97.33200000000001 ms,418.799 ms,6
2025-04-20T22:16:51.188545Z,2025-04-20T22:16:51.289683Z,101.138 ms,151.67885714285714 ms,97.33200000000001 ms,418.799 ms,7
2025-04-20T22:16:51.270086Z,2025-04-20T22:16:51.368408Z,98.322 ms,145.00925 ms,97.33200000000001 ms,418.799 ms,8
2025-04-20T22:16:51.353082Z,2025-04-20T22:16:51.444303Z,91.221 ms,139.0327777777778 ms,91.221 ms,418.799 ms,9
2025-04-20T22:16:51.428041Z,2025-04-20T22:16:51.534557Z,106.516 ms,135.7811 ms,91.221 ms,418.799 ms,10
2025-04-20T22:16:51.518432Z,2025-04-20T22:16:51.602082Z,83.65 ms,131.0419090909091 ms,83.65 ms,418.799 ms,11
2025-04-20T22:16:51.585989Z,2025-04-20T22:16:51.668248Z,82.259 ms,126.97666666666669 ms,82.259 ms,418.799 ms,12
2025-04-20T22:16:51.649860Z,2025-04-20T22:16:51.725678Z,75.818 ms,123.04138461538462 ms,75.818 ms,418.799 ms,13
2025-04-20T22:16:51.710255Z,2025-04-20T22:16:51.782226Z,71.97099999999999 ms,119.39350000000002 ms,71.97099999999999 ms,418.799 ms,14
2025-04-20T22:16:51.766902Z,2025-04-20T22:16:51.840556Z,73.654 ms,116.34420000000003 ms,71.97099999999999 ms,418.799 ms,15
2025-04-20T22:16:51.824986Z,2025-04-20T22:16:51.901486Z,76.5 ms,113.85393750000001 ms,71.97099999999999 ms,418.799 ms,16
2025-04-20T22:16:51.882200Z,2025-04-20T22:16:51.955919Z,73.71900000000001 ms,111.49305882352944 ms,71.97099999999999 ms,418.799 ms,17
2025-04-20T22:16:55.940736Z,2025-04-20T22:16:56.006586Z,65.85000000000001 ms,108.95733333333335 ms,65.85000000000001 ms,418.799 ms,18
2025-04-20T22:16:55.991470Z,2025-04-20T22:16:56.064204Z,72.734 ms,107.05084210526319 ms,65.85000000000001 ms,418.799 ms,19
2025-04-20T22:16:56.045174Z,2025-04-20T22:16:56.141647Z,96.473 ms,106.52195000000002 ms,65.85000000000001 ms,418.799 ms,20
2025-04-20T22:16:56.126202Z,2025-04-20T22:16:56.197408Z,71.206 ms,104.84023809523812 ms,65.85000000000001 ms,418.799 ms,21
2025-04-20T22:16:56.178031Z,2025-04-20T22:16:56.249247Z,71.21600000000001 ms,103.31186363636367 ms,65.85000000000001 ms,418.799 ms,22
2025-04-20T22:16:56.231987Z,2025-04-20T22:16:56.302374Z,70.387 ms,101.880347826087 ms,65.85000000000001 ms,418.799 ms,23
2025-04-20T22:16:56.284841Z,2025-04-20T22:16:56.354542Z,69.701 ms,100.5395416666667 ms,65.85000000000001 ms,418.799 ms,24
2025-04-20T22:16:56.338627Z,2025-04-20T22:16:56.409471Z,70.84400000000001 ms,99.35172000000003 ms,65.85000000000001 ms,418.799 ms,25
2025-04-20T22:16:56.391349Z,2025-04-20T22:16:56.460988Z,69.63900000000001 ms,98.20892307692311 ms,65.85000000000001 ms,418.799 ms,26
2025-04-20T22:16:56.445460Z,2025-04-20T22:16:56.510608Z,65.148 ms,96.98444444444448 ms,65.148 ms,418.799 ms,27
2025-04-20T22:16:56.495426Z,2025-04-20T22:16:56.560640Z,65.214 ms,95.84978571428574 ms,65.148 ms,418.799 ms,28
2025-04-20T22:16:56.544348Z,2025-04-20T22:16:56.612091Z,67.743 ms,94.8805862068966 ms,65.148 ms,418.799 ms,29
2025-04-20T22:16:56.596025Z,2025-04-20T22:16:56.676378Z,80.353 ms,94.39633333333337 ms,65.148 ms,418.799 ms,30
2025-04-20T22:16:56.655792Z,2025-04-20T22:16:56.723417Z,67.625 ms,93.53274193548391 ms,65.148 ms,418.799 ms,31
2025-04-20T22:16:56.707886Z,2025-04-20T22:16:56.819837Z,111.951 ms,94.10831250000004 ms,65.148 ms,418.799 ms,32
2025-04-20T22:16:56.760604Z,2025-04-20T22:16:56.860708Z,100.104 ms,94.29000000000003 ms,65.148 ms,418.799 ms,33
2025-04-20T22:16:56.810732Z,2025-04-20T22:16:56.901026Z,90.294 ms,94.17247058823533 ms,65.148 ms,418.799 ms,34
2025-04-20T22:16:56.862087Z,2025-04-20T22:16:56.938875Z,76.788 ms,93.67577142857148 ms,65.148 ms,418.799 ms,35
2025-04-20T22:16:56.913741Z,2025-04-20T22:16:56.979267Z,65.526 ms,92.89383333333339 ms,65.148 ms,418.799 ms,36
2025-04-20T22:16:56.962662Z,2025-04-20T22:16:57.029901Z,67.23899999999999 ms,92.2004594594595 ms,65.148 ms,418.799 ms,37
2025-04-20T22:16:57.014438Z,2025-04-20T22:16:57.080996Z,66.558 ms,91.52565789473688 ms,65.148 ms,418.799 ms,38
2025-04-20T22:16:57.064365Z,2025-04-20T22:16:57.132443Z,68.078 ms,90.92443589743593 ms,65.148 ms,418.799 ms,39
2025-04-20T22:16:57.112442Z,2025-04-20T22:16:57.193923Z,81.481 ms,90.68835000000004 ms,65.148 ms,418.799 ms,40
2025-04-20T22:16:57.178675Z,2025-04-20T22:16:57.241883Z,63.208 ms,90.01809756097565 ms,63.208 ms,418.799 ms,41
2025-04-20T22:16:57.226702Z,2025-04-20T22:16:57.292709Z,66.00699999999999 ms,89.4464047619048 ms,63.208 ms,418.799 ms,42
2025-04-20T22:16:57.276087Z,2025-04-20T22:16:57.347606Z,71.519 ms,89.02948837209306 ms,63.208 ms,418.799 ms,43
