observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T11:39:59.022951Z,2025-04-22T11:39:59.037901Z,14.95 ms,14.95 ms,14.95 ms,14.95 ms,1
2025-04-22T11:39:59.523698Z,2025-04-22T11:39:59.532853Z,9.155 ms,12.0525 ms,9.155 ms,14.95 ms,2
2025-04-22T11:40:00.027081Z,2025-04-22T11:40:00.036786Z,9.705 ms,11.270000000000001 ms,9.155 ms,14.95 ms,3
2025-04-22T11:40:00.530244Z,2025-04-22T11:40:00.538499Z,8.255 ms,10.51625 ms,8.255 ms,14.95 ms,4
2025-04-22T11:40:01.034417Z,2025-04-22T11:40:01.044446Z,10.029 ms,10.418800000000001 ms,8.255 ms,14.95 ms,5
2025-04-22T11:40:01.536504Z,2025-04-22T11:40:01.544962Z,8.458 ms,10.092 ms,8.255 ms,14.95 ms,6
2025-04-22T11:40:02.039533Z,2025-04-22T11:40:02.051298Z,11.764999999999999 ms,10.331000000000001 ms,8.255 ms,14.95 ms,7
2025-04-22T11:40:02.541936Z,2025-04-22T11:40:02.550632Z,8.696 ms,10.126625 ms,8.255 ms,14.95 ms,8
2025-04-22T11:40:03.044834Z,2025-04-22T11:40:03.053798Z,8.964 ms,9.997444444444444 ms,8.255 ms,14.95 ms,9
2025-04-22T11:40:03.547727Z,2025-04-22T11:40:03.556210Z,8.482999999999999 ms,9.846 ms,8.255 ms,14.95 ms,10
2025-04-22T11:40:04.050809Z,2025-04-22T11:40:04.062083Z,11.274 ms,9.97581818181818 ms,8.255 ms,14.95 ms,11
2025-04-22T11:40:04.553656Z,2025-04-22T11:40:04.562635Z,8.979 ms,9.892750000000001 ms,8.255 ms,14.95 ms,12
2025-04-22T11:40:05.056310Z,2025-04-22T11:40:05.064683Z,8.373000000000001 ms,9.775846153846153 ms,8.255 ms,14.95 ms,13
2025-04-22T11:40:05.559121Z,2025-04-22T11:40:05.568235Z,9.114 ms,9.72857142857143 ms,8.255 ms,14.95 ms,14
2025-04-22T11:40:06.062083Z,2025-04-22T11:40:06.070272Z,8.189 ms,9.625933333333334 ms,8.189 ms,14.95 ms,15
2025-04-22T11:40:06.565105Z,2025-04-22T11:40:06.574123Z,9.018 ms,9.5879375 ms,8.189 ms,14.95 ms,16
2025-04-22T11:40:07.067974Z,2025-04-22T11:40:07.076337Z,8.363000000000001 ms,9.515882352941178 ms,8.189 ms,14.95 ms,17
2025-04-22T11:40:07.571147Z,2025-04-22T11:40:07.579638Z,8.491 ms,9.458944444444445 ms,8.189 ms,14.95 ms,18
2025-04-22T11:40:08.073687Z,2025-04-22T11:40:08.082430Z,8.743 ms,9.421263157894739 ms,8.189 ms,14.95 ms,19
2025-04-22T11:40:08.576751Z,2025-04-22T11:40:08.589437Z,12.686 ms,9.5845 ms,8.189 ms,14.95 ms,20
2025-04-22T11:40:09.079293Z,2025-04-22T11:40:09.087715Z,8.422 ms,9.52914285714286 ms,8.189 ms,14.95 ms,21
2025-04-22T11:40:09.581934Z,2025-04-22T11:40:09.590589Z,8.655 ms,9.489409090909092 ms,8.189 ms,14.95 ms,22
2025-04-22T11:40:10.084991Z,2025-04-22T11:40:10.093432Z,8.441 ms,9.443826086956523 ms,8.189 ms,14.95 ms,23
2025-04-22T11:40:10.587793Z,2025-04-22T11:40:10.596123Z,8.33 ms,9.397416666666668 ms,8.189 ms,14.95 ms,24
2025-04-22T11:40:11.090321Z,2025-04-22T11:40:11.098488Z,8.167 ms,9.348200000000002 ms,8.167 ms,14.95 ms,25
2025-04-22T11:40:11.593055Z,2025-04-22T11:40:11.601875Z,8.82 ms,9.327884615384617 ms,8.167 ms,14.95 ms,26
2025-04-22T11:40:12.095837Z,2025-04-22T11:40:12.104312Z,8.475 ms,9.2962962962963 ms,8.167 ms,14.95 ms,27
2025-04-22T11:40:12.597969Z,2025-04-22T11:40:12.606429Z,8.46 ms,9.266428571428575 ms,8.167 ms,14.95 ms,28
2025-04-22T11:40:13.100819Z,2025-04-22T11:40:13.111642Z,10.822999999999999 ms,9.320103448275864 ms,8.167 ms,14.95 ms,29
2025-04-22T11:40:13.603641Z,2025-04-22T11:40:13.612107Z,8.466 ms,9.291633333333333 ms,8.167 ms,14.95 ms,30
2025-04-22T11:40:14.106358Z,2025-04-22T11:40:14.114248Z,7.89 ms,9.24641935483871 ms,7.89 ms,14.95 ms,31
2025-04-22T11:40:14.609259Z,2025-04-22T11:40:14.617726Z,8.467 ms,9.222062500000002 ms,7.89 ms,14.95 ms,32
2025-04-22T11:40:15.112127Z,2025-04-22T11:40:15.120366Z,8.238999999999999 ms,9.192272727272728 ms,7.89 ms,14.95 ms,33
2025-04-22T11:40:15.615017Z,2025-04-22T11:40:15.626868Z,11.851 ms,9.270470588235295 ms,7.89 ms,14.95 ms,34
2025-04-22T11:40:16.117507Z,2025-04-22T11:40:16.125718Z,8.211 ms,9.240200000000002 ms,7.89 ms,14.95 ms,35
2025-04-22T11:40:16.620095Z,2025-04-22T11:40:16.628545Z,8.45 ms,9.218250000000003 ms,7.89 ms,14.95 ms,36
2025-04-22T11:40:17.122876Z,2025-04-22T11:40:17.130687Z,7.811 ms,9.180216216216218 ms,7.811 ms,14.95 ms,37
2025-04-22T11:40:17.625488Z,2025-04-22T11:40:17.634028Z,8.540000000000001 ms,9.163368421052633 ms,7.811 ms,14.95 ms,38
2025-04-22T11:40:18.128320Z,2025-04-22T11:40:18.139922Z,11.602 ms,9.225897435897439 ms,7.811 ms,14.95 ms,39
2025-04-22T11:40:18.630942Z,2025-04-22T11:40:18.639069Z,8.127 ms,9.198425000000002 ms,7.811 ms,14.95 ms,40
2025-04-22T11:40:19.133371Z,2025-04-22T11:40:19.141573Z,8.202 ms,9.174121951219513 ms,7.811 ms,14.95 ms,41
