observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T20:08:09.011255Z,2025-04-20T20:08:09.464448Z,453.19300000000004 ms,453.19300000000004 ms,453.19300000000004 ms,453.19300000000004 ms,1
2025-04-20T20:08:09.438428Z,2025-04-20T20:08:09.574451Z,136.023 ms,294.608 ms,136.023 ms,453.19300000000004 ms,2
2025-04-20T20:08:09.556387Z,2025-04-20T20:08:09.672485Z,116.09800000000001 ms,235.10466666666665 ms,116.09800000000001 ms,453.19300000000004 ms,3
2025-04-20T20:08:09.656363Z,2025-04-20T20:08:09.766539Z,110.176 ms,203.8725 ms,110.176 ms,453.19300000000004 ms,4
2025-04-20T20:08:09.747748Z,2025-04-20T20:08:09.860417Z,112.66900000000001 ms,185.63180000000003 ms,110.176 ms,453.19300000000004 ms,5
2025-04-20T20:08:09.843199Z,2025-04-20T20:08:09.937102Z,93.903 ms,170.34366666666668 ms,93.903 ms,453.19300000000004 ms,6
2025-04-20T20:08:09.918055Z,2025-04-20T20:08:10.005261Z,87.206 ms,158.46685714285715 ms,87.206 ms,453.19300000000004 ms,7
2025-04-20T20:08:09.986212Z,2025-04-20T20:08:10.079816Z,93.60400000000001 ms,150.359 ms,87.206 ms,453.19300000000004 ms,8
2025-04-20T20:08:10.060091Z,2025-04-20T20:08:10.150736Z,90.64500000000001 ms,143.72411111111114 ms,87.206 ms,453.19300000000004 ms,9
2025-04-20T20:08:10.131246Z,2025-04-20T20:08:10.221702Z,90.45599999999999 ms,138.39730000000003 ms,87.206 ms,453.19300000000004 ms,10
2025-04-20T20:08:10.202926Z,2025-04-20T20:08:10.291708Z,88.782 ms,133.88681818181823 ms,87.206 ms,453.19300000000004 ms,11
2025-04-20T20:08:10.274522Z,2025-04-20T20:08:10.366388Z,91.866 ms,130.38508333333334 ms,87.206 ms,453.19300000000004 ms,12
2025-04-20T20:08:10.347663Z,2025-04-20T20:08:10.433098Z,85.435 ms,126.92738461538464 ms,85.435 ms,453.19300000000004 ms,13
2025-04-20T20:08:10.417631Z,2025-04-20T20:08:10.500266Z,82.635 ms,123.76364285714288 ms,82.635 ms,453.19300000000004 ms,14
2025-04-20T20:08:10.483789Z,2025-04-20T20:08:10.573593Z,89.804 ms,121.49966666666668 ms,82.635 ms,453.19300000000004 ms,15
2025-04-20T20:08:10.557124Z,2025-04-20T20:08:10.635040Z,77.916 ms,118.77568750000002 ms,77.916 ms,453.19300000000004 ms,16
