observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-05-21T21:49:03.089014Z,2025-05-21T21:49:03.100355Z,11.341000000000001 ms,11.341000000000001 ms,11.341000000000001 ms,11.341000000000001 ms,1
2025-05-21T21:49:03.137794Z,2025-05-21T21:49:03.141476Z,3.682 ms,7.5115 ms,3.682 ms,11.341000000000001 ms,2
2025-05-21T21:49:03.169278Z,2025-05-21T21:49:03.172386Z,3.108 ms,6.043666666666667 ms,3.108 ms,11.341000000000001 ms,3
2025-05-21T21:49:03.199965Z,2025-05-21T21:49:03.204015Z,4.05 ms,5.54525 ms,3.108 ms,11.341000000000001 ms,4
2025-05-21T21:49:03.231316Z,2025-05-21T21:49:03.234542Z,3.226 ms,5.0813999999999995 ms,3.108 ms,11.341000000000001 ms,5
2025-05-21T21:49:03.262402Z,2025-05-21T21:49:03.265540Z,3.1380000000000003 ms,4.7575 ms,3.108 ms,11.341000000000001 ms,6
2025-05-21T21:49:03.293169Z,2025-05-21T21:49:03.296231Z,3.062 ms,4.515285714285715 ms,3.062 ms,11.341000000000001 ms,7
2025-05-21T21:49:03.323543Z,2025-05-21T21:49:03.326594Z,3.0509999999999997 ms,4.33225 ms,3.0509999999999997 ms,11.341000000000001 ms,8
2025-05-21T21:49:03.354162Z,2025-05-21T21:49:03.357311Z,3.149 ms,4.200777777777778 ms,3.0509999999999997 ms,11.341000000000001 ms,9
2025-05-21T21:49:03.387200Z,2025-05-21T21:49:03.390237Z,3.0370000000000004 ms,4.0844000000000005 ms,3.0370000000000004 ms,11.341000000000001 ms,10
2025-05-21T21:49:04.351669Z,2025-05-21T21:49:04.356094Z,4.425 ms,4.115363636363636 ms,3.0370000000000004 ms,11.341000000000001 ms,11
2025-05-21T21:49:04.388070Z,2025-05-21T21:49:04.391441Z,3.371 ms,4.053333333333334 ms,3.0370000000000004 ms,11.341000000000001 ms,12
2025-05-21T21:49:04.418547Z,2025-05-21T21:49:04.421717Z,3.17 ms,3.9853846153846146 ms,3.0370000000000004 ms,11.341000000000001 ms,13
2025-05-21T21:49:04.449325Z,2025-05-21T21:49:04.452689Z,3.364 ms,3.9409999999999994 ms,3.0370000000000004 ms,11.341000000000001 ms,14
2025-05-21T21:49:04.480127Z,2025-05-21T21:49:04.486311Z,6.184 ms,4.090533333333332 ms,3.0370000000000004 ms,11.341000000000001 ms,15
