observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:45:40.981825Z,2025-04-26T09:45:40.995904Z,14.078999999999999 ms,14.078999999999999 ms,14.078999999999999 ms,14.078999999999999 ms,1
2025-04-26T09:45:50.301648Z,2025-04-26T09:45:50.305336Z,3.6879999999999997 ms,8.8835 ms,3.6879999999999997 ms,14.078999999999999 ms,2
2025-04-26T09:45:50.411168Z,2025-04-26T09:45:50.415437Z,4.269 ms,7.3453333333333335 ms,3.6879999999999997 ms,14.078999999999999 ms,3
2025-04-26T09:45:50.515879Z,2025-04-26T09:45:50.521389Z,5.51 ms,6.8865 ms,3.6879999999999997 ms,14.078999999999999 ms,4
2025-04-26T09:45:50.613296Z,2025-04-26T09:45:50.617242Z,3.9459999999999997 ms,6.2984 ms,3.6879999999999997 ms,14.078999999999999 ms,5
2025-04-26T09:45:50.693139Z,2025-04-26T09:45:50.697326Z,4.186999999999999 ms,5.9465 ms,3.6879999999999997 ms,14.078999999999999 ms,6
2025-04-26T09:45:50.773084Z,2025-04-26T09:45:50.777029Z,3.945 ms,5.660571428571429 ms,3.6879999999999997 ms,14.078999999999999 ms,7
2025-04-26T09:45:50.848918Z,2025-04-26T09:45:50.853036Z,4.118 ms,5.4677500000000006 ms,3.6879999999999997 ms,14.078999999999999 ms,8
2025-04-26T09:45:50.935954Z,2025-04-26T09:45:50.940023Z,4.069 ms,5.312333333333334 ms,3.6879999999999997 ms,14.078999999999999 ms,9
2025-04-26T09:45:51.017195Z,2025-04-26T09:45:51.020912Z,3.7169999999999996 ms,5.152800000000001 ms,3.6879999999999997 ms,14.078999999999999 ms,10
2025-04-26T09:45:51.078022Z,2025-04-26T09:45:51.082598Z,4.5760000000000005 ms,5.100363636363636 ms,3.6879999999999997 ms,14.078999999999999 ms,11
2025-04-26T09:45:51.142907Z,2025-04-26T09:45:51.147022Z,4.114999999999999 ms,5.01825 ms,3.6879999999999997 ms,14.078999999999999 ms,12
2025-04-26T09:45:51.202072Z,2025-04-26T09:45:51.206348Z,4.276000000000001 ms,4.961153846153846 ms,3.6879999999999997 ms,14.078999999999999 ms,13
2025-04-26T09:45:51.255383Z,2025-04-26T09:45:51.259233Z,3.85 ms,4.881785714285714 ms,3.6879999999999997 ms,14.078999999999999 ms,14
2025-04-26T09:45:51.310666Z,2025-04-26T09:45:51.318811Z,8.145 ms,5.099333333333333 ms,3.6879999999999997 ms,14.078999999999999 ms,15
2025-04-26T09:45:51.367287Z,2025-04-26T09:45:51.371240Z,3.953 ms,5.0276875 ms,3.6879999999999997 ms,14.078999999999999 ms,16
2025-04-26T09:45:51.419751Z,2025-04-26T09:45:51.424107Z,4.356 ms,4.988176470588235 ms,3.6879999999999997 ms,14.078999999999999 ms,17
2025-04-26T09:45:51.473167Z,2025-04-26T09:45:51.477307Z,4.14 ms,4.941055555555556 ms,3.6879999999999997 ms,14.078999999999999 ms,18
2025-04-26T09:45:51.526019Z,2025-04-26T09:45:51.529746Z,3.727 ms,4.877157894736842 ms,3.6879999999999997 ms,14.078999999999999 ms,19
2025-04-26T09:45:51.590039Z,2025-04-26T09:45:51.598255Z,8.216 ms,5.0441 ms,3.6879999999999997 ms,14.078999999999999 ms,20
2025-04-26T09:45:51.641637Z,2025-04-26T09:45:51.645567Z,3.93 ms,4.9910476190476185 ms,3.6879999999999997 ms,14.078999999999999 ms,21
2025-04-26T09:45:51.694647Z,2025-04-26T09:45:51.698187Z,3.54 ms,4.925090909090909 ms,3.54 ms,14.078999999999999 ms,22
2025-04-26T09:45:51.746375Z,2025-04-26T09:45:51.750544Z,4.169 ms,4.8922173913043485 ms,3.54 ms,14.078999999999999 ms,23
2025-04-26T09:45:51.797704Z,2025-04-26T09:45:51.801683Z,3.979 ms,4.854166666666667 ms,3.54 ms,14.078999999999999 ms,24
2025-04-26T09:45:51.847041Z,2025-04-26T09:45:51.854537Z,7.496 ms,4.95984 ms,3.54 ms,14.078999999999999 ms,25
2025-04-26T09:45:51.897563Z,2025-04-26T09:45:51.901395Z,3.832 ms,4.9164615384615376 ms,3.54 ms,14.078999999999999 ms,26
2025-04-26T09:45:51.946232Z,2025-04-26T09:45:51.950515Z,4.283 ms,4.893000000000001 ms,3.54 ms,14.078999999999999 ms,27
2025-04-26T09:45:51.996756Z,2025-04-26T09:45:52.000805Z,4.0489999999999995 ms,4.862857142857143 ms,3.54 ms,14.078999999999999 ms,28
2025-04-26T09:45:52.049147Z,2025-04-26T09:45:52.053273Z,4.126 ms,4.8374482758620685 ms,3.54 ms,14.078999999999999 ms,29
2025-04-26T09:45:52.107754Z,2025-04-26T09:45:52.123528Z,15.774 ms,5.202 ms,3.54 ms,15.774 ms,30
2025-04-26T09:45:52.158963Z,2025-04-26T09:45:52.162892Z,3.9290000000000003 ms,5.160935483870968 ms,3.54 ms,15.774 ms,31
2025-04-26T09:45:52.209121Z,2025-04-26T09:45:52.213306Z,4.1850000000000005 ms,5.130437499999999 ms,3.54 ms,15.774 ms,32
2025-04-26T09:45:52.262404Z,2025-04-26T09:45:52.266317Z,3.913 ms,5.0935454545454535 ms,3.54 ms,15.774 ms,33
2025-04-26T09:45:52.312385Z,2025-04-26T09:45:52.316476Z,4.091 ms,5.064058823529412 ms,3.54 ms,15.774 ms,34
2025-04-26T09:45:52.361359Z,2025-04-26T09:45:52.369562Z,8.203 ms,5.1537428571428565 ms,3.54 ms,15.774 ms,35
2025-04-26T09:45:52.410131Z,2025-04-26T09:45:52.414298Z,4.167 ms,5.126333333333333 ms,3.54 ms,15.774 ms,36
2025-04-26T09:45:52.460790Z,2025-04-26T09:45:52.465052Z,4.2620000000000005 ms,5.102972972972972 ms,3.54 ms,15.774 ms,37
2025-04-26T09:45:52.511385Z,2025-04-26T09:45:52.515835Z,4.45 ms,5.08578947368421 ms,3.54 ms,15.774 ms,38
2025-04-26T09:45:52.562700Z,2025-04-26T09:45:52.566654Z,3.954 ms,5.056769230769231 ms,3.54 ms,15.774 ms,39
2025-04-26T09:45:52.623974Z,2025-04-26T09:45:52.631459Z,7.485 ms,5.117475 ms,3.54 ms,15.774 ms,40
2025-04-26T09:45:52.672281Z,2025-04-26T09:45:52.676122Z,3.8409999999999997 ms,5.086341463414634 ms,3.54 ms,15.774 ms,41
2025-04-26T09:45:52.719979Z,2025-04-26T09:45:52.724075Z,4.096 ms,5.062761904761905 ms,3.54 ms,15.774 ms,42
2025-04-26T09:45:52.772693Z,2025-04-26T09:45:52.776714Z,4.021 ms,5.03853488372093 ms,3.54 ms,15.774 ms,43
2025-04-26T09:45:52.816908Z,2025-04-26T09:45:52.821024Z,4.116 ms,5.017568181818182 ms,3.54 ms,15.774 ms,44
2025-04-26T09:45:52.862888Z,2025-04-26T09:45:52.870431Z,7.543 ms,5.0736888888888885 ms,3.54 ms,15.774 ms,45
2025-04-26T09:45:52.908690Z,2025-04-26T09:45:52.912622Z,3.932 ms,5.048869565217391 ms,3.54 ms,15.774 ms,46
2025-04-26T09:45:52.953442Z,2025-04-26T09:45:52.957419Z,3.9769999999999994 ms,5.026063829787233 ms,3.54 ms,15.774 ms,47
2025-04-26T09:45:52.996914Z,2025-04-26T09:45:53.000951Z,4.037 ms,5.005458333333333 ms,3.54 ms,15.774 ms,48
2025-04-26T09:45:53.041337Z,2025-04-26T09:45:53.045392Z,4.055 ms,4.986061224489796 ms,3.54 ms,15.774 ms,49
2025-04-26T09:45:53.098604Z,2025-04-26T09:45:53.105726Z,7.122 ms,5.02878 ms,3.54 ms,15.774 ms,50
2025-04-26T09:45:53.141481Z,2025-04-26T09:45:53.145434Z,3.953 ms,5.007686274509804 ms,3.54 ms,15.774 ms,51
2025-04-26T09:45:53.186790Z,2025-04-26T09:45:53.190851Z,4.061 ms,4.989480769230768 ms,3.54 ms,15.774 ms,52
2025-04-26T09:45:53.232716Z,2025-04-26T09:45:53.236625Z,3.9090000000000003 ms,4.969094339622641 ms,3.54 ms,15.774 ms,53
2025-04-26T09:45:53.273996Z,2025-04-26T09:45:53.278087Z,4.091 ms,4.952833333333333 ms,3.54 ms,15.774 ms,54
2025-04-26T09:45:53.317626Z,2025-04-26T09:45:53.324990Z,7.364 ms,4.996672727272727 ms,3.54 ms,15.774 ms,55
2025-04-26T09:45:53.359324Z,2025-04-26T09:45:53.363254Z,3.93 ms,4.977625 ms,3.54 ms,15.774 ms,56
2025-04-26T09:45:53.404523Z,2025-04-26T09:45:53.408561Z,4.038 ms,4.961140350877192 ms,3.54 ms,15.774 ms,57
2025-04-26T09:45:53.447838Z,2025-04-26T09:45:53.451995Z,4.157 ms,4.947275862068965 ms,3.54 ms,15.774 ms,58
2025-04-26T09:45:53.488459Z,2025-04-26T09:45:53.492253Z,3.794 ms,4.927728813559321 ms,3.54 ms,15.774 ms,59
2025-04-26T09:45:53.535931Z,2025-04-26T09:45:53.543424Z,7.492999999999999 ms,4.970483333333332 ms,3.54 ms,15.774 ms,60
2025-04-26T09:45:53.575763Z,2025-04-26T09:45:53.579331Z,3.568 ms,4.947491803278688 ms,3.54 ms,15.774 ms,61
2025-04-26T09:45:56.243290Z,2025-04-26T09:45:56.247186Z,3.8960000000000004 ms,4.930532258064517 ms,3.54 ms,15.774 ms,62
2025-04-26T09:45:56.282097Z,2025-04-26T09:45:56.285545Z,3.448 ms,4.907 ms,3.448 ms,15.774 ms,63
2025-04-26T09:45:56.323128Z,2025-04-26T09:45:56.327112Z,3.9839999999999995 ms,4.892578125 ms,3.448 ms,15.774 ms,64
2025-04-26T09:45:56.362101Z,2025-04-26T09:45:56.369943Z,7.842 ms,4.937953846153846 ms,3.448 ms,15.774 ms,65
2025-04-26T09:45:56.402592Z,2025-04-26T09:45:56.406237Z,3.645 ms,4.918363636363637 ms,3.448 ms,15.774 ms,66
2025-04-26T09:45:56.442694Z,2025-04-26T09:45:56.446532Z,3.8379999999999996 ms,4.90223880597015 ms,3.448 ms,15.774 ms,67
2025-04-26T09:45:56.483737Z,2025-04-26T09:45:56.487558Z,3.821 ms,4.886338235294118 ms,3.448 ms,15.774 ms,68
2025-04-26T09:45:56.522147Z,2025-04-26T09:45:56.525868Z,3.721 ms,4.869449275362319 ms,3.448 ms,15.774 ms,69
2025-04-26T09:45:56.571649Z,2025-04-26T09:45:56.579573Z,7.924 ms,4.913085714285714 ms,3.448 ms,15.774 ms,70
2025-04-26T09:45:56.610598Z,2025-04-26T09:45:56.614414Z,3.816 ms,4.897633802816901 ms,3.448 ms,15.774 ms,71
2025-04-26T09:45:56.651213Z,2025-04-26T09:45:56.655095Z,3.882 ms,4.883527777777777 ms,3.448 ms,15.774 ms,72
2025-04-26T09:45:56.691544Z,2025-04-26T09:45:56.695276Z,3.732 ms,4.867753424657534 ms,3.448 ms,15.774 ms,73
2025-04-26T09:45:56.731206Z,2025-04-26T09:45:56.734643Z,3.437 ms,4.848418918918919 ms,3.437 ms,15.774 ms,74
2025-04-26T09:45:56.773575Z,2025-04-26T09:45:56.783047Z,9.472 ms,4.910066666666666 ms,3.437 ms,15.774 ms,75
2025-04-26T09:45:56.818888Z,2025-04-26T09:45:56.823298Z,4.41 ms,4.903486842105264 ms,3.437 ms,15.774 ms,76
2025-04-26T09:45:56.866320Z,2025-04-26T09:45:56.869959Z,3.639 ms,4.887064935064935 ms,3.437 ms,15.774 ms,77
2025-04-26T09:45:56.909127Z,2025-04-26T09:45:56.912882Z,3.755 ms,4.872551282051282 ms,3.437 ms,15.774 ms,78
2025-04-26T09:45:56.949924Z,2025-04-26T09:45:56.953761Z,3.837 ms,4.859443037974684 ms,3.437 ms,15.774 ms,79
2025-04-26T09:45:56.990428Z,2025-04-26T09:45:57.002304Z,11.876 ms,4.94715 ms,3.437 ms,15.774 ms,80
2025-04-26T09:45:57.045868Z,2025-04-26T09:45:57.049768Z,3.9 ms,4.934222222222223 ms,3.437 ms,15.774 ms,81
2025-04-26T09:45:57.088034Z,2025-04-26T09:45:57.091897Z,3.863 ms,4.9211585365853665 ms,3.437 ms,15.774 ms,82
2025-04-26T09:45:57.129650Z,2025-04-26T09:45:57.133597Z,3.947 ms,4.909421686746988 ms,3.437 ms,15.774 ms,83
2025-04-26T09:45:57.169149Z,2025-04-26T09:45:57.172912Z,3.763 ms,4.89577380952381 ms,3.437 ms,15.774 ms,84
2025-04-26T09:45:57.208444Z,2025-04-26T09:45:57.215504Z,7.0600000000000005 ms,4.921235294117647 ms,3.437 ms,15.774 ms,85
2025-04-26T09:45:57.247262Z,2025-04-26T09:45:57.250767Z,3.505 ms,4.904767441860466 ms,3.437 ms,15.774 ms,86
2025-04-26T09:45:57.285848Z,2025-04-26T09:45:57.289743Z,3.895 ms,4.89316091954023 ms,3.437 ms,15.774 ms,87
2025-04-26T09:45:57.326606Z,2025-04-26T09:45:57.330713Z,4.107 ms,4.884227272727273 ms,3.437 ms,15.774 ms,88
2025-04-26T09:45:57.369771Z,2025-04-26T09:45:57.373375Z,3.604 ms,4.869842696629213 ms,3.437 ms,15.774 ms,89
2025-04-26T09:45:57.408931Z,2025-04-26T09:45:57.427873Z,18.942 ms,5.0262 ms,3.437 ms,18.942 ms,90
