observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T18:54:21.431492Z,2025-04-20T18:54:21.486791Z,55.299 ms,55.299 ms,55.299 ms,55.299 ms,1
2025-04-20T18:54:32.460568Z,2025-04-20T18:54:32.509379Z,48.811 ms,52.05500000000001 ms,48.811 ms,55.299 ms,2
2025-04-20T18:54:32.497630Z,2025-04-20T18:54:32.548719Z,51.089000000000006 ms,51.733000000000004 ms,48.811 ms,55.299 ms,3
2025-04-20T18:54:32.536409Z,2025-04-20T18:54:32.593473Z,57.064 ms,53.06575 ms,48.811 ms,57.064 ms,4
2025-04-20T18:54:32.578945Z,2025-04-20T18:54:32.659530Z,80.58500000000001 ms,58.5696 ms,48.811 ms,80.58500000000001 ms,5
2025-04-20T18:54:32.648219Z,2025-04-20T18:54:32.701569Z,53.35 ms,57.69966666666667 ms,48.811 ms,80.58500000000001 ms,6
2025-04-20T18:54:32.688656Z,2025-04-20T18:54:32.743081Z,54.425000000000004 ms,57.231857142857145 ms,48.811 ms,80.58500000000001 ms,7
2025-04-20T18:54:32.730426Z,2025-04-20T18:54:32.790051Z,59.625 ms,57.531 ms,48.811 ms,80.58500000000001 ms,8
2025-04-20T18:54:32.773499Z,2025-04-20T18:54:32.830775Z,57.276 ms,57.50266666666667 ms,48.811 ms,80.58500000000001 ms,9
2025-04-20T18:54:32.817451Z,2025-04-20T18:54:32.875535Z,58.083999999999996 ms,57.5608 ms,48.811 ms,80.58500000000001 ms,10
2025-04-20T18:54:32.861792Z,2025-04-20T18:54:32.919472Z,57.68 ms,57.57163636363636 ms,48.811 ms,80.58500000000001 ms,11
2025-04-20T18:54:32.905867Z,2025-04-20T18:54:32.962589Z,56.722 ms,57.50083333333333 ms,48.811 ms,80.58500000000001 ms,12
2025-04-20T18:54:32.948563Z,2025-04-20T18:54:33.006581Z,58.018 ms,57.540615384615386 ms,48.811 ms,80.58500000000001 ms,13
2025-04-20T18:54:32.992314Z,2025-04-20T18:54:33.045986Z,53.672 ms,57.26428571428572 ms,48.811 ms,80.58500000000001 ms,14
2025-04-20T18:54:33.034047Z,2025-04-20T18:54:33.100501Z,66.454 ms,57.87693333333334 ms,48.811 ms,80.58500000000001 ms,15
2025-04-20T18:54:33.087863Z,2025-04-20T18:54:33.142634Z,54.771 ms,57.682812500000004 ms,48.811 ms,80.58500000000001 ms,16
2025-04-20T18:54:33.129755Z,2025-04-20T18:54:33.186918Z,57.163 ms,57.65223529411765 ms,48.811 ms,80.58500000000001 ms,17
2025-04-20T18:54:33.171050Z,2025-04-20T18:54:33.226728Z,55.678 ms,57.54255555555555 ms,48.811 ms,80.58500000000001 ms,18
2025-04-20T18:54:33.212571Z,2025-04-20T18:54:33.264956Z,52.385 ms,57.271105263157885 ms,48.811 ms,80.58500000000001 ms,19
2025-04-20T18:54:33.252651Z,2025-04-20T18:54:33.322597Z,69.946 ms,57.904849999999996 ms,48.811 ms,80.58500000000001 ms,20
2025-04-20T18:54:33.291942Z,2025-04-20T18:54:33.359858Z,67.91600000000001 ms,58.38157142857143 ms,48.811 ms,80.58500000000001 ms,21
2025-04-20T18:54:33.335291Z,2025-04-20T18:54:33.400903Z,65.61200000000001 ms,58.71022727272727 ms,48.811 ms,80.58500000000001 ms,22
2025-04-20T18:54:33.377589Z,2025-04-20T18:54:33.438061Z,60.472 ms,58.78682608695652 ms,48.811 ms,80.58500000000001 ms,23
2025-04-20T18:54:33.418917Z,2025-04-20T18:54:33.473681Z,54.764 ms,58.61920833333334 ms,48.811 ms,80.58500000000001 ms,24
