observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T22:16:11.281513Z,2025-04-20T22:16:11.694434Z,412.921 ms,412.921 ms,412.921 ms,412.921 ms,1
2025-04-20T22:16:25.901674Z,2025-04-20T22:16:26.035253Z,133.579 ms,273.25 ms,133.579 ms,412.921 ms,2
2025-04-20T22:16:40.924247Z,2025-04-20T22:16:41.025841Z,101.59400000000001 ms,216.03133333333332 ms,101.59400000000001 ms,412.921 ms,3
2025-04-20T22:16:50.934813Z,2025-04-20T22:16:51.029842Z,95.029 ms,185.78074999999998 ms,95.029 ms,412.921 ms,4
2025-04-20T22:16:51.016603Z,2025-04-20T22:16:51.120306Z,103.703 ms,169.3652 ms,95.029 ms,412.921 ms,5
2025-04-20T22:16:51.107422Z,2025-04-20T22:16:51.202000Z,94.57799999999999 ms,156.90066666666667 ms,94.57799999999999 ms,412.921 ms,6
2025-04-20T22:16:51.188545Z,2025-04-20T22:16:51.282436Z,93.891 ms,147.8992857142857 ms,93.891 ms,412.921 ms,7
2025-04-20T22:16:51.270086Z,2025-04-20T22:16:51.365477Z,95.391 ms,141.33575 ms,93.891 ms,412.921 ms,8
2025-04-20T22:16:51.353082Z,2025-04-20T22:16:51.441686Z,88.604 ms,135.47666666666663 ms,88.604 ms,412.921 ms,9
2025-04-20T22:16:51.428041Z,2025-04-20T22:16:51.531195Z,103.154 ms,132.24439999999998 ms,88.604 ms,412.921 ms,10
2025-04-20T22:16:51.518432Z,2025-04-20T22:16:51.599403Z,80.971 ms,127.58318181818179 ms,80.971 ms,412.921 ms,11
2025-04-20T22:16:51.585989Z,2025-04-20T22:16:51.665221Z,79.232 ms,123.55391666666664 ms,79.232 ms,412.921 ms,12
2025-04-20T22:16:51.649860Z,2025-04-20T22:16:51.722365Z,72.505 ms,119.62707692307688 ms,72.505 ms,412.921 ms,13
2025-04-20T22:16:51.710255Z,2025-04-20T22:16:51.779229Z,68.97399999999999 ms,116.00899999999999 ms,68.97399999999999 ms,412.921 ms,14
2025-04-20T22:16:51.766902Z,2025-04-20T22:16:51.837273Z,70.37100000000001 ms,112.96646666666663 ms,68.97399999999999 ms,412.921 ms,15
2025-04-20T22:16:51.824986Z,2025-04-20T22:16:51.894373Z,69.387 ms,110.24274999999999 ms,68.97399999999999 ms,412.921 ms,16
2025-04-20T22:16:51.882200Z,2025-04-20T22:16:51.950992Z,68.792 ms,107.80447058823528 ms,68.792 ms,412.921 ms,17
2025-04-20T22:16:55.940736Z,2025-04-20T22:16:56.003491Z,62.755 ms,105.30172222222221 ms,62.755 ms,412.921 ms,18
2025-04-20T22:16:55.991470Z,2025-04-20T22:16:56.056990Z,65.52 ms,103.20794736842105 ms,62.755 ms,412.921 ms,19
2025-04-20T22:16:56.045174Z,2025-04-20T22:16:56.138513Z,93.339 ms,102.7145 ms,62.755 ms,412.921 ms,20
2025-04-20T22:16:56.126202Z,2025-04-20T22:16:56.194478Z,68.27600000000001 ms,101.07457142857143 ms,62.755 ms,412.921 ms,21
2025-04-20T22:16:56.178031Z,2025-04-20T22:16:56.246089Z,68.05799999999999 ms,99.5738181818182 ms,62.755 ms,412.921 ms,22
2025-04-20T22:16:56.231987Z,2025-04-20T22:16:56.298873Z,66.886 ms,98.15260869565216 ms,62.755 ms,412.921 ms,23
2025-04-20T22:16:56.284841Z,2025-04-20T22:16:56.350791Z,65.94999999999999 ms,96.81083333333333 ms,62.755 ms,412.921 ms,24
2025-04-20T22:16:56.338627Z,2025-04-20T22:16:56.403183Z,64.556 ms,95.52063999999999 ms,62.755 ms,412.921 ms,25
2025-04-20T22:16:56.391349Z,2025-04-20T22:16:56.457083Z,65.734 ms,94.375 ms,62.755 ms,412.921 ms,26
2025-04-20T22:16:56.445460Z,2025-04-20T22:16:56.507438Z,61.978 ms,93.1751111111111 ms,61.978 ms,412.921 ms,27
