observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T11:39:59.022951Z,2025-04-22T11:39:59.032538Z,9.587 ms,9.587 ms,9.587 ms,9.587 ms,1
2025-04-22T11:39:59.523698Z,2025-04-22T11:39:59.530296Z,6.598 ms,8.0925 ms,6.598 ms,9.587 ms,2
2025-04-22T11:40:00.027081Z,2025-04-22T11:40:00.034562Z,7.481 ms,7.888666666666667 ms,6.598 ms,9.587 ms,3
2025-04-22T11:40:00.530244Z,2025-04-22T11:40:00.536174Z,5.930000000000001 ms,7.399 ms,5.930000000000001 ms,9.587 ms,4
2025-04-22T11:40:01.034417Z,2025-04-22T11:40:01.041280Z,6.863 ms,7.291799999999999 ms,5.930000000000001 ms,9.587 ms,5
2025-04-22T11:40:01.536504Z,2025-04-22T11:40:01.542505Z,6.001 ms,7.076666666666666 ms,5.930000000000001 ms,9.587 ms,6
2025-04-22T11:40:02.039533Z,2025-04-22T11:40:02.048538Z,9.005 ms,7.352142857142857 ms,5.930000000000001 ms,9.587 ms,7
2025-04-22T11:40:02.541936Z,2025-04-22T11:40:02.547999Z,6.063 ms,7.191 ms,5.930000000000001 ms,9.587 ms,8
2025-04-22T11:40:03.044834Z,2025-04-22T11:40:03.050998Z,6.164000000000001 ms,7.076888888888889 ms,5.930000000000001 ms,9.587 ms,9
2025-04-22T11:40:03.547727Z,2025-04-22T11:40:03.553646Z,5.919 ms,6.961099999999999 ms,5.919 ms,9.587 ms,10
2025-04-22T11:40:04.050809Z,2025-04-22T11:40:04.057170Z,6.361000000000001 ms,6.906545454545454 ms,5.919 ms,9.587 ms,11
2025-04-22T11:40:04.553656Z,2025-04-22T11:40:04.559550Z,5.894 ms,6.822166666666666 ms,5.894 ms,9.587 ms,12
2025-04-22T11:40:05.056310Z,2025-04-22T11:40:05.061896Z,5.585999999999999 ms,6.727076923076923 ms,5.585999999999999 ms,9.587 ms,13
2025-04-22T11:40:05.559121Z,2025-04-22T11:40:05.565792Z,6.671 ms,6.723071428571427 ms,5.585999999999999 ms,9.587 ms,14
2025-04-22T11:40:06.062083Z,2025-04-22T11:40:06.068013Z,5.930000000000001 ms,6.6701999999999995 ms,5.585999999999999 ms,9.587 ms,15
2025-04-22T11:40:06.565105Z,2025-04-22T11:40:06.571339Z,6.234 ms,6.6429374999999995 ms,5.585999999999999 ms,9.587 ms,16
