observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T20:08:09.011255Z,2025-04-20T20:08:09.455793Z,444.538 ms,444.538 ms,444.538 ms,444.538 ms,1
2025-04-20T20:08:09.438428Z,2025-04-20T20:08:09.569171Z,130.743 ms,287.6405 ms,130.743 ms,444.538 ms,2
2025-04-20T20:08:09.556387Z,2025-04-20T20:08:09.668520Z,112.133 ms,229.13799999999998 ms,112.133 ms,444.538 ms,3
2025-04-20T20:08:09.656363Z,2025-04-20T20:08:09.762823Z,106.46 ms,198.4685 ms,106.46 ms,444.538 ms,4
2025-04-20T20:08:09.747748Z,2025-04-20T20:08:09.856460Z,108.712 ms,180.5172 ms,106.46 ms,444.538 ms,5
2025-04-20T20:08:09.843199Z,2025-04-20T20:08:09.933998Z,90.799 ms,165.56416666666667 ms,90.799 ms,444.538 ms,6
2025-04-20T20:08:09.918055Z,2025-04-20T20:08:10.002170Z,84.115 ms,153.92857142857142 ms,84.115 ms,444.538 ms,7
2025-04-20T20:08:09.986212Z,2025-04-20T20:08:10.073333Z,87.12100000000001 ms,145.57762499999998 ms,84.115 ms,444.538 ms,8
2025-04-20T20:08:10.060091Z,2025-04-20T20:08:10.146656Z,86.565 ms,139.02066666666664 ms,84.115 ms,444.538 ms,9
2025-04-20T20:08:10.131246Z,2025-04-20T20:08:10.218530Z,87.284 ms,133.84699999999998 ms,84.115 ms,444.538 ms,10
2025-04-20T20:08:10.202926Z,2025-04-20T20:08:10.287978Z,85.052 ms,129.4110909090909 ms,84.115 ms,444.538 ms,11
2025-04-20T20:08:10.274522Z,2025-04-20T20:08:10.360221Z,85.699 ms,125.76841666666664 ms,84.115 ms,444.538 ms,12
2025-04-20T20:08:10.347663Z,2025-04-20T20:08:10.429589Z,81.926 ms,122.39592307692305 ms,81.926 ms,444.538 ms,13
2025-04-20T20:08:10.417631Z,2025-04-20T20:08:10.497081Z,79.45 ms,119.32835714285713 ms,79.45 ms,444.538 ms,14
2025-04-20T20:08:10.483789Z,2025-04-20T20:08:10.569864Z,86.075 ms,117.11146666666663 ms,79.45 ms,444.538 ms,15
2025-04-20T20:08:10.557124Z,2025-04-20T20:08:10.631355Z,74.23100000000001 ms,114.43143749999997 ms,74.23100000000001 ms,444.538 ms,16
2025-04-20T20:08:10.614621Z,2025-04-20T20:08:10.699049Z,84.428 ms,112.66652941176469 ms,74.23100000000001 ms,444.538 ms,17
2025-04-20T20:08:10.676724Z,2025-04-20T20:08:10.757058Z,80.334 ms,110.87027777777774 ms,74.23100000000001 ms,444.538 ms,18
2025-04-20T20:08:10.744385Z,2025-04-20T20:08:10.815123Z,70.738 ms,108.7580526315789 ms,70.738 ms,444.538 ms,19
2025-04-20T20:08:10.801524Z,2025-04-20T20:08:10.872033Z,70.509 ms,106.84559999999996 ms,70.509 ms,444.538 ms,20
2025-04-20T20:08:10.859672Z,2025-04-20T20:08:10.929486Z,69.81400000000001 ms,105.08219047619043 ms,69.81400000000001 ms,444.538 ms,21
2025-04-20T20:08:10.913242Z,2025-04-20T20:08:10.981714Z,68.47200000000001 ms,103.41809090909088 ms,68.47200000000001 ms,444.538 ms,22
2025-04-20T20:08:10.968600Z,2025-04-20T20:08:11.034586Z,65.986 ms,101.79060869565214 ms,65.986 ms,444.538 ms,23
2025-04-20T20:08:11.022521Z,2025-04-20T20:08:11.092910Z,70.389 ms,100.4822083333333 ms,65.986 ms,444.538 ms,24
2025-04-20T20:08:11.080588Z,2025-04-20T20:08:11.159383Z,78.795 ms,99.61471999999998 ms,65.986 ms,444.538 ms,25
2025-04-20T20:08:11.143530Z,2025-04-20T20:08:11.208581Z,65.051 ms,98.28534615384612 ms,65.051 ms,444.538 ms,26
2025-04-20T20:08:11.196476Z,2025-04-20T20:08:11.259686Z,63.21 ms,96.98625925925924 ms,63.21 ms,444.538 ms,27
2025-04-20T20:08:11.246513Z,2025-04-20T20:08:11.312281Z,65.76799999999999 ms,95.87132142857139 ms,63.21 ms,444.538 ms,28
2025-04-20T20:08:11.299770Z,2025-04-20T20:08:11.368885Z,69.115 ms,94.94868965517239 ms,63.21 ms,444.538 ms,29
2025-04-20T20:08:11.352758Z,2025-04-20T20:08:11.417458Z,64.69999999999999 ms,93.94039999999998 ms,63.21 ms,444.538 ms,30
2025-04-20T20:08:11.405327Z,2025-04-20T20:08:11.470169Z,64.842 ms,93.00174193548385 ms,63.21 ms,444.538 ms,31
2025-04-20T20:08:11.456705Z,2025-04-20T20:08:11.517925Z,61.22 ms,92.00856249999998 ms,61.22 ms,444.538 ms,32
2025-04-20T20:08:11.506346Z,2025-04-20T20:08:11.581430Z,75.084 ms,91.49569696969695 ms,61.22 ms,444.538 ms,33
2025-04-20T20:08:11.559006Z,2025-04-20T20:08:11.646986Z,87.98 ms,91.39229411764704 ms,61.22 ms,444.538 ms,34
2025-04-20T20:08:11.632822Z,2025-04-20T20:08:11.726883Z,94.061 ms,91.46854285714284 ms,61.22 ms,444.538 ms,35
2025-04-20T20:08:11.714507Z,2025-04-20T20:08:11.790269Z,75.762 ms,91.03224999999998 ms,61.22 ms,444.538 ms,36
2025-04-20T20:08:11.766506Z,2025-04-20T20:08:11.831495Z,64.989 ms,90.32837837837837 ms,61.22 ms,444.538 ms,37
2025-04-20T20:08:11.815719Z,2025-04-20T20:08:11.876328Z,60.609 ms,89.5462894736842 ms,60.609 ms,444.538 ms,38
2025-04-20T20:08:11.862841Z,2025-04-20T20:08:11.921347Z,58.506 ms,88.7503846153846 ms,58.506 ms,444.538 ms,39
2025-04-20T20:08:11.909062Z,2025-04-20T20:08:11.966103Z,57.041000000000004 ms,87.95764999999999 ms,57.041000000000004 ms,444.538 ms,40
2025-04-20T20:08:11.954578Z,2025-04-20T20:08:12.014666Z,60.088 ms,87.27790243902437 ms,57.041000000000004 ms,444.538 ms,41
2025-04-20T20:08:12.002116Z,2025-04-20T20:08:12.065130Z,63.014 ms,86.70019047619046 ms,57.041000000000004 ms,444.538 ms,42
2025-04-20T20:08:12.052315Z,2025-04-20T20:08:12.114054Z,61.739000000000004 ms,86.1196976744186 ms,57.041000000000004 ms,444.538 ms,43
2025-04-20T20:08:12.101005Z,2025-04-20T20:08:12.160811Z,59.806 ms,85.52165909090908 ms,57.041000000000004 ms,444.538 ms,44
2025-04-20T20:08:12.148101Z,2025-04-20T20:08:12.218123Z,70.022 ms,85.17722222222221 ms,57.041000000000004 ms,444.538 ms,45
2025-04-20T20:08:12.203451Z,2025-04-20T20:08:12.260742Z,57.291000000000004 ms,84.571 ms,57.041000000000004 ms,444.538 ms,46
2025-04-20T20:08:12.249051Z,2025-04-20T20:08:12.306350Z,57.299 ms,83.99074468085105 ms,57.041000000000004 ms,444.538 ms,47
2025-04-20T20:08:12.293794Z,2025-04-20T20:08:12.351221Z,57.427 ms,83.43733333333333 ms,57.041000000000004 ms,444.538 ms,48
2025-04-20T20:08:12.338690Z,2025-04-20T20:08:12.397417Z,58.727000000000004 ms,82.93304081632654 ms,57.041000000000004 ms,444.538 ms,49
2025-04-20T20:08:12.385758Z,2025-04-20T20:08:12.442636Z,56.878 ms,82.41194 ms,56.878 ms,444.538 ms,50
2025-04-20T20:08:12.430111Z,2025-04-20T20:08:12.490254Z,60.143 ms,81.97529411764707 ms,56.878 ms,444.538 ms,51
2025-04-20T20:08:12.478863Z,2025-04-20T20:08:12.540618Z,61.754999999999995 ms,81.58644230769231 ms,56.878 ms,444.538 ms,52
2025-04-20T20:08:12.527859Z,2025-04-20T20:08:12.586622Z,58.763000000000005 ms,81.15581132075471 ms,56.878 ms,444.538 ms,53
2025-04-20T20:08:12.573972Z,2025-04-20T20:08:12.635925Z,61.953 ms,80.80020370370369 ms,56.878 ms,444.538 ms,54
2025-04-20T20:08:12.618170Z,2025-04-20T20:08:12.674975Z,56.805 ms,80.36392727272725 ms,56.805 ms,444.538 ms,55
2025-04-20T20:08:12.662200Z,2025-04-20T20:08:12.741835Z,79.63499999999999 ms,80.3509107142857 ms,56.805 ms,444.538 ms,56
2025-04-20T20:08:12.727853Z,2025-04-20T20:08:12.787034Z,59.181 ms,79.9795087719298 ms,56.805 ms,444.538 ms,57
2025-04-20T20:08:12.774607Z,2025-04-20T20:08:12.841064Z,66.45700000000001 ms,79.74636206896548 ms,56.805 ms,444.538 ms,58
2025-04-20T20:08:12.819873Z,2025-04-20T20:08:12.881980Z,62.107 ms,79.44738983050846 ms,56.805 ms,444.538 ms,59
2025-04-20T20:08:12.864975Z,2025-04-20T20:08:12.920878Z,55.903 ms,79.05498333333331 ms,55.903 ms,444.538 ms,60
2025-04-20T20:08:12.908140Z,2025-04-20T20:08:12.963672Z,55.532 ms,78.66936065573769 ms,55.532 ms,444.538 ms,61
2025-04-20T20:08:12.950831Z,2025-04-20T20:08:13.013191Z,62.36 ms,78.40630645161288 ms,55.532 ms,444.538 ms,62
2025-04-20T20:08:12.994760Z,2025-04-20T20:08:13.052240Z,57.480000000000004 ms,78.07414285714285 ms,55.532 ms,444.538 ms,63
2025-04-20T20:08:13.037570Z,2025-04-20T20:08:13.095627Z,58.056999999999995 ms,77.76137499999999 ms,55.532 ms,444.538 ms,64
2025-04-20T20:08:13.081417Z,2025-04-20T20:08:13.137418Z,56.001000000000005 ms,77.42659999999998 ms,55.532 ms,444.538 ms,65
2025-04-20T20:08:13.123756Z,2025-04-20T20:08:13.212129Z,88.37299999999999 ms,77.59245454545452 ms,55.532 ms,444.538 ms,66
2025-04-20T20:08:13.184849Z,2025-04-20T20:08:13.249770Z,64.921 ms,77.40332835820894 ms,55.532 ms,444.538 ms,67
2025-04-20T20:08:13.227824Z,2025-04-20T20:08:13.287600Z,59.776 ms,77.14410294117646 ms,55.532 ms,444.538 ms,68
2025-04-20T20:08:13.270574Z,2025-04-20T20:08:13.326091Z,55.516999999999996 ms,76.83066666666666 ms,55.516999999999996 ms,444.538 ms,69
2025-04-20T20:08:13.312903Z,2025-04-20T20:08:13.371983Z,59.08 ms,76.5770857142857 ms,55.516999999999996 ms,444.538 ms,70
