observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-05-21T21:49:03.089014Z,2025-05-21T21:49:03.093613Z,4.599 ms,4.599 ms,4.599 ms,4.599 ms,1
2025-05-21T21:49:03.137794Z,2025-05-21T21:49:03.138825Z,1.031 ms,2.815 ms,1.031 ms,4.599 ms,2
2025-05-21T21:49:03.169278Z,2025-05-21T21:49:03.170198Z,0.92 ms,2.183333333333333 ms,0.92 ms,4.599 ms,3
2025-05-21T21:49:03.199965Z,2025-05-21T21:49:03.200899Z,0.934 ms,1.8709999999999998 ms,0.92 ms,4.599 ms,4
2025-05-21T21:49:03.231316Z,2025-05-21T21:49:03.232316Z,1.0 ms,1.6967999999999996 ms,0.92 ms,4.599 ms,5
2025-05-21T21:49:03.262402Z,2025-05-21T21:49:03.263401Z,0.9990000000000001 ms,1.5804999999999996 ms,0.92 ms,4.599 ms,6
2025-05-21T21:49:03.293169Z,2025-05-21T21:49:03.294088Z,0.919 ms,1.4859999999999998 ms,0.919 ms,4.599 ms,7
2025-05-21T21:49:03.323543Z,2025-05-21T21:49:03.324470Z,0.9269999999999999 ms,1.4161249999999999 ms,0.919 ms,4.599 ms,8
2025-05-21T21:49:03.354162Z,2025-05-21T21:49:03.355169Z,1.0070000000000001 ms,1.3706666666666667 ms,0.919 ms,4.599 ms,9
2025-05-21T21:49:03.387200Z,2025-05-21T21:49:03.388143Z,0.9430000000000001 ms,1.3278999999999999 ms,0.919 ms,4.599 ms,10
2025-05-21T21:49:04.351669Z,2025-05-21T21:49:04.353080Z,1.411 ms,1.3354545454545452 ms,0.919 ms,4.599 ms,11
2025-05-21T21:49:04.388070Z,2025-05-21T21:49:04.389087Z,1.017 ms,1.3089166666666665 ms,0.919 ms,4.599 ms,12
2025-05-21T21:49:04.418547Z,2025-05-21T21:49:04.419558Z,1.011 ms,1.286 ms,0.919 ms,4.599 ms,13
2025-05-21T21:49:04.449325Z,2025-05-21T21:49:04.450346Z,1.021 ms,1.2670714285714286 ms,0.919 ms,4.599 ms,14
2025-05-21T21:49:04.480127Z,2025-05-21T21:49:04.484001Z,3.8739999999999997 ms,1.4408666666666665 ms,0.919 ms,4.599 ms,15
2025-05-21T21:49:04.513860Z,2025-05-21T21:49:04.514901Z,1.0410000000000001 ms,1.415875 ms,0.919 ms,4.599 ms,16
2025-05-21T21:49:04.544296Z,2025-05-21T21:49:04.545248Z,0.9520000000000001 ms,1.388588235294118 ms,0.919 ms,4.599 ms,17
2025-05-21T21:49:04.574719Z,2025-05-21T21:49:04.575715Z,0.9959999999999999 ms,1.3667777777777779 ms,0.919 ms,4.599 ms,18
2025-05-21T21:49:04.604931Z,2025-05-21T21:49:04.605950Z,1.019 ms,1.3484736842105263 ms,0.919 ms,4.599 ms,19
2025-05-21T21:49:04.636498Z,2025-05-21T21:49:04.640500Z,4.002000000000001 ms,1.4811500000000002 ms,0.919 ms,4.599 ms,20
2025-05-21T21:49:06.406677Z,2025-05-21T21:49:06.407936Z,1.259 ms,1.4705714285714286 ms,0.919 ms,4.599 ms,21
2025-05-21T21:49:06.442734Z,2025-05-21T21:49:06.443783Z,1.049 ms,1.4514090909090909 ms,0.919 ms,4.599 ms,22
2025-05-21T21:49:06.473301Z,2025-05-21T21:49:06.474206Z,0.905 ms,1.4276521739130437 ms,0.905 ms,4.599 ms,23
2025-05-21T21:49:06.503422Z,2025-05-21T21:49:06.504471Z,1.049 ms,1.4118750000000002 ms,0.905 ms,4.599 ms,24
2025-05-21T21:49:06.534176Z,2025-05-21T21:49:06.537994Z,3.818 ms,1.5081200000000003 ms,0.905 ms,4.599 ms,25
2025-05-21T21:49:06.567679Z,2025-05-21T21:49:06.568613Z,0.934 ms,1.4860384615384619 ms,0.905 ms,4.599 ms,26
2025-05-21T21:49:06.597616Z,2025-05-21T21:49:06.598545Z,0.929 ms,1.4654074074074075 ms,0.905 ms,4.599 ms,27
2025-05-21T21:49:06.629237Z,2025-05-21T21:49:06.630231Z,0.9940000000000001 ms,1.4485714285714288 ms,0.905 ms,4.599 ms,28
2025-05-21T21:49:06.660932Z,2025-05-21T21:49:06.662039Z,1.107 ms,1.436793103448276 ms,0.905 ms,4.599 ms,29
2025-05-21T21:49:06.691777Z,2025-05-21T21:49:06.695799Z,4.022 ms,1.5229666666666668 ms,0.905 ms,4.599 ms,30
2025-05-21T21:49:10.622989Z,2025-05-21T21:49:10.624207Z,1.218 ms,1.5131290322580644 ms,0.905 ms,4.599 ms,31
2025-05-21T21:49:10.658978Z,2025-05-21T21:49:10.660003Z,1.0250000000000001 ms,1.4978749999999998 ms,0.905 ms,4.599 ms,32
2025-05-21T21:49:10.689232Z,2025-05-21T21:49:10.690132Z,0.9 ms,1.4797575757575754 ms,0.9 ms,4.599 ms,33
2025-05-21T21:49:10.719784Z,2025-05-21T21:49:10.720837Z,1.053 ms,1.467205882352941 ms,0.9 ms,4.599 ms,34
2025-05-21T21:49:10.752593Z,2025-05-21T21:49:10.763289Z,10.696000000000002 ms,1.7308857142857144 ms,0.9 ms,10.696000000000002 ms,35
2025-05-21T21:49:10.793072Z,2025-05-21T21:49:10.794038Z,0.966 ms,1.7096388888888887 ms,0.9 ms,10.696000000000002 ms,36
2025-05-21T21:49:10.823284Z,2025-05-21T21:49:10.824220Z,0.9359999999999999 ms,1.6887297297297297 ms,0.9 ms,10.696000000000002 ms,37
2025-05-21T21:49:10.854494Z,2025-05-21T21:49:10.855547Z,1.053 ms,1.672 ms,0.9 ms,10.696000000000002 ms,38
2025-05-21T21:49:10.885979Z,2025-05-21T21:49:10.886957Z,0.9779999999999999 ms,1.6542051282051282 ms,0.9 ms,10.696000000000002 ms,39
2025-05-21T21:49:10.916497Z,2025-05-21T21:49:10.917525Z,1.028 ms,1.6385500000000002 ms,0.9 ms,10.696000000000002 ms,40
2025-05-21T21:49:12.498050Z,2025-05-21T21:49:12.499325Z,1.2750000000000001 ms,1.6296829268292685 ms,0.9 ms,10.696000000000002 ms,41
2025-05-21T21:49:12.535416Z,2025-05-21T21:49:12.536549Z,1.1329999999999998 ms,1.6178571428571427 ms,0.9 ms,10.696000000000002 ms,42
2025-05-21T21:49:12.567304Z,2025-05-21T21:49:12.568503Z,1.199 ms,1.6081162790697674 ms,0.9 ms,10.696000000000002 ms,43
2025-05-21T21:49:12.599386Z,2025-05-21T21:49:12.600482Z,1.0959999999999999 ms,1.596477272727273 ms,0.9 ms,10.696000000000002 ms,44
2025-05-21T21:49:12.630635Z,2025-05-21T21:49:12.631709Z,1.074 ms,1.5848666666666669 ms,0.9 ms,10.696000000000002 ms,45
2025-05-21T21:49:12.664831Z,2025-05-21T21:49:12.666077Z,1.246 ms,1.5775000000000001 ms,0.9 ms,10.696000000000002 ms,46
2025-05-21T21:49:12.696280Z,2025-05-21T21:49:12.697349Z,1.0690000000000002 ms,1.56668085106383 ms,0.9 ms,10.696000000000002 ms,47
2025-05-21T21:49:12.728196Z,2025-05-21T21:49:12.729293Z,1.0970000000000002 ms,1.5568958333333336 ms,0.9 ms,10.696000000000002 ms,48
2025-05-21T21:49:12.761108Z,2025-05-21T21:49:12.762371Z,1.2630000000000001 ms,1.5508979591836736 ms,0.9 ms,10.696000000000002 ms,49
2025-05-21T21:49:12.792866Z,2025-05-21T21:49:12.794139Z,1.2730000000000001 ms,1.5453400000000002 ms,0.9 ms,10.696000000000002 ms,50
2025-05-21T21:49:16.330477Z,2025-05-21T21:49:16.331730Z,1.253 ms,1.539607843137255 ms,0.9 ms,10.696000000000002 ms,51
2025-05-21T21:49:16.371390Z,2025-05-21T21:49:16.372395Z,1.0050000000000001 ms,1.5293269230769233 ms,0.9 ms,10.696000000000002 ms,52
2025-05-21T21:49:16.402302Z,2025-05-21T21:49:16.403407Z,1.105 ms,1.5213207547169811 ms,0.9 ms,10.696000000000002 ms,53
2025-05-21T21:49:16.433326Z,2025-05-21T21:49:16.434337Z,1.011 ms,1.5118703703703704 ms,0.9 ms,10.696000000000002 ms,54
2025-05-21T21:49:16.464395Z,2025-05-21T21:49:16.465414Z,1.019 ms,1.5029090909090912 ms,0.9 ms,10.696000000000002 ms,55
2025-05-21T21:49:16.494849Z,2025-05-21T21:49:16.495882Z,1.0330000000000001 ms,1.4945178571428575 ms,0.9 ms,10.696000000000002 ms,56
2025-05-21T21:49:16.527943Z,2025-05-21T21:49:16.528981Z,1.038 ms,1.486508771929825 ms,0.9 ms,10.696000000000002 ms,57
2025-05-21T21:49:16.558953Z,2025-05-21T21:49:16.560019Z,1.066 ms,1.4792586206896552 ms,0.9 ms,10.696000000000002 ms,58
2025-05-21T21:49:16.589417Z,2025-05-21T21:49:16.590478Z,1.0610000000000002 ms,1.472169491525424 ms,0.9 ms,10.696000000000002 ms,59
2025-05-21T21:49:16.620231Z,2025-05-21T21:49:16.621272Z,1.0410000000000001 ms,1.4649833333333335 ms,0.9 ms,10.696000000000002 ms,60
2025-05-21T21:49:17.336618Z,2025-05-21T21:49:17.337931Z,1.313 ms,1.4624918032786889 ms,0.9 ms,10.696000000000002 ms,61
2025-05-21T21:49:17.373747Z,2025-05-21T21:49:17.374762Z,1.0150000000000001 ms,1.4552741935483873 ms,0.9 ms,10.696000000000002 ms,62
2025-05-21T21:49:17.409708Z,2025-05-21T21:49:17.410834Z,1.1260000000000001 ms,1.4500476190476193 ms,0.9 ms,10.696000000000002 ms,63
2025-05-21T21:49:17.441164Z,2025-05-21T21:49:17.442226Z,1.062 ms,1.443984375 ms,0.9 ms,10.696000000000002 ms,64
2025-05-21T21:49:17.472027Z,2025-05-21T21:49:17.472996Z,0.969 ms,1.4366769230769232 ms,0.9 ms,10.696000000000002 ms,65
2025-05-21T21:49:17.502702Z,2025-05-21T21:49:17.503802Z,1.1 ms,1.4315757575757577 ms,0.9 ms,10.696000000000002 ms,66
2025-05-21T21:49:17.533259Z,2025-05-21T21:49:17.534287Z,1.028 ms,1.4255522388059703 ms,0.9 ms,10.696000000000002 ms,67
2025-05-21T21:49:17.563613Z,2025-05-21T21:49:17.568462Z,4.849 ms,1.4758970588235296 ms,0.9 ms,10.696000000000002 ms,68
2025-05-21T21:49:17.598247Z,2025-05-21T21:49:17.599361Z,1.1139999999999999 ms,1.4706521739130438 ms,0.9 ms,10.696000000000002 ms,69
2025-05-21T21:49:17.629518Z,2025-05-21T21:49:17.630582Z,1.064 ms,1.4648428571428573 ms,0.9 ms,10.696000000000002 ms,70
2025-05-21T21:49:18.928614Z,2025-05-21T21:49:18.929908Z,1.294 ms,1.4624366197183103 ms,0.9 ms,10.696000000000002 ms,71
