observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
1970-01-21T04:27:17.959168Z,2025-04-07T14:59:25.188691Z,1742293927229.523 ms,1742293927229.523 ms,1742293927229.523 ms,1742293927229.523 ms,1
1970-01-21T04:27:17.974208Z,2025-04-07T14:59:39.434307Z,1742293941460.0989 ms,1742293934344.811 ms,1742293927229.523 ms,1742293941460.0989 ms,2
1970-01-21T04:27:17.989230Z,2025-04-07T14:59:54.392614Z,1742293956403.384 ms,1742293941697.6687 ms,1742293927229.523 ms,1742293956403.384 ms,3
1970-01-21T04:27:17.998239Z,2025-04-07T15:00:03.434453Z,1742293965436.2139 ms,1742293947632.3052 ms,1742293927229.523 ms,1742293965436.2139 ms,4
1970-01-21T04:27:17.998239Z,2025-04-07T15:00:03.586317Z,1742293965588.0781 ms,1742293951223.4597 ms,1742293927229.523 ms,1742293965588.0781 ms,5
1970-01-21T04:27:17.999240Z,2025-04-07T15:00:03.667423Z,1742293965668.183 ms,1742293953630.9136 ms,1742293927229.523 ms,1742293965668.183 ms,6
1970-01-21T04:27:17.999240Z,2025-04-07T15:00:03.805935Z,1742293965806.695 ms,1742293955370.3105 ms,1742293927229.523 ms,1742293965806.695 ms,7
1970-01-21T04:27:18.001242Z,2025-04-07T15:00:03.889200Z,1742293965887.958 ms,1742293956685.0166 ms,1742293927229.523 ms,1742293965887.958 ms,8
1970-01-21T04:27:18.001242Z,2025-04-07T15:00:03.936531Z,1742293965935.2888 ms,1742293957712.8247 ms,1742293927229.523 ms,1742293965935.2888 ms,9
1970-01-21T04:27:18.005246Z,2025-04-07T15:00:10.397895Z,1742293972392.649 ms,1742293959180.8071 ms,1742293927229.523 ms,1742293972392.649 ms,10
1970-01-21T04:27:18.005246Z,2025-04-07T15:00:10.583455Z,1742293972578.209 ms,1742293960398.7527 ms,1742293927229.523 ms,1742293972578.209 ms,11
1970-01-21T04:27:18.009250Z,2025-04-07T15:00:10.622059Z,1742293972612.8088 ms,1742293961416.5906 ms,1742293927229.523 ms,1742293972612.8088 ms,12
1970-01-21T04:27:18.009250Z,2025-04-07T15:00:10.652963Z,1742293972643.713 ms,1742293962280.2153 ms,1742293927229.523 ms,1742293972643.713 ms,13
1970-01-21T04:27:18.013254Z,2025-04-07T15:00:18.374009Z,1742293980360.755 ms,1742293963571.6824 ms,1742293927229.523 ms,1742293980360.755 ms,14
1970-01-21T04:27:18.013254Z,2025-04-07T15:00:18.497815Z,1742293980484.561 ms,1742293964699.2078 ms,1742293927229.523 ms,1742293980484.561 ms,15
1970-01-21T04:27:18.017258Z,2025-04-07T15:00:18.553172Z,1742293980535.914 ms,1742293965689.002 ms,1742293927229.523 ms,1742293980535.914 ms,16
1970-01-21T04:27:18.017258Z,2025-04-07T15:00:18.599435Z,1742293980582.177 ms,1742293966565.071 ms,1742293927229.523 ms,1742293980582.177 ms,17
1970-01-21T04:27:18.019260Z,2025-04-07T15:00:24.368828Z,1742293986349.5679 ms,1742293967664.21 ms,1742293927229.523 ms,1742293986349.5679 ms,18
1970-01-21T04:27:18.021262Z,2025-04-07T15:00:24.456037Z,1742293986434.7751 ms,1742293968652.1345 ms,1742293927229.523 ms,1742293986434.7751 ms,19
