observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-31T14:53:55.952Z,2024-05-31T14:53:55.972012Z,2024-05-31T14:53:55.972667Z,45.748 ms,0.659766 ms,0.659766 ms,0.659766 ms,0.659766 ms,1
2024-05-31T14:53:55.969Z,2024-05-31T14:53:56.007088Z,2024-05-31T14:53:56.007802Z,56.195 ms,0.715346 ms,0.687556 ms,0.659766 ms,0.715346 ms,2
2024-05-31T14:53:55.977Z,2024-05-31T14:53:56.026716Z,2024-05-31T14:53:56.027131Z,62.6 ms,0.416138 ms,0.5970833333333334 ms,0.416138 ms,0.715346 ms,3
2024-05-31T14:53:55.985Z,2024-05-31T14:53:56.040719Z,2024-05-31T14:53:56.041030Z,64.94 ms,0.311836 ms,0.5257715 ms,0.311836 ms,0.715346 ms,4
2024-05-31T14:53:55.997Z,2024-05-31T14:53:56.053629Z,2024-05-31T14:53:56.053893Z,63.541 ms,0.264348 ms,0.4734868 ms,0.264348 ms,0.715346 ms,5
2024-05-31T14:53:56.004Z,2024-05-31T14:53:56.061161Z,2024-05-31T14:53:56.061334Z,62.644000000000005 ms,0.172963 ms,0.4233995 ms,0.172963 ms,0.715346 ms,6
2024-05-31T14:53:56.012Z,2024-05-31T14:53:56.067176Z,2024-05-31T14:53:56.067321Z,59.896 ms,0.14556 ms,0.38370814285714283 ms,0.14556 ms,0.715346 ms,7
2024-05-31T14:53:56.020Z,2024-05-31T14:53:56.072353Z,2024-05-31T14:53:56.072482Z,56.678 ms,0.128788 ms,0.351843125 ms,0.128788 ms,0.715346 ms,8
2024-05-31T14:53:56.025Z,2024-05-31T14:53:56.077119Z,2024-05-31T14:53:56.077239Z,56.252 ms,0.119932 ms,0.32607522222222224 ms,0.119932 ms,0.715346 ms,9
2024-05-31T14:53:56.031Z,2024-05-31T14:53:56.081673Z,2024-05-31T14:53:56.081790Z,54.751 ms,0.117539 ms,0.3052216 ms,0.117539 ms,0.715346 ms,10
2024-05-31T14:53:56.036Z,2024-05-31T14:53:56.086192Z,2024-05-31T14:53:56.086316Z,54.415 ms,0.12461 ms,0.28880236363636363 ms,0.117539 ms,0.715346 ms,11
2024-05-31T14:53:56.040Z,2024-05-31T14:53:56.090856Z,2024-05-31T14:53:56.090978Z,54.833 ms,0.121533 ms,0.27486325 ms,0.117539 ms,0.715346 ms,12
2024-05-31T14:54:01.312Z,2024-05-31T14:54:01.321393Z,2024-05-31T14:54:01.322024Z,15.533 ms,0.633819 ms,0.3024752307692308 ms,0.117539 ms,0.715346 ms,13
2024-05-31T14:54:01.319Z,2024-05-31T14:54:01.329200Z,2024-05-31T14:54:01.329346Z,14.996 ms,0.146291 ms,0.2913192142857143 ms,0.117539 ms,0.715346 ms,14
2024-05-31T14:54:01.324Z,2024-05-31T14:54:01.334536Z,2024-05-31T14:54:01.334685Z,15.658999999999999 ms,0.149165 ms,0.2818422666666667 ms,0.117539 ms,0.715346 ms,15
2024-05-31T14:54:01.326Z,2024-05-31T14:54:01.340172Z,2024-05-31T14:54:01.340321Z,19.133 ms,0.149396 ms,0.273564375 ms,0.117539 ms,0.715346 ms,16
2024-05-31T14:54:01.327Z,2024-05-31T14:54:01.347290Z,2024-05-31T14:54:01.347457Z,25.547 ms,0.167277 ms,0.26731217647058825 ms,0.117539 ms,0.715346 ms,17
2024-05-31T14:54:01.329Z,2024-05-31T14:54:01.353064Z,2024-05-31T14:54:01.353207Z,28.991 ms,0.143771 ms,0.2604487777777778 ms,0.117539 ms,0.715346 ms,18
2024-05-31T14:54:01.330Z,2024-05-31T14:54:01.358493Z,2024-05-31T14:54:01.358635Z,33.535000000000004 ms,0.142182 ms,0.2542242105263158 ms,0.117539 ms,0.715346 ms,19
2024-05-31T14:54:01.332Z,2024-05-31T14:54:01.364053Z,2024-05-31T14:54:01.364196Z,37.012 ms,0.143054 ms,0.24866570000000002 ms,0.117539 ms,0.715346 ms,20
2024-05-31T14:54:01.334Z,2024-05-31T14:54:01.369560Z,2024-05-31T14:54:01.369710Z,40.521 ms,0.151252 ms,0.24402695238095237 ms,0.117539 ms,0.715346 ms,21
2024-05-31T14:54:01.336Z,2024-05-31T14:54:01.375048Z,2024-05-31T14:54:01.375198Z,44.098 ms,0.15005 ms,0.23975527272727273 ms,0.117539 ms,0.715346 ms,22
2024-05-31T14:54:01.338Z,2024-05-31T14:54:01.380617Z,2024-05-31T14:54:01.380761Z,47.474000000000004 ms,0.144621 ms,0.235619 ms,0.117539 ms,0.715346 ms,23
2024-05-31T14:54:01.339Z,2024-05-31T14:54:01.385987Z,2024-05-31T14:54:01.386129Z,51.906 ms,0.142059 ms,0.23172066666666666 ms,0.117539 ms,0.715346 ms,24
2024-05-31T14:54:06.187Z,2024-05-31T14:54:06.189897Z,2024-05-31T14:54:06.190042Z,7.545999999999999 ms,0.146047 ms,0.22829372 ms,0.117539 ms,0.715346 ms,25
2024-05-31T14:54:06.189Z,2024-05-31T14:54:06.196303Z,2024-05-31T14:54:06.196447Z,12.288 ms,0.144475 ms,0.22506992307692306 ms,0.117539 ms,0.715346 ms,26
2024-05-31T14:54:06.191Z,2024-05-31T14:54:06.201910Z,2024-05-31T14:54:06.202121Z,16.32 ms,0.211164 ms,0.2245548888888889 ms,0.117539 ms,0.715346 ms,27
2024-05-31T14:54:06.193Z,2024-05-31T14:54:06.207874Z,2024-05-31T14:54:06.208055Z,19.566 ms,0.181369 ms,0.2230125357142857 ms,0.117539 ms,0.715346 ms,28
2024-05-31T14:54:06.194Z,2024-05-31T14:54:06.214535Z,2024-05-31T14:54:06.214686Z,24.99 ms,0.15107 ms,0.22053175862068966 ms,0.117539 ms,0.715346 ms,29
2024-05-31T14:54:06.196Z,2024-05-31T14:54:06.219450Z,2024-05-31T14:54:06.219577Z,27.415 ms,0.126868 ms,0.21740963333333332 ms,0.117539 ms,0.715346 ms,30
2024-05-31T14:54:06.198Z,2024-05-31T14:54:06.223821Z,2024-05-31T14:54:06.223933Z,29.641000000000002 ms,0.112797 ms,0.21403503225806453 ms,0.112797 ms,0.715346 ms,31
2024-05-31T14:54:06.199Z,2024-05-31T14:54:06.228052Z,2024-05-31T14:54:06.228165Z,32.804 ms,0.112831 ms,0.21087240625 ms,0.112797 ms,0.715346 ms,32
2024-05-31T14:54:06.202Z,2024-05-31T14:54:06.232212Z,2024-05-31T14:54:06.232325Z,34.081 ms,0.113303 ms,0.20791575757575756 ms,0.112797 ms,0.715346 ms,33
2024-05-31T14:54:06.204Z,2024-05-31T14:54:06.236487Z,2024-05-31T14:54:06.236599Z,36.233000000000004 ms,0.112788 ms,0.20511788235294118 ms,0.112788 ms,0.715346 ms,34
2024-05-31T14:54:06.206Z,2024-05-31T14:54:06.240628Z,2024-05-31T14:54:06.240739Z,38.48 ms,0.112037 ms,0.20245842857142857 ms,0.112037 ms,0.715346 ms,35
2024-05-31T14:54:06.208Z,2024-05-31T14:54:06.244888Z,2024-05-31T14:54:06.244999Z,40.815999999999995 ms,0.111148 ms,0.1999220277777778 ms,0.111148 ms,0.715346 ms,36
2024-05-31T14:54:10.723Z,2024-05-31T14:54:10.726136Z,2024-05-31T14:54:10.726366Z,8.557 ms,0.230877 ms,0.20075864864864865 ms,0.111148 ms,0.715346 ms,37
2024-05-31T14:54:10.725Z,2024-05-31T14:54:10.733383Z,2024-05-31T14:54:10.733549Z,13.858 ms,0.166311 ms,0.19985213157894735 ms,0.111148 ms,0.715346 ms,38
2024-05-31T14:54:10.727Z,2024-05-31T14:54:10.739346Z,2024-05-31T14:54:10.739497Z,17.633 ms,0.15112 ms,0.19860258974358974 ms,0.111148 ms,0.715346 ms,39
2024-05-31T14:54:10.729Z,2024-05-31T14:54:10.745158Z,2024-05-31T14:54:10.745336Z,21.118000000000002 ms,0.178621 ms,0.19810304999999997 ms,0.111148 ms,0.715346 ms,40
2024-05-31T14:54:10.731Z,2024-05-31T14:54:10.750587Z,2024-05-31T14:54:10.750794Z,24.621000000000002 ms,0.207219 ms,0.19832539024390244 ms,0.111148 ms,0.715346 ms,41
2024-05-31T14:54:10.733Z,2024-05-31T14:54:10.757653Z,2024-05-31T14:54:10.757827Z,29.662999999999997 ms,0.174155 ms,0.19774990476190477 ms,0.111148 ms,0.715346 ms,42
2024-05-31T14:54:10.734Z,2024-05-31T14:54:10.763163Z,2024-05-31T14:54:10.763302Z,33.632000000000005 ms,0.139108 ms,0.19638613953488374 ms,0.111148 ms,0.715346 ms,43
2024-05-31T14:54:10.737Z,2024-05-31T14:54:10.768056Z,2024-05-31T14:54:10.768190Z,35.673 ms,0.133875 ms,0.19496543181818182 ms,0.111148 ms,0.715346 ms,44
2024-05-31T14:54:10.738Z,2024-05-31T14:54:10.773131Z,2024-05-31T14:54:10.773303Z,39.817 ms,0.172068 ms,0.1944566 ms,0.111148 ms,0.715346 ms,45
2024-05-31T14:54:10.740Z,2024-05-31T14:54:10.778356Z,2024-05-31T14:54:10.778492Z,42.553 ms,0.135732 ms,0.19317997826086958 ms,0.111148 ms,0.715346 ms,46
2024-05-31T14:54:10.742Z,2024-05-31T14:54:10.783095Z,2024-05-31T14:54:10.783249Z,45.622 ms,0.154158 ms,0.19234972340425532 ms,0.111148 ms,0.715346 ms,47
