observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-11T10:48:43.986Z,2024-05-11T10:48:43.992467Z,2024-05-11T10:48:43.992657Z,41.189 ms,0.191247 ms,0.191247 ms,0.191247 ms,0.191247 ms,1
2024-05-11T10:48:43.991Z,2024-05-11T10:48:44.030081Z,2024-05-11T10:48:44.030256Z,64.243 ms,0.176114 ms,0.1836805 ms,0.176114 ms,0.191247 ms,2
2024-05-11T10:48:43.993Z,2024-05-11T10:48:44.055765Z,2024-05-11T10:48:44.055899Z,87.772 ms,0.134053 ms,0.167138 ms,0.134053 ms,0.191247 ms,3
2024-05-11T10:48:43.996Z,2024-05-11T10:48:44.081339Z,2024-05-11T10:48:44.081530Z,109.454 ms,0.190696 ms,0.1730275 ms,0.134053 ms,0.191247 ms,4
2024-05-11T10:48:43.999Z,2024-05-11T10:48:44.105952Z,2024-05-11T10:48:44.106095Z,116.125 ms,0.143246 ms,0.1670712 ms,0.134053 ms,0.191247 ms,5
2024-05-11T10:48:44.001Z,2024-05-11T10:48:44.115748Z,2024-05-11T10:48:44.115955Z,123.85000000000001 ms,0.20713 ms,0.17374766666666666 ms,0.134053 ms,0.20713 ms,6
2024-05-11T10:48:44.003Z,2024-05-11T10:48:44.125374Z,2024-05-11T10:48:44.125519Z,131.445 ms,0.14534 ms,0.16968942857142857 ms,0.134053 ms,0.20713 ms,7
2024-05-11T10:48:44.006Z,2024-05-11T10:48:44.135034Z,2024-05-11T10:48:44.135190Z,137.471 ms,0.156776 ms,0.16807525 ms,0.134053 ms,0.20713 ms,8
2024-05-11T10:48:44.009Z,2024-05-11T10:48:44.143888Z,2024-05-11T10:48:44.144009Z,143.84199999999998 ms,0.121197 ms,0.16286655555555557 ms,0.121197 ms,0.20713 ms,9
2024-05-11T10:48:44.011Z,2024-05-11T10:48:44.153335Z,2024-05-11T10:48:44.153480Z,151.18699999999998 ms,0.144998 ms,0.16107970000000002 ms,0.121197 ms,0.20713 ms,10
2024-05-11T10:48:44.013Z,2024-05-11T10:48:44.162784Z,2024-05-11T10:48:44.162989Z,158.387 ms,0.191011 ms,0.16380072727272726 ms,0.121197 ms,0.20713 ms,11
2024-05-11T10:48:44.015Z,2024-05-11T10:48:44.171904Z,2024-05-11T10:48:44.172033Z,165.266 ms,0.128775 ms,0.16088191666666665 ms,0.121197 ms,0.20713 ms,12
2024-05-11T10:48:48.836Z,2024-05-11T10:48:48.840116Z,2024-05-11T10:48:48.840255Z,25.389 ms,0.14113 ms,0.15936253846153847 ms,0.121197 ms,0.20713 ms,13
2024-05-11T10:48:48.839Z,2024-05-11T10:48:48.864589Z,2024-05-11T10:48:48.864759Z,37.993 ms,0.171772 ms,0.16024892857142858 ms,0.121197 ms,0.20713 ms,14
2024-05-11T10:48:48.841Z,2024-05-11T10:48:48.877507Z,2024-05-11T10:48:48.877655Z,60.519000000000005 ms,0.133681 ms,0.15847773333333334 ms,0.121197 ms,0.20713 ms,15
2024-05-11T10:48:48.843Z,2024-05-11T10:48:48.902008Z,2024-05-11T10:48:48.902150Z,70.133 ms,0.142203 ms,0.1574605625 ms,0.121197 ms,0.20713 ms,16
2024-05-11T10:48:48.845Z,2024-05-11T10:48:48.913589Z,2024-05-11T10:48:48.913720Z,81.615 ms,0.130956 ms,0.1559014705882353 ms,0.121197 ms,0.20713 ms,17
2024-05-11T10:48:48.848Z,2024-05-11T10:48:48.927199Z,2024-05-11T10:48:48.927358Z,91.438 ms,0.159212 ms,0.15608538888888887 ms,0.121197 ms,0.20713 ms,18
2024-05-11T10:48:48.850Z,2024-05-11T10:48:48.940001Z,2024-05-11T10:48:48.940134Z,101.342 ms,0.132656 ms,0.15485226315789474 ms,0.121197 ms,0.20713 ms,19
2024-05-11T10:48:48.852Z,2024-05-11T10:48:48.951831Z,2024-05-11T10:48:48.951965Z,110.957 ms,0.134703 ms,0.15384479999999998 ms,0.121197 ms,0.20713 ms,20
2024-05-11T10:48:48.854Z,2024-05-11T10:48:48.963466Z,2024-05-11T10:48:48.963605Z,119.256 ms,0.139636 ms,0.15316819047619049 ms,0.121197 ms,0.20713 ms,21
2024-05-11T10:48:48.856Z,2024-05-11T10:48:48.973768Z,2024-05-11T10:48:48.973901Z,128.50900000000001 ms,0.133624 ms,0.15227981818181818 ms,0.121197 ms,0.20713 ms,22
2024-05-11T10:48:48.859Z,2024-05-11T10:48:48.985023Z,2024-05-11T10:48:48.985156Z,134.834 ms,0.133694 ms,0.1514717391304348 ms,0.121197 ms,0.20713 ms,23
2024-05-11T10:48:48.861Z,2024-05-11T10:48:48.996122Z,2024-05-11T10:48:48.996291Z,144.83499999999998 ms,0.171273 ms,0.15229679166666665 ms,0.121197 ms,0.20713 ms,24
2024-05-11T10:48:53.807Z,2024-05-11T10:48:53.809821Z,2024-05-11T10:48:53.809982Z,12.706999999999999 ms,0.162214 ms,0.15269348000000002 ms,0.121197 ms,0.20713 ms,25
2024-05-11T10:48:53.809Z,2024-05-11T10:48:53.822962Z,2024-05-11T10:48:53.823116Z,24.781000000000002 ms,0.156531 ms,0.15284107692307694 ms,0.121197 ms,0.20713 ms,26
2024-05-11T10:48:53.811Z,2024-05-11T10:48:53.834412Z,2024-05-11T10:48:53.834555Z,37.693 ms,0.143354 ms,0.1524897037037037 ms,0.121197 ms,0.20713 ms,27
2024-05-11T10:48:53.813Z,2024-05-11T10:48:53.849772Z,2024-05-11T10:48:53.849930Z,47.940000000000005 ms,0.15818 ms,0.15269292857142858 ms,0.121197 ms,0.20713 ms,28
2024-05-11T10:48:53.820Z,2024-05-11T10:48:53.863075Z,2024-05-11T10:48:53.863250Z,53.67100000000001 ms,0.176082 ms,0.15349944827586207 ms,0.121197 ms,0.20713 ms,29
2024-05-11T10:48:53.824Z,2024-05-11T10:48:53.874124Z,2024-05-11T10:48:53.874257Z,59.825 ms,0.132966 ms,0.152815 ms,0.121197 ms,0.20713 ms,30
2024-05-11T10:48:53.826Z,2024-05-11T10:48:53.884318Z,2024-05-11T10:48:53.884454Z,70.773 ms,0.136083 ms,0.1522752580645161 ms,0.121197 ms,0.20713 ms,31
2024-05-11T10:48:53.829Z,2024-05-11T10:48:53.897256Z,2024-05-11T10:48:53.897391Z,79.544 ms,0.13558 ms,0.15175353125 ms,0.121197 ms,0.20713 ms,32
2024-05-11T10:48:53.831Z,2024-05-11T10:48:53.909030Z,2024-05-11T10:48:53.909168Z,87.47099999999999 ms,0.138194 ms,0.15134263636363635 ms,0.121197 ms,0.20713 ms,33
2024-05-11T10:48:53.833Z,2024-05-11T10:48:53.918948Z,2024-05-11T10:48:53.919116Z,96.018 ms,0.167682 ms,0.15182320588235296 ms,0.121197 ms,0.20713 ms,34
2024-05-11T10:48:53.837Z,2024-05-11T10:48:53.929516Z,2024-05-11T10:48:53.929663Z,101.657 ms,0.147898 ms,0.15171105714285715 ms,0.121197 ms,0.20713 ms,35
2024-05-11T10:48:53.841Z,2024-05-11T10:48:53.939123Z,2024-05-11T10:48:53.939265Z,114.76400000000001 ms,0.142171 ms,0.15144605555555557 ms,0.121197 ms,0.20713 ms,36
2024-05-11T10:48:58.417Z,2024-05-11T10:48:58.420296Z,2024-05-11T10:48:58.420435Z,15.657999999999998 ms,0.140381 ms,0.151147 ms,0.121197 ms,0.20713 ms,37
2024-05-11T10:48:58.419Z,2024-05-11T10:48:58.435049Z,2024-05-11T10:48:58.435221Z,25.628 ms,0.173692 ms,0.1517402894736842 ms,0.121197 ms,0.20713 ms,38
2024-05-11T10:48:58.421Z,2024-05-11T10:48:58.445335Z,2024-05-11T10:48:58.445513Z,47.853 ms,0.178386 ms,0.1524235128205128 ms,0.121197 ms,0.20713 ms,39
2024-05-11T10:48:58.422Z,2024-05-11T10:48:58.469364Z,2024-05-11T10:48:58.469505Z,55.998 ms,0.141042 ms,0.152138975 ms,0.121197 ms,0.20713 ms,40
2024-05-11T10:48:58.424Z,2024-05-11T10:48:58.478473Z,2024-05-11T10:48:58.478609Z,62.949000000000005 ms,0.136275 ms,0.15175204878048779 ms,0.121197 ms,0.20713 ms,41
2024-05-11T10:48:58.426Z,2024-05-11T10:48:58.487455Z,2024-05-11T10:48:58.487610Z,69.903 ms,0.155275 ms,0.15183592857142858 ms,0.121197 ms,0.20713 ms,42
2024-05-11T10:48:58.428Z,2024-05-11T10:48:58.496419Z,2024-05-11T10:48:58.496558Z,77.964 ms,0.138929 ms,0.15153576744186045 ms,0.121197 ms,0.20713 ms,43
2024-05-11T10:48:58.430Z,2024-05-11T10:48:58.506570Z,2024-05-11T10:48:58.506714Z,84.97399999999999 ms,0.143907 ms,0.15136238636363636 ms,0.121197 ms,0.20713 ms,44
2024-05-11T10:48:58.431Z,2024-05-11T10:48:58.515459Z,2024-05-11T10:48:58.515595Z,93.434 ms,0.136039 ms,0.15102186666666667 ms,0.121197 ms,0.20713 ms,45
2024-05-11T10:48:58.434Z,2024-05-11T10:48:58.526996Z,2024-05-11T10:48:58.527158Z,102.853 ms,0.163348 ms,0.1512898260869565 ms,0.121197 ms,0.20713 ms,46
2024-05-11T10:48:58.437Z,2024-05-11T10:48:58.537405Z,2024-05-11T10:48:58.537604Z,108.106 ms,0.199633 ms,0.15231840425531915 ms,0.121197 ms,0.20713 ms,47
2024-05-11T10:48:58.439Z,2024-05-11T10:48:58.545729Z,2024-05-11T10:48:58.545868Z,114.65400000000001 ms,0.138263 ms,0.15202558333333335 ms,0.121197 ms,0.20713 ms,48
2024-05-11T10:49:03.431Z,2024-05-11T10:49:03.433990Z,2024-05-11T10:49:03.434126Z,14.741999999999999 ms,0.137691 ms,0.15173304081632655 ms,0.121197 ms,0.20713 ms,49
2024-05-11T10:49:03.433Z,2024-05-11T10:49:03.448267Z,2024-05-11T10:49:03.448522Z,24.749 ms,0.256569 ms,0.15382976 ms,0.121197 ms,0.256569 ms,50
2024-05-11T10:49:03.434Z,2024-05-11T10:49:03.458360Z,2024-05-11T10:49:03.458546Z,32.72 ms,0.185757 ms,0.15445578431372547 ms,0.121197 ms,0.256569 ms,51
