observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-05-11T09:13:06.443492Z,2024-05-11T09:13:06.457820Z,2024-05-11T09:13:06.459664Z,228.284 ms,1.845827 ms,1.845827 ms,1.845827 ms,1.845827 ms,1
2024-05-11T09:13:11.595559Z,2024-05-11T09:13:11.600827Z,2024-05-11T09:13:11.601870Z,206.704 ms,1.044521 ms,1.445174 ms,1.044521 ms,1.845827 ms,2
2024-05-11T09:13:16.470155Z,2024-05-11T09:13:16.475317Z,2024-05-11T09:13:16.476339Z,190.35 ms,1.022748 ms,1.3043653333333332 ms,1.022748 ms,1.845827 ms,3
2024-05-11T09:13:21.424486Z,2024-05-11T09:13:21.430036Z,2024-05-11T09:13:21.431040Z,241.151 ms,1.005272 ms,1.229592 ms,1.005272 ms,1.845827 ms,4
2024-05-11T09:13:26.875533Z,2024-05-11T09:13:26.880167Z,2024-05-11T09:13:26.881177Z,196.666 ms,1.010816 ms,1.1858368000000001 ms,1.005272 ms,1.845827 ms,5
2024-05-11T09:13:31.481947Z,2024-05-11T09:13:31.486734Z,2024-05-11T09:13:31.487779Z,188.361 ms,1.045599 ms,1.1624638333333333 ms,1.005272 ms,1.845827 ms,6
2024-05-11T09:13:36.919661Z,2024-05-11T09:13:36.924543Z,2024-05-11T09:13:36.925593Z,175.681 ms,1.051305 ms,1.146584 ms,1.005272 ms,1.845827 ms,7
2024-05-11T09:13:41.888459Z,2024-05-11T09:13:41.893094Z,2024-05-11T09:13:41.894090Z,174.073 ms,0.997879 ms,1.127995875 ms,0.997879 ms,1.845827 ms,8
2024-05-11T09:13:47.191314Z,2024-05-11T09:13:47.196350Z,2024-05-11T09:13:47.197341Z,179.604 ms,0.992161 ms,1.112903111111111 ms,0.992161 ms,1.845827 ms,9
2024-05-11T09:13:51.863549Z,2024-05-11T09:13:51.868357Z,2024-05-11T09:13:51.869364Z,161.69 ms,1.007491 ms,1.1023619 ms,0.992161 ms,1.845827 ms,10
2024-05-11T09:13:56.808531Z,2024-05-11T09:13:56.813431Z,2024-05-11T09:13:56.814444Z,173.22199999999998 ms,1.014609 ms,1.0943843636363635 ms,0.992161 ms,1.845827 ms,11
2024-05-11T09:14:02.247557Z,2024-05-11T09:14:02.252226Z,2024-05-11T09:14:02.253257Z,155.939 ms,1.032952 ms,1.089265 ms,0.992161 ms,1.845827 ms,12
2024-05-11T09:14:07.353492Z,2024-05-11T09:14:07.358121Z,2024-05-11T09:14:07.359133Z,168.947 ms,1.013275 ms,1.0834196153846154 ms,0.992161 ms,1.845827 ms,13
2024-05-11T09:14:12.829169Z,2024-05-11T09:14:12.834098Z,2024-05-11T09:14:12.835103Z,163.055 ms,1.006326 ms,1.0779129285714286 ms,0.992161 ms,1.845827 ms,14
2024-05-11T09:14:17.959392Z,2024-05-11T09:14:17.964063Z,2024-05-11T09:14:17.965073Z,154.581 ms,1.011498 ms,1.0734852666666665 ms,0.992161 ms,1.845827 ms,15
