observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-06-01T13:33:30.467026Z,2024-06-01T13:33:30.481642Z,2024-06-01T13:33:30.484478Z,94.535 ms,2.838339 ms,2.838339 ms,2.838339 ms,2.838339 ms,1
2024-06-01T13:33:35.027018Z,2024-06-01T13:33:35.034938Z,2024-06-01T13:33:35.036839Z,92.278 ms,1.901987 ms,2.370163 ms,1.901987 ms,2.838339 ms,2
2024-06-01T13:33:40.083419Z,2024-06-01T13:33:40.095029Z,2024-06-01T13:33:40.097023Z,94.14500000000001 ms,1.995169 ms,2.245165 ms,1.901987 ms,2.838339 ms,3
2024-06-01T13:33:45.496045Z,2024-06-01T13:33:45.503645Z,2024-06-01T13:33:45.505623Z,89.211 ms,1.979466 ms,2.17874025 ms,1.901987 ms,2.838339 ms,4
2024-06-01T13:33:50.740442Z,2024-06-01T13:33:50.749465Z,2024-06-01T13:33:50.751468Z,90.662 ms,2.004941 ms,2.1439804 ms,1.901987 ms,2.838339 ms,5
2024-06-01T13:33:55.519493Z,2024-06-01T13:33:55.526883Z,2024-06-01T13:33:55.528754Z,88.128 ms,1.873055 ms,2.0988261666666665 ms,1.873055 ms,2.838339 ms,6
2024-06-01T13:34:00.689118Z,2024-06-01T13:34:00.700372Z,2024-06-01T13:34:00.702323Z,93.74499999999999 ms,1.951853 ms,2.07783 ms,1.873055 ms,2.838339 ms,7
2024-06-01T13:34:05.862820Z,2024-06-01T13:34:05.870092Z,2024-06-01T13:34:05.871964Z,91.87299999999999 ms,1.874649 ms,2.052432375 ms,1.873055 ms,2.838339 ms,8
2024-06-01T13:34:10.929627Z,2024-06-01T13:34:10.937192Z,2024-06-01T13:34:10.939072Z,88.81500000000001 ms,1.880975 ms,2.0333815555555557 ms,1.873055 ms,2.838339 ms,9
2024-06-01T13:34:15.588669Z,2024-06-01T13:34:15.604127Z,2024-06-01T13:34:15.606002Z,94.284 ms,1.858382 ms,2.0158816 ms,1.858382 ms,2.838339 ms,10
2024-06-01T13:34:20.416668Z,2024-06-01T13:34:20.432055Z,2024-06-01T13:34:20.433931Z,94.747 ms,1.876632 ms,2.0032225454545456 ms,1.858382 ms,2.838339 ms,11
2024-06-01T13:34:25.817069Z,2024-06-01T13:34:25.832177Z,2024-06-01T13:34:25.834065Z,94.594 ms,1.888791 ms,1.9936865833333333 ms,1.858382 ms,2.838339 ms,12
2024-06-01T13:34:31.292836Z,2024-06-01T13:34:31.308269Z,2024-06-01T13:34:31.310131Z,95.229 ms,1.862158 ms,1.983569 ms,1.858382 ms,2.838339 ms,13
2024-06-01T13:34:36.172619Z,2024-06-01T13:34:36.188242Z,2024-06-01T13:34:36.190168Z,96.339 ms,1.926948 ms,1.979524642857143 ms,1.858382 ms,2.838339 ms,14
2024-06-01T13:34:40.890271Z,2024-06-01T13:34:40.901171Z,2024-06-01T13:34:40.903189Z,91.511 ms,2.018911 ms,1.9821503999999999 ms,1.858382 ms,2.838339 ms,15
2024-06-01T13:34:46.036674Z,2024-06-01T13:34:46.052073Z,2024-06-01T13:34:46.054009Z,95.96499999999999 ms,1.937702 ms,1.979372375 ms,1.858382 ms,2.838339 ms,16
2024-06-01T13:34:51.156410Z,2024-06-01T13:34:51.172190Z,2024-06-01T13:34:51.174074Z,97.152 ms,1.885544 ms,1.9738530588235295 ms,1.858382 ms,2.838339 ms,17
2024-06-01T13:34:56.362523Z,2024-06-01T13:34:56.377066Z,2024-06-01T13:34:56.378984Z,96.369 ms,1.91907 ms,1.9708095555555556 ms,1.858382 ms,2.838339 ms,18
2024-06-01T13:35:01.259030Z,2024-06-01T13:35:01.274134Z,2024-06-01T13:35:01.275973Z,96.781 ms,1.840937 ms,1.963974157894737 ms,1.840937 ms,2.838339 ms,19
2024-06-01T13:35:06.132175Z,2024-06-01T13:35:06.142870Z,2024-06-01T13:35:06.144755Z,90.66000000000001 ms,1.885606 ms,1.96005575 ms,1.840937 ms,2.838339 ms,20
2024-06-01T13:35:11.148401Z,2024-06-01T13:35:11.164176Z,2024-06-01T13:35:11.166061Z,96.57499999999999 ms,1.885929 ms,1.9565259047619048 ms,1.840937 ms,2.838339 ms,21
2024-06-01T13:35:16.474889Z,2024-06-01T13:35:16.487579Z,2024-06-01T13:35:16.489588Z,94.194 ms,2.009671 ms,1.9589415909090908 ms,1.840937 ms,2.838339 ms,22
2024-06-01T13:35:21.612678Z,2024-06-01T13:35:21.628064Z,2024-06-01T13:35:21.630004Z,96.057 ms,1.941532 ms,1.958184652173913 ms,1.840937 ms,2.838339 ms,23
2024-06-01T13:35:26.888773Z,2024-06-01T13:35:26.903906Z,2024-06-01T13:35:26.905862Z,95.2 ms,1.956834 ms,1.958128375 ms,1.840937 ms,2.838339 ms,24
2024-06-01T13:35:32.042503Z,2024-06-01T13:35:32.050983Z,2024-06-01T13:35:32.052994Z,88.509 ms,2.012329 ms,1.9602963999999998 ms,1.840937 ms,2.838339 ms,25
2024-06-01T13:35:36.995540Z,2024-06-01T13:35:37.029588Z,2024-06-01T13:35:37.032765Z,115.101 ms,3.160798 ms,2.0064695384615385 ms,1.840937 ms,3.160798 ms,26
2024-06-01T13:35:41.856431Z,2024-06-01T13:35:41.869787Z,2024-06-01T13:35:41.871728Z,99.113 ms,1.942327 ms,2.004093888888889 ms,1.840937 ms,3.160798 ms,27
2024-06-01T13:35:47.196064Z,2024-06-01T13:35:47.202972Z,2024-06-01T13:35:47.204960Z,87.633 ms,1.988915 ms,2.0035517857142855 ms,1.840937 ms,3.160798 ms,28
2024-06-01T13:35:52.312222Z,2024-06-01T13:35:52.327590Z,2024-06-01T13:35:52.329518Z,95.129 ms,1.928775 ms,2.000973275862069 ms,1.840937 ms,3.160798 ms,29
2024-06-01T13:35:57.676476Z,2024-06-01T13:35:57.683107Z,2024-06-01T13:35:57.685127Z,87.55799999999999 ms,2.021578 ms,2.0016601 ms,1.840937 ms,3.160798 ms,30
2024-06-01T13:36:02.461389Z,2024-06-01T13:36:02.476675Z,2024-06-01T13:36:02.478559Z,94.921 ms,1.88575 ms,1.997921064516129 ms,1.840937 ms,3.160798 ms,31
2024-06-01T13:36:07.027914Z,2024-06-01T13:36:07.038626Z,2024-06-01T13:36:07.040521Z,92.553 ms,1.895977 ms,1.9947353125 ms,1.840937 ms,3.160798 ms,32
2024-06-01T13:36:11.936019Z,2024-06-01T13:36:11.946623Z,2024-06-01T13:36:11.948546Z,91.105 ms,1.925046 ms,1.992623515151515 ms,1.840937 ms,3.160798 ms,33
2024-06-01T13:36:16.646421Z,2024-06-01T13:36:16.653195Z,2024-06-01T13:36:16.655119Z,88.077 ms,1.926147 ms,1.9906683235294118 ms,1.840937 ms,3.160798 ms,34
2024-06-01T13:36:21.892937Z,2024-06-01T13:36:21.907834Z,2024-06-01T13:36:21.909801Z,93.832 ms,1.967735 ms,1.9900130857142857 ms,1.840937 ms,3.160798 ms,35
2024-06-01T13:36:26.446338Z,2024-06-01T13:36:26.461645Z,2024-06-01T13:36:26.463570Z,97.605 ms,1.927128 ms,1.9882662777777778 ms,1.840937 ms,3.160798 ms,36
2024-06-01T13:36:31.343443Z,2024-06-01T13:36:31.357062Z,2024-06-01T13:36:31.358968Z,95.339 ms,1.907605 ms,1.9860862432432433 ms,1.840937 ms,3.160798 ms,37
2024-06-01T13:36:36.417014Z,2024-06-01T13:36:36.427776Z,2024-06-01T13:36:36.429672Z,90.81 ms,1.896769 ms,1.9837357894736842 ms,1.840937 ms,3.160798 ms,38
2024-06-01T13:36:41.321609Z,2024-06-01T13:36:41.336476Z,2024-06-01T13:36:41.338367Z,94.97500000000001 ms,1.89251 ms,1.9813966666666667 ms,1.840937 ms,3.160798 ms,39
2024-06-01T13:36:46.600809Z,2024-06-01T13:36:46.611506Z,2024-06-01T13:36:46.613398Z,91.238 ms,1.893849 ms,1.979207975 ms,1.840937 ms,3.160798 ms,40
2024-06-01T13:36:51.444664Z,2024-06-01T13:36:51.459658Z,2024-06-01T13:36:51.461650Z,94.68799999999999 ms,1.993932 ms,1.9795670975609756 ms,1.840937 ms,3.160798 ms,41
2024-06-01T13:36:56.394383Z,2024-06-01T13:36:56.409598Z,2024-06-01T13:36:56.411500Z,95.766 ms,1.903426 ms,1.9777542142857143 ms,1.840937 ms,3.160798 ms,42
2024-06-01T13:37:01.532574Z,2024-06-01T13:37:01.566420Z,2024-06-01T13:37:01.576394Z,158.422 ms,9.97591 ms,2.1637578372093023 ms,1.840937 ms,9.97591 ms,43
2024-06-01T13:37:06.955798Z,2024-06-01T13:37:06.966388Z,2024-06-01T13:37:06.968360Z,90.474 ms,1.973104 ms,2.1594247954545454 ms,1.840937 ms,9.97591 ms,44
2024-06-01T13:37:11.509023Z,2024-06-01T13:37:11.524758Z,2024-06-01T13:37:11.526660Z,96.577 ms,1.90249 ms,2.1537151333333333 ms,1.840937 ms,9.97591 ms,45
2024-06-01T13:37:16.901706Z,2024-06-01T13:37:16.912351Z,2024-06-01T13:37:16.914303Z,90.86800000000001 ms,1.952524 ms,2.1493414130434783 ms,1.840937 ms,9.97591 ms,46
2024-06-01T13:37:21.999270Z,2024-06-01T13:37:22.014762Z,2024-06-01T13:37:22.016733Z,94.753 ms,1.972136 ms,2.145571085106383 ms,1.840937 ms,9.97591 ms,47
2024-06-01T13:37:26.779710Z,2024-06-01T13:37:26.790577Z,2024-06-01T13:37:26.792599Z,90.70599999999999 ms,2.0231 ms,2.1430196041666667 ms,1.840937 ms,9.97591 ms,48
2024-06-01T13:37:32.276478Z,2024-06-01T13:37:32.283392Z,2024-06-01T13:37:32.285297Z,89.285 ms,1.906625 ms,2.138195224489796 ms,1.840937 ms,9.97591 ms,49
2024-06-01T13:37:37.480556Z,2024-06-01T13:37:37.512617Z,2024-06-01T13:37:37.517764Z,114.971 ms,5.152357 ms,2.19847846 ms,1.840937 ms,9.97591 ms,50
2024-06-01T13:37:42.778695Z,2024-06-01T13:37:42.785307Z,2024-06-01T13:37:42.787206Z,89.267 ms,1.900812 ms,2.1926418627450976 ms,1.840937 ms,9.97591 ms,51
2024-06-01T13:37:48.008459Z,2024-06-01T13:37:48.015686Z,2024-06-01T13:37:48.017799Z,94.241 ms,2.114711 ms,2.1911431923076923 ms,1.840937 ms,9.97591 ms,52
2024-06-01T13:37:52.862543Z,2024-06-01T13:37:52.873284Z,2024-06-01T13:37:52.875169Z,90.062 ms,1.885989 ms,2.185385566037736 ms,1.840937 ms,9.97591 ms,53
2024-06-01T13:37:57.552592Z,2024-06-01T13:37:57.559284Z,2024-06-01T13:37:57.561268Z,85.763 ms,1.986101 ms,2.181695111111111 ms,1.840937 ms,9.97591 ms,54
2024-06-01T13:38:02.357164Z,2024-06-01T13:38:02.372339Z,2024-06-01T13:38:02.374199Z,94.957 ms,1.861507 ms,2.175873509090909 ms,1.840937 ms,9.97591 ms,55
2024-06-01T13:38:07.056806Z,2024-06-01T13:38:07.067272Z,2024-06-01T13:38:07.069166Z,89.828 ms,1.895854 ms,2.1708731607142857 ms,1.840937 ms,9.97591 ms,56
2024-06-01T13:38:12.129355Z,2024-06-01T13:38:12.144252Z,2024-06-01T13:38:12.146145Z,95.36200000000001 ms,1.894052 ms,2.166016649122807 ms,1.840937 ms,9.97591 ms,57
2024-06-01T13:38:17.564660Z,2024-06-01T13:38:17.571058Z,2024-06-01T13:38:17.572985Z,86.37599999999999 ms,1.928242 ms,2.1619170862068966 ms,1.840937 ms,9.97591 ms,58
2024-06-01T13:38:22.344542Z,2024-06-01T13:38:22.377674Z,2024-06-01T13:38:22.387586Z,153.63 ms,9.913776 ms,2.293304525423729 ms,1.840937 ms,9.97591 ms,59
2024-06-01T13:38:27.780153Z,2024-06-01T13:38:27.795294Z,2024-06-01T13:38:27.797268Z,94.7 ms,1.975333 ms,2.288005 ms,1.840937 ms,9.97591 ms,60
2024-06-01T13:38:32.690499Z,2024-06-01T13:38:32.701403Z,2024-06-01T13:38:32.703461Z,91.454 ms,2.059259 ms,2.2842550655737703 ms,1.840937 ms,9.97591 ms,61
2024-06-01T13:38:37.941154Z,2024-06-01T13:38:37.956194Z,2024-06-01T13:38:37.958130Z,95.307 ms,1.936699 ms,2.2786493225806455 ms,1.840937 ms,9.97591 ms,62
2024-06-01T13:38:43.270676Z,2024-06-01T13:38:43.281178Z,2024-06-01T13:38:43.283106Z,90.509 ms,1.929333 ms,2.273104619047619 ms,1.840937 ms,9.97591 ms,63
2024-06-01T13:38:48.758359Z,2024-06-01T13:38:48.766723Z,2024-06-01T13:38:48.768625Z,88.187 ms,1.903461 ms,2.2673289375 ms,1.840937 ms,9.97591 ms,64
2024-06-01T13:38:54.024681Z,2024-06-01T13:38:54.032799Z,2024-06-01T13:38:54.034703Z,88.13699999999999 ms,1.905519 ms,2.2617626307692307 ms,1.840937 ms,9.97591 ms,65
2024-06-01T13:38:59.115172Z,2024-06-01T13:38:59.129337Z,2024-06-01T13:38:59.131250Z,94.847 ms,1.913548 ms,2.2564866515151514 ms,1.840937 ms,9.97591 ms,66
2024-06-01T13:39:04.497140Z,2024-06-01T13:39:04.512209Z,2024-06-01T13:39:04.514140Z,94.979 ms,1.932541 ms,2.2516516417910446 ms,1.840937 ms,9.97591 ms,67
2024-06-01T13:39:09.955891Z,2024-06-01T13:39:09.970917Z,2024-06-01T13:39:09.972852Z,94.972 ms,1.936748 ms,2.2470207058823526 ms,1.840937 ms,9.97591 ms,68
2024-06-01T13:39:15.304676Z,2024-06-01T13:39:15.313747Z,2024-06-01T13:39:15.316711Z,90.468 ms,2.966219 ms,2.2574438695652175 ms,1.840937 ms,9.97591 ms,69
2024-06-01T13:39:20.796467Z,2024-06-01T13:39:20.803080Z,2024-06-01T13:39:20.805054Z,93.661 ms,1.975106 ms,2.2534104714285714 ms,1.840937 ms,9.97591 ms,70
2024-06-01T13:39:26.175807Z,2024-06-01T13:39:26.190896Z,2024-06-01T13:39:26.192789Z,96.944 ms,1.894298 ms,2.2483525492957748 ms,1.840937 ms,9.97591 ms,71
2024-06-01T13:39:31.512545Z,2024-06-01T13:39:31.523472Z,2024-06-01T13:39:31.525464Z,97.82100000000001 ms,1.992782 ms,2.2448029583333335 ms,1.840937 ms,9.97591 ms,72
2024-06-01T13:39:36.711468Z,2024-06-01T13:39:36.722016Z,2024-06-01T13:39:36.723883Z,89.609 ms,1.867229 ms,2.239630712328767 ms,1.840937 ms,9.97591 ms,73
2024-06-01T13:39:41.400058Z,2024-06-01T13:39:41.412594Z,2024-06-01T13:39:41.414475Z,92.02000000000001 ms,1.8815 ms,2.2347911081081078 ms,1.840937 ms,9.97591 ms,74
2024-06-01T13:39:46.788685Z,2024-06-01T13:39:46.796342Z,2024-06-01T13:39:46.798688Z,89.343 ms,2.347422 ms,2.2362928533333335 ms,1.840937 ms,9.97591 ms,75
2024-06-01T13:39:51.731712Z,2024-06-01T13:39:51.742008Z,2024-06-01T13:39:51.743898Z,90.91799999999999 ms,1.890896 ms,2.2317481578947365 ms,1.840937 ms,9.97591 ms,76
2024-06-01T13:39:56.247130Z,2024-06-01T13:39:56.261993Z,2024-06-01T13:39:56.263904Z,95.40899999999999 ms,1.911985 ms,2.2275953896103897 ms,1.840937 ms,9.97591 ms,77
2024-06-01T13:40:01.624620Z,2024-06-01T13:40:01.639883Z,2024-06-01T13:40:01.641839Z,95.568 ms,1.956645 ms,2.2241216666666666 ms,1.840937 ms,9.97591 ms,78
2024-06-01T13:40:06.768615Z,2024-06-01T13:40:06.775363Z,2024-06-01T13:40:06.777271Z,91.519 ms,1.908998 ms,2.220132759493671 ms,1.840937 ms,9.97591 ms,79
2024-06-01T13:40:11.968685Z,2024-06-01T13:40:11.975242Z,2024-06-01T13:40:11.977306Z,88.17899999999999 ms,2.064933 ms,2.2181927625 ms,1.840937 ms,9.97591 ms,80
2024-06-01T13:40:17.000070Z,2024-06-01T13:40:17.014985Z,2024-06-01T13:40:17.016952Z,94.957 ms,1.968051 ms,2.215104592592593 ms,1.840937 ms,9.97591 ms,81
2024-06-01T13:40:22.480694Z,2024-06-01T13:40:22.488862Z,2024-06-01T13:40:22.490772Z,88.713 ms,1.911577 ms,2.211403036585366 ms,1.840937 ms,9.97591 ms,82
2024-06-01T13:40:27.048691Z,2024-06-01T13:40:27.063865Z,2024-06-01T13:40:27.065790Z,95.815 ms,1.926094 ms,2.207965578313253 ms,1.840937 ms,9.97591 ms,83
2024-06-01T13:40:32.454851Z,2024-06-01T13:40:32.469948Z,2024-06-01T13:40:32.471896Z,95.222 ms,1.949144 ms,2.204884369047619 ms,1.840937 ms,9.97591 ms,84
2024-06-01T13:40:37.501935Z,2024-06-01T13:40:37.517165Z,2024-06-01T13:40:37.519016Z,95.61200000000001 ms,1.852061 ms,2.200733505882353 ms,1.840937 ms,9.97591 ms,85
2024-06-01T13:40:42.441253Z,2024-06-01T13:40:42.455975Z,2024-06-01T13:40:42.457876Z,97.188 ms,1.902285 ms,2.1972631744186044 ms,1.840937 ms,9.97591 ms,86
2024-06-01T13:40:47.060538Z,2024-06-01T13:40:47.075548Z,2024-06-01T13:40:47.077441Z,94.508 ms,1.894584 ms,2.193784103448276 ms,1.840937 ms,9.97591 ms,87
2024-06-01T13:40:51.700477Z,2024-06-01T13:40:51.715727Z,2024-06-01T13:40:51.717662Z,95.86200000000001 ms,1.935819 ms,2.1908526818181815 ms,1.840937 ms,9.97591 ms,88
2024-06-01T13:40:57.000068Z,2024-06-01T13:40:57.014943Z,2024-06-01T13:40:57.016921Z,94.58800000000001 ms,1.978925 ms,2.1884714719101126 ms,1.840937 ms,9.97591 ms,89
2024-06-01T13:41:02.174577Z,2024-06-01T13:41:02.189888Z,2024-06-01T13:41:02.191831Z,94.789 ms,1.944282 ms,2.1857582555555557 ms,1.840937 ms,9.97591 ms,90
2024-06-01T13:41:07.633413Z,2024-06-01T13:41:07.643877Z,2024-06-01T13:41:07.645820Z,93.173 ms,1.944411 ms,2.183106087912088 ms,1.840937 ms,9.97591 ms,91
2024-06-01T13:41:12.459689Z,2024-06-01T13:41:12.474903Z,2024-06-01T13:41:12.476855Z,94.201 ms,1.953152 ms,2.180606586956522 ms,1.840937 ms,9.97591 ms,92
2024-06-01T13:41:17.234188Z,2024-06-01T13:41:17.244872Z,2024-06-01T13:41:17.246878Z,91.23 ms,2.007168 ms,2.1787416559139783 ms,1.840937 ms,9.97591 ms,93
